Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
AUDCAD,35731806,0.2,0.2,0.90575,90575,2025.03.13 11:35:25,buy,0,0,0,90575,0.2,,0.2,,,,,,,,,,,
AUDCAD,35732259,0.2,-0.2,0.9053,90530,2025.03.13 11:40:01,sell,0,0,0,90552.5,0,,0,,,,,,,,,,,
AUDCAD,35732968,0.2,0.2,0.90495,90495,2025.03.13 12:16:22,buy,0,0,0,90533.33333333333,0.2,,0.2,,,,,,,,,,,
AUDCAD,35733117,0.2,-0.2,0.90441,90441,2025.03.13 12:20:01,sell,0,0,0,90510.25,0,,0,,,,,,,,,,,
AUDCAD,35733119,0.3,0.3,0.90471,90471,2025.03.13 12:20:01,buy,0,0,0,90499.54545454546,0.3,,0.3,,,,,,,,,,,
AUDCAD,35733121,0.2,0.2,0.90471,90471,2025.03.13 12:20:02,buy,0,0,0,90495.15384615384,0.5,,0.5,,,,,,,,,,,
AUDCAD,35733124,0.2,-0.2,0.90441,90441,2025.03.13 12:20:02,sell,0,0,0,90487.93333333333,0.3,,0.3,,,,,,,,,,,
AUDCAD,35734503,0.2,0.2,0.90389,90389,2025.03.13 12:42:18,buy,0,0,0,90476.29411764705,0.5,,0.5,,,,,,,,,,,
AUDCAD,35734506,0.2,0.2,0.90389,90389,2025.03.13 12:42:19,buy,0,0,0,90467.10526315788,0.7,,0.7,,,,,,,,,,,
AUDCAD,35735348,0.2,-0.2,0.90344,90344,2025.03.13 12:45:01,sell,0,0,0,90455.38095238093,0.5,,0.5,,,,,,,,,,,
AUDCAD,35735350,0.3,0.3,0.9037,90370,2025.03.13 12:45:01,buy,0,0,0,90444.70833333331,0.8,,0.8,,,,,,,,,,,
AUDCAD,35735352,0.2,-0.2,0.90344,90344,2025.03.13 12:45:03,sell,0,0,0,90436.96153846152,0.6,,0.6,,,,,,,,,,,
AUDCAD,35738243,0.2,-0.2,0.90429,90429,2025.03.13 15:15:01,sell,0,0,0,90436.39285714284,0.4,,0.4,,,,,,,,,,,
AUDCAD,35738245,0.2,-0.2,0.90429,90429,2025.03.13 15:15:01,sell,0,0,0,90435.89999999998,0.2,,0.2,,,,,,,,,,,
AUDCAD,35738452,0.2,0.2,0.90335,90335,2025.03.13 15:44:57,buy,0,0,0,90429.59374999999,0.4,,0.4,,,,,,,,,,,
AUDCAD,35738454,0.2,0.2,0.90335,90335,2025.03.13 15:44:57,buy,0,0,0,90424.0294117647,0.6,,0.6,,,,,,,,,,,
AUDCAD,35738461,0.2,-0.2,0.90299,90299,2025.03.13 15:45:01,sell,0,0,0,90417.08333333331,0.4,,0.4,,,,,,,,,,,
AUDCAD,35738463,0.2,0.2,0.90323,90323,2025.03.13 15:45:16,buy,0,0,0,90412.13157894734,0.6,,0.6,,,,,,,,,,,
AUDCAD,35738465,0.2,0.2,0.90323,90323,2025.03.13 15:45:16,buy,0,0,0,90407.67499999997,0.8,,0.8,,,,,,,,,,,
AUDCAD,35738580,0.2,-0.2,0.90286,90286,2025.03.13 15:50:01,sell,0,0,0,90401.88095238093,0.6,,0.6,,,,,,,,,,,
AUDCAD,35739269,0.4,0.4,0.90265,90265,2025.03.13 16:15:01,buy,0,0,0,90389.97826086954,1,,1,,,,,,,,,,,
AUDCAD,35740270,0.2,-0.2,0.90421,90421,2025.03.13 17:05:00,sell,0,0,0,90391.27083333331,0.8,,0.8,,,,,,,,,,,
AUDCAD,35740272,0.2,-0.2,0.90421,90421,2025.03.13 17:05:01,sell,0,0,0,90392.45999999998,0.6,,0.6,,,,,,,,,,,
