Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
BTCUSD,35743962,0.2,0.2,80153.76,8015376,2025.03.13 20:51:09,buy,0,0,0,8015376.000000001,0.2,,0.2,,,,,,,,,,,
BTCUSD,,,,,,,,,,,8015376.000000001,0.2,0.2,0,72603572,0.2,80138.262,8013826,2025.03.13 20:51:09,buy,-19,0,0,1550.0000000009313,3.100000000001863
BTCUSD,35743963,0.1,0.1,80192.26,8019226,2025.03.13 20:52:32,buy,0,0,0,8019226.000000001,0.1,,0.1,,,,,,,,,,,
BTCUSD,,,,,,,,,,,8019226.000000001,0.1,0.1,0,72603657,0.1,80169.162,8016916,2025.03.13 20:52:32,buy,-9,0,0,2310.0000000009313,2.3100000000009313
BTCUSD,35743965,0.1,0.1,80138.78,8013878,2025.03.13 21:00:59,buy,0,0,0,8013878,0.1,,0.1,,,,,,,,,,,
BTCUSD,,,,,,,,,,,8013878,0.1,0.1,0,72605726,0.1,80114.162,8011416,2025.03.13 21:00:59,buy,-9,0,0,2462,2.462
BTCUSD,35743966,0.1,-0.1,80284.84,8028484,2025.03.13 21:02:56,sell,0,0,0,8028484,-0.1,,-0.1,,,,,,,,,,,
BTCUSD,,,,,,,,,,,8028484,-0.1,-0.1,0,72606102,0.1,80305.138,8030514,2025.03.13 21:02:57,sell,-9,0,0,-2030,2.0300000000000002
BTCUSD,35743968,0.2,-0.2,80305.94,8030594,2025.03.13 21:05:21,sell,0,0,0,8030594,-0.2,,-0.2,,,,,,,,,,,
BTCUSD,35743969,0.1,-0.1,80305.94,8030594,2025.03.13 21:05:21,sell,0,0,0,8030594,-0.3,,-0.3,,,,,,,,,,,
BTCUSD,,,,,,,,,,,8030594,-0.3,-0.3,0,72607797,0.3,80323.138,8032314,2025.03.13 21:05:21,sell,-28,0,0,-1720,5.16
