Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
EURGBP,35738248,0.07,0.07,0.83856,83856,2025.03.13 15:19:44,buy,0,0,0,83856,0.07,,0.07,,,,,,,,,,,
EURGBP,35738249,2.24,2.24,0.83861,83861,2025.03.13 15:19:45,buy,0,0,0,83860.84848484848,2.3100000000000005,,2.3100000000000005,,,,,,,,,,,
EURGBP,35761416,0.07,-0.07,0.84185,84185,2025.03.14 13:46:05,sell,0,-67,0,83870.38235294119,2.24,,2.24,,,,,,,,,,,
EURGBP,35761418,0.05,-0.05,0.84187,84187,2025.03.14 13:46:05,sell,0,-198,0,83876.89711934156,2.1900000000000004,,2.1900000000000004,,,,,,,,,,,
EURGBP,35761419,2.24,-2.24,0.84181,84181,2025.03.14 13:46:05,sell,0,-2157,0,84022.76231263383,-0.05,,-0.05,,,,,,,,,,,
EURGBP,35761422,0.03,-0.03,0.8419,84190,2025.03.14 13:46:06,sell,0,-149,0,84023.82978723403,-0.08,,-0.08,,,,,,,,,,,
EURGBP,35761424,1.6,-1.6,0.84186,84186,2025.03.14 13:46:06,sell,0,-6339,0,84065.01587301587,-1.68,,-1.68,,,,,,,,,,,
EURGBP,35761425,0.96,-0.96,0.84186,84186,2025.03.14 13:46:06,sell,0,-4759,0,84081.01377410471,-2.64,,-2.64,,,,,,,,,,,
EURGBP,35764322,0.03,0.03,0.84174,84174,2025.03.14 16:45:26,buy,0,0,0,84081.39643347052,-2.61,,-2.61,,,,,,,,,,,
EURGBP,35764323,0.96,0.96,0.84179,84179,2025.03.14 16:45:27,buy,0,0,0,84092.75393939395,-1.65,,-1.65,,,,,,,,,,,
