Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
EURNZD,35732261,0.05,-0.05,1.9058,190580,2025.03.13 11:47:32,sell,0,0,0,190580,-0.05,,-0.05,,,,,,,,,,,
EURNZD,35733127,0.05,-0.05,1.90755,190755,2025.03.13 12:21:28,sell,0,0,0,190667.5,-0.1,,-0.1,,,,,,,,,,,
EURNZD,35733129,0.03,-0.03,1.90745,190745,2025.03.13 12:21:29,sell,0,-106,0,190685.38461538462,-0.13,,-0.13,,,,,,,,,,,
EURNZD,35733131,0.02,-0.02,1.90745,190745,2025.03.13 12:21:29,sell,0,-95,0,190693.33333333334,-0.15,,-0.15,,,,,,,,,,,
EURNZD,35733132,1.6,-1.6,1.9074,190740,2025.03.13 12:21:29,sell,0,0,0,190736,-1.75,,-1.75,,,,,,,,,,,
EURNZD,35733135,0.96,-0.96,1.9074,190740,2025.03.13 12:21:30,sell,0,-3405,0,190737.41697416976,-2.71,,-2.71,,,,,,,,,,,
EURNZD,35733136,0.64,-0.64,1.9074,190740,2025.03.13 12:21:30,sell,0,-3023,0,190737.91044776118,-3.35,,-3.35,,,,,,,,,,,
EURNZD,35738218,0.02,0.02,1.90678,190678,2025.03.13 14:21:20,buy,0,0,0,190737.55489614245,-3.33,,-3.33,,,,,,,,,,,
EURNZD,35738219,0.64,0.64,1.90681,190681,2025.03.13 14:21:21,buy,0,0,0,190728.52867830425,-2.69,,-2.69,,,,,,,,,,,
EURNZD,35746566,0.03,0.03,1.89929,189929,2025.03.14 04:37:37,buy,0,0,0,190722.59158415842,-2.66,,-2.66,,,,,,,,,,,
EURNZD,35746567,0.96,0.96,1.89934,189934,2025.03.14 04:37:38,buy,0,0,0,190571.182,-1.7,,-1.7,,,,,,,,,,,
EURNZD,35761406,0.03,-0.03,1.90354,190354,2025.03.14 13:45:43,sell,0,0,0,190569.88667992048,-1.73,,-1.73,,,,,,,,,,,
EURNZD,35761408,0.02,-0.02,1.90345,190345,2025.03.14 13:45:44,sell,0,-25,0,190568.99603960395,-1.75,,-1.75,,,,,,,,,,,
EURNZD,35761410,0.96,-0.96,1.9034,190340,2025.03.14 13:45:44,sell,0,0,0,190532.41763727122,-2.71,,-2.71,,,,,,,,,,,
EURNZD,35761412,0.64,-0.64,1.90347,190347,2025.03.14 13:45:45,sell,0,-793,0,190514.57293233086,-3.35,,-3.35,,,,,,,,,,,
EURNZD,35762130,0.05,0.05,1.90587,190587,2025.03.14 13:55:23,buy,0,-4,0,190515.11343283585,-3.3,,-3.3,,,,,,,,,,,
EURNZD,35762132,0.04,0.04,1.90578,190578,2025.03.14 13:55:31,buy,0,-3,0,190515.48664688432,-3.26,,-3.26,,,,,,,,,,,
EURNZD,35763791,0.02,0.02,1.89982,189982,2025.03.14 15:43:20,buy,0,0,0,190513.9082840237,-3.24,,-3.24,,,,,,,,,,,
EURNZD,35763792,0.64,0.64,1.89987,189987,2025.03.14 15:43:21,buy,0,0,0,190468.33783783787,-2.6,,-2.6,,,,,,,,,,,
EURNZD,35764883,0.03,0.03,1.89222,189222,2025.03.14 23:20:04,buy,0,0,0,190463.3055181696,-2.57,,-2.57,,,,,,,,,,,
EURNZD,35764884,0.96,0.96,1.89227,189227,2025.03.14 23:20:04,buy,0,0,0,190321.84505363528,-1.61,,-1.61,,,,,,,,,,,
