Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
EURUSD,35730013,0.9,-0.9,1.08711,108711,2025.03.13 11:17:59,sell,-798,0,0,108711.00000000001,-0.9,,-0.9,,,,,,,,,,,
EURUSD,35730014,0.9,-0.9,1.08703,108703,2025.03.13 11:17:59,sell,-798,0,0,108707,-1.8,,-1.8,,,,,,,,,,,
EURUSD,35730022,0.9,-0.9,1.08703,108703,2025.03.13 11:17:59,sell,-798,0,0,108705.66666666667,-2.7,,-2.7,,,,,,,,,,,
EURUSD,35730028,0.9,-0.9,1.08703,108703,2025.03.13 11:17:59,sell,-798,0,0,108705,-3.6,,-3.6,,,,,,,,,,,
EURUSD,35730029,0.9,-0.9,1.08703,108703,2025.03.13 11:17:59,sell,-798,0,0,108704.6,-4.5,,-4.5,,,,,,,,,,,
EURUSD,35730030,0.9,-0.9,1.08701,108701,2025.03.13 11:17:59,sell,-798,0,0,108704,-5.4,,-5.4,,,,,,,,,,,
EURUSD,35730036,0.9,-0.9,1.08701,108701,2025.03.13 11:17:59,sell,-798,0,0,108703.57142857143,-6.3,,-6.3,,,,,,,,,,,
EURUSD,35730044,0.9,-0.9,1.08697,108697,2025.03.13 11:17:59,sell,-798,0,0,108702.75,-7.2,,-7.2,,,,,,,,,,,
EURUSD,35730117,0.9,-0.9,1.08662,108662,2025.03.13 11:17:59,sell,-798,0,0,108698.22222222222,-8.1,,-8.1,,,,,,,,,,,
EURUSD,35730130,0.9,-0.9,1.08656,108656,2025.03.13 11:17:59,sell,-798,0,0,108694.00000000001,-9,,-9,,,,,,,,,,,
EURUSD,35730131,0.9,-0.9,1.08656,108656,2025.03.13 11:17:59,sell,-798,0,0,108690.54545454547,-9.9,,-9.9,,,,,,,,,,,
EURUSD,35730156,0.9,-0.9,1.08656,108656,2025.03.13 11:17:59,sell,-798,0,0,108687.66666666667,-10.8,,-10.8,,,,,,,,,,,
EURUSD,35730157,0.9,-0.9,1.08656,108656,2025.03.13 11:17:59,sell,-798,0,0,108685.23076923077,-11.7,,-11.7,,,,,,,,,,,
EURUSD,35730158,3.28,-3.28,1.08656,108656,2025.03.13 11:17:59,sell,-2907,0,0,108678.83044058744,-14.98,,-14.98,,,,,,,,,,,
EURUSD,35730202,3.28,-3.28,1.08656,108656,2025.03.13 11:17:59,sell,-2907,0,0,108674.72946330778,-18.26,,-18.26,,,,,,,,,,,
EURUSD,35730210,3.28,-3.28,1.08656,108656,2025.03.13 11:17:59,sell,-2907,0,0,108671.8774373259,-21.54,,-21.54,,,,,,,,,,,
EURUSD,35730211,3.28,-3.28,1.08656,108656,2025.03.13 11:17:59,sell,-2907,0,0,108669.77921031426,-24.82,,-24.82,,,,,,,,,,,
EURUSD,,,,,,,,,,,108669.77921031426,-24.82,-1.8,-23.02,72283088,1.8,1.08667,108667,2025.03.13 11:17:59,sell,-231,-136,0,2.7792103142564883,-5.002578565661679
EURUSD,35730212,3.28,-3.28,1.08666,108666,2025.03.13 11:18:00,sell,-2907,0,0,108669.30788674654,-26.3,,-26.3,,,,,,,,,,,
EURUSD,35730213,3.28,-3.28,1.08666,108666,2025.03.13 11:18:00,sell,-2907,0,0,108668.94108929798,-29.58,,-29.58,,,,,,,,,,,
EURUSD,35730214,3.28,-3.28,1.08666,108666,2025.03.13 11:18:00,sell,-2907,0,0,108668.64751738995,-32.86,,-32.86,,,,,,,,,,,
EURUSD,35730215,3.28,-3.28,1.08666,108666,2025.03.13 11:18:00,sell,-2907,0,0,108668.40723357593,-36.14,,-36.14,,,,,,,,,,,
EURUSD,35730216,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108667.6187053045,-42.31,,-42.31,,,,,,,,,,,
EURUSD,35730217,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108667.0308874058,-48.48,,-48.48,,,,,,,,,,,
EURUSD,35730218,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108666.5757991113,-54.65,,-54.65,,,,,,,,,,,
EURUSD,35730219,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108666.21304540338,-60.82,,-60.82,,,,,,,,,,,
EURUSD,35730220,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108665.91711332188,-66.99,,-66.99,,,,,,,,,,,
EURUSD,35730221,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108665.6710965204,-73.16,,-73.16,,,,,,,,,,,
EURUSD,35730222,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108665.46334831,-79.33,,-79.33,,,,,,,,,,,
EURUSD,35730223,6.17,-6.17,1.08663,108663,2025.03.13 11:18:00,sell,-5469,0,0,108665.28558387642,-85.5,,-85.5,,,,,,,,,,,
EURUSD,35730224,3.21,-3.21,1.08663,108663,2025.03.13 11:18:00,sell,-2846,0,0,108665.2028792857,-88.71,,-88.71,,,,,,,,,,,
EURUSD,35730225,6.05,-6.05,1.08663,108663,2025.03.13 11:18:00,sell,-5364,0,0,108665.06223534652,-94.76,,-94.76,,,,,,,,,,,
EURUSD,35730226,6.05,-6.05,1.08663,108663,2025.03.13 11:18:00,sell,-5364,0,0,108664.93847258641,-100.81,,-100.81,,,,,,,,,,,
EURUSD,35730227,6.06,-6.06,1.08663,108663,2025.03.13 11:18:00,sell,-5373,0,0,108664.82855264746,-106.87,,-106.87,,,,,,,,,,,
EURUSD,35730228,6.1,-6.1,1.08663,108663,2025.03.13 11:18:00,sell,-5408,0,0,108664.72981695525,-112.97,,-112.97,,,,,,,,,,,
EURUSD,35730229,6.11,-6.11,1.08667,108667,2025.03.13 11:18:00,sell,-5417,0,0,108664.84630014641,-119.08,,-119.08,,,,,,,,,,,
EURUSD,35730231,3.18,-3.18,1.08672,108672,2025.03.13 11:18:00,sell,-2819,0,0,108665.03236889772,-122.26,,-122.26,,,,,,,,,,,
EURUSD,35730233,3.21,-3.21,1.08672,108672,2025.03.13 11:18:00,sell,-2846,0,0,108665.2106274124,-125.47,,-125.47,,,,,,,,,,,
EURUSD,35730234,3.21,-3.21,1.08672,108672,2025.03.13 11:18:00,sell,-2846,0,0,108665.37999239535,-128.68,,-128.68,,,,,,,,,,,
EURUSD,35730235,3.22,-3.22,1.08672,108672,2025.03.13 11:18:00,sell,-2855,0,0,108665.54160289183,-131.9,,-131.9,,,,,,,,,,,
EURUSD,,,,,,,,,,,108665.54160289183,-131.9,-5.4,-126.5,72283128,5.4,1.08664,108664,2025.03.13 11:18:00,sell,-694,0,0,1.5416028918261873,-8.324655615861413
EURUSD,,,,,,,,,,,108665.54160289183,-126.5,-10,-116.5,72283148,10,1.08679,108679,2025.03.13 11:18:00,sell,-1285,0,0,-13.458397108173813,134.58397108173816
EURUSD,,,,,,,,,,,108665.54160289183,-116.5,-10,-106.5,72283168,10,1.08679,108679,2025.03.13 11:18:00,sell,-1285,0,0,-13.458397108173813,134.58397108173816
EURUSD,,,,,,,,,,,108665.54160289183,-106.5,-10,-96.5,72283303,10,1.08688,108688,2025.03.13 11:18:01,sell,-1285,0,0,-22.458397108173813,224.58397108173816
EURUSD,,,,,,,,,,,108665.54160289183,-96.5,-10,-86.5,72283333,10,1.08676,108676,2025.03.13 11:18:01,sell,-1285,0,0,-10.458397108173813,104.58397108173813
EURUSD,,,,,,,,,,,108665.54160289183,-86.5,-10,-76.5,72283354,10,1.08688,108688,2025.03.13 11:18:01,sell,-1285,0,0,-22.458397108173813,224.58397108173816
EURUSD,,,,,,,,,,,108665.54160289183,-76.5,-10,-66.5,72283357,10,1.0869,108690,2025.03.13 11:18:02,sell,-1285,0,0,-24.458397108173813,244.58397108173816
EURUSD,,,,,,,,,,,108665.54160289183,-66.5,-10,-56.5,72283360,10,1.08709,108709,2025.03.13 11:18:02,sell,-1285,0,0,-43.45839710817381,434.5839710817381
EURUSD,,,,,,,,,,,108665.54160289183,-56.5,-10,-46.5,72283362,10,1.0871,108710,2025.03.13 11:18:02,sell,-1285,0,0,-44.45839710817381,444.5839710817382
