Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
GBPJPY,35738209,0.02,0.02,191.857,191857,2025.03.13 14:18:56,buy,0,0,0,191857,0.02,,0.02,,,,,,,,,,,
GBPJPY,35738210,0.02,-0.02,191.891,191891,2025.03.13 14:18:57,sell,0,0,0,191874,0,,0,,,,,,,,,,,
GBPJPY,,,,,,,,,,,191874,0,0.02,-0.02,72337201,0.02,191.846,191846,2025.03.13 14:18:57,buy,-3,0,0,28,56.00000000000001
GBPJPY,,,,,,,,,,,191874,-0.02,-0.02,0,72337209,0.02,191.858,191858,2025.03.13 14:18:57,sell,-3,0,0,16,-32
GBPJPY,35753241,0.01,-0.01,192.267,192267,2025.03.14 10:00:00,sell,0,0,0,192267,-0.01,,-0.01,,,,,,,,,,,
GBPJPY,,,,,,,,,,,192267,-0.01,-0.01,0,72767248,0.01,192.287,192287,2025.03.14 10:00:01,sell,-2,12,0,-20,20
GBPJPY,35753242,1.5,-1.5,192.294,192294,2025.03.14 10:00:05,sell,0,0,0,192294,-1.5,,-1.5,,,,,,,,,,,
GBPJPY,,,,,,,,,,,192294,-1.5,-1.5,0,72767353,1.5,192.32,192320,2025.03.14 10:00:05,sell,-231,105,0,-26,3900
GBPJPY,35753243,0.01,0.01,192.35,192350,2025.03.14 10:00:17,buy,0,0,0,192350,0.01,,0.01,,,,,,,,,,,
GBPJPY,,,,,,,,,,,192350,0.01,0.01,0,72767382,0.01,192.331,192331,2025.03.14 10:00:18,buy,-2,0,0,19,19
GBPJPY,35753257,1.5,1.5,192.246,192246,2025.03.14 10:03:40,buy,0,0,0,192246,1.5,,1.5,,,,,,,,,,,
GBPJPY,,,,,,,,,,,192246,1.5,1.5,0,72768234,1.5,192.225,192225,2025.03.14 10:03:41,buy,-231,0,0,21,3150
