Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
GBPUSD,35730160,0.7,-0.7,1.29442,129442,2025.03.13 11:17:59,sell,-620,0,0,129442,-0.7,,-0.7,,,,,,,,,,,
GBPUSD,35730169,0.7,-0.7,1.29442,129442,2025.03.13 11:17:59,sell,-620,0,0,129442,-1.4,,-1.4,,,,,,,,,,,
GBPUSD,35730230,4.75,-4.75,1.29458,129458,2025.03.13 11:18:00,sell,-4211,0,0,129454.35772357724,-6.15,,-6.15,,,,,,,,,,,
GBPUSD,35730232,4.76,-4.76,1.29458,129458,2025.03.13 11:18:00,sell,-4220,0,0,129455.9468377635,-10.91,,-10.91,,,,,,,,,,,
GBPUSD,35730236,2.5,-2.5,1.29458,129458,2025.03.13 11:18:00,sell,-2216,0,0,129456.32960477256,-13.41,,-13.41,,,,,,,,,,,
GBPUSD,35730237,2.5,-2.5,1.29458,129458,2025.03.13 11:18:00,sell,-2216,0,0,129456.59208045255,-15.91,,-15.91,,,,,,,,,,,
GBPUSD,,,,,,,,,,,129456.59208045255,-15.91,-1.4,-14.51,72283145,1.4,1.29466,129466,2025.03.13 11:18:00,sell,-214,0,0,-9.407919547447818,13.171087366426947
GBPUSD,,,,,,,,,,,129456.59208045255,-14.51,-10,-4.51,72283197,10,1.29474,129474,2025.03.13 11:18:00,sell,-1531,0,0,-17.40791954744782,174.07919547447818
GBPUSD,,,,,,,,,,,129456.59208045255,-4.51,-4.51,0,72283329,4.51,1.29474,129474,2025.03.13 11:18:01,sell,-690,0,0,-17.40791954744782,78.50971715898967
GBPUSD,35730283,0.7,0.7,1.29491,129491,2025.03.13 11:18:03,buy,-621,0,0,129491,0.7,,0.7,,,,,,,,,,,
GBPUSD,35730296,0.7,0.7,1.29491,129491,2025.03.13 11:18:03,buy,-621,0,0,129491,1.4,,1.4,,,,,,,,,,,
GBPUSD,35730309,4.72,4.72,1.29495,129495,2025.03.13 11:18:03,buy,-4185,0,0,129494.08496732026,6.12,,6.12,,,,,,,,,,,
GBPUSD,35730310,2.51,2.51,1.29495,129495,2025.03.13 11:18:03,buy,-2225,0,0,129494.35110081112,8.63,,8.63,,,,,,,,,,,
GBPUSD,35730311,4.73,4.73,1.29495,129495,2025.03.13 11:18:03,buy,-4194,0,0,129494.58083832335,13.36,,13.36,,,,,,,,,,,
GBPUSD,35730312,2.51,2.51,1.29495,129495,2025.03.13 11:18:03,buy,-2225,0,0,129494.64713295526,15.87,,15.87,,,,,,,,,,,
GBPUSD,,,,,,,,,,,129494.64713295526,15.87,0.7,15.17,72283367,0.7,1.29489,129489,2025.03.13 11:18:03,buy,-107,-2583,0,5.647132955258712,3.9529930686810983
GBPUSD,,,,,,,,,,,129494.64713295526,15.17,0.7,14.47,72283371,0.7,1.2949,129490,2025.03.13 11:18:03,buy,-107,-2583,0,4.647132955258712,3.252993068681098
GBPUSD,35730425,0.7,0.7,1.29492,129492,2025.03.13 11:18:04,buy,0,0,0,129494.52498443393,15.17,,15.17,,,,,,,,,,,
GBPUSD,35730438,0.7,0.7,1.29492,129492,2025.03.13 11:18:04,buy,0,0,0,129494.41361145952,15.87,,15.87,,,,,,,,,,,
GBPUSD,,,,,,,,,,,129494.41361145952,15.87,10,5.87,72283377,10,1.29485,129485,2025.03.13 11:18:04,buy,-1530,-36907,0,9.413611459516687,94.13611459516687
GBPUSD,,,,,,,,,,,129494.41361145952,5.87,4.47,1.4,72283380,4.47,1.29479,129479,2025.03.13 11:18:04,buy,-684,-16497,0,15.413611459516687,68.8988432240396
GBPUSD,,,,,,,,,,,129494.41361145952,1.4,1.4,0,72283385,1.4,1.29487,129487,2025.03.13 11:18:04,buy,-214,-5167,0,7.413611459516687,10.379056043323361
GBPUSD,35730536,4.75,4.75,1.29495,129495,2025.03.13 11:18:05,buy,0,0,0,129495,4.75,,4.75,,,,,,,,,,,
GBPUSD,35730537,4.76,4.76,1.29495,129495,2025.03.13 11:18:05,buy,0,0,0,129495,9.51,,9.51,,,,,,,,,,,
GBPUSD,35730544,2.5,2.5,1.29495,129495,2025.03.13 11:18:05,buy,0,0,0,129495,12.01,,12.01,,,,,,,,,,,
GBPUSD,35730546,2.5,2.5,1.29495,129495,2025.03.13 11:18:05,buy,0,0,0,129495,14.51,,14.51,,,,,,,,,,,
