Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Fee,Swap,Profit,Balance,Comment
2025.03.13 01:29:34,72159932,XAUUSD.lp,sell,in,4.54,2934.47,60626677,-1580,0,0,0,249680550,5555829-66962867
2025.03.13 01:29:38,72159936,XAUUSD.lp,buy,out,4.84,2934.85,60626680,-1684,0,-27717,37406,249688555,5555829-66962872
2025.03.13 01:52:39,72165238,XAUUSD.lp,sell,in,14.78,2937.38,60632011,-5145,0,0,0,249683410,5555829-66967817
2025.03.13 01:52:40,72165255,XAUUSD.lp,sell,in,25,2937.5,60632023,-8702,0,0,0,249674708,5555829-66967864
2025.03.13 01:52:40,72165267,XAUUSD.lp,buy,out,25,2937.71,60632035,-8703,0,-14054,-170029,249481922,5555829-66967876
2025.03.13 01:52:40,72165274,XAUUSD.lp,buy,out,14.64,2937.71,60632036,-5096,0,-8230,-99569,249369027,5555829-66967888
2025.03.13 02:25:46,72171113,EURUSD.lp,sell,out,3.32,1.0885,60637962,-428,0,-9008,-14525,249345066,5555829-66973256
2025.03.13 02:25:50,72171121,EURUSD.lp,sell,out,3.32,1.08853,60637970,-428,0,-9008,-13050,249322580,5555829-66973262
2025.03.13 02:25:53,72171122,EURUSD.lp,sell,out,3.32,1.08853,60637971,-428,0,-9008,-13050,249300094,5555829-66973263
2025.03.13 02:25:58,72171124,EURUSD.lp,sell,out,3.32,1.08853,60637973,-428,0,-9008,-13050,249277608,5555829-66973265
2025.03.13 02:26:04,72171133,EURUSD.lp,sell,out,3.32,1.08851,60637984,-428,0,-9008,-14034,249254138,5555829-66973286
2025.03.13 04:02:39,72184454,XAUUSD.lp,buy,in/out,12.97,2940.7,60650449,-4519,0,-2513,-228336,249018770,5555829-66982864
2025.03.13 05:10:24,72198809,EURUSD.lp,sell,out,9.53,1.08916,60664503,-1230,0,-25858,51496,249043178,5555829-66996211
2025.03.13 05:10:25,72198810,EURUSD.lp,sell,out,10,1.08916,60664504,-1291,0,-27133,54035,249068789,5555829-66996212
2025.03.13 05:10:25,72198811,EURUSD.lp,sell,out,10,1.08916,60664505,-1291,0,-27133,54035,249094400,5555829-66996213
2025.03.13 05:10:25,72198812,EURUSD.lp,sell,out,10,1.08915,60664506,-1291,0,-27133,52554,249118530,5555829-66996214
2025.03.13 05:10:26,72198813,EURUSD.lp,sell,out,0.47,1.08915,60664507,-61,0,-1275,2470,249119664,5555829-66996215
2025.03.13 05:10:56,72198839,EURUSD.lp,sell,out,10,1.08916,60664532,-1291,0,-27133,54036,249145276,5555829-66996224
2025.03.13 05:10:57,72198840,EURUSD.lp,sell,out,6.44,1.08916,60664534,-831,0,-17473,34800,249161772,5555829-66996225
2025.03.13 05:42:00,72205766,XAUUSD.lp,buy,in,7.51,2942.19,60670979,-2620,0,0,0,249159152,5555829-67000670
2025.03.13 05:42:01,72205868,XAUUSD.lp,sell,out,4.09,2941.94,60671049,-1427,0,0,32798,249190523,5555829-67000794
2025.03.13 05:51:59,72208942,XAUUSD.lp,buy,in,4.48,2944.05,60674100,-1564,0,0,0,249188959,5555829-67003484
2025.03.13 05:52:00,72209009,XAUUSD.lp,sell,out,4.84,2943.73,60674148,-1689,0,0,115263,249302533,5555829-67003539
2025.03.13 05:52:45,72209545,XAUUSD.lp,buy,in,5.59,2944.48,60674685,-1952,0,0,0,249300581,5555829-67004209
2025.03.13 05:52:46,72209549,XAUUSD.lp,sell,out,4.84,2944.22,60674690,-1690,0,0,95310,249394201,5555829-67004216
2025.03.13 05:56:51,72211189,XAUUSD.lp,buy,in,5.21,2945.32,60676354,-1819,0,0,0,249392382,5555829-67005921
2025.03.13 05:56:52,72211196,XAUUSD.lp,sell,out,4.84,2944.83,60676360,-1690,0,0,87245,249477937,5555829-67005939
2025.03.13 11:07:53,72272641,EURUSD.lp,sell,out,0.02,1.08688,60734936,-3,0,-54,-566,249477314,5555829-67060532
2025.03.13 11:08:01,72272666,XAUUSD.lp,buy,in,0.34,2936.65,60734963,-118,0,0,0,249477196,5555829-67060547
2025.03.13 11:09:34,72273940,XAUUSD.lp,buy,in,0.01,2937.92,60736238,-3,0,0,0,249477193,5555829-67062847
2025.03.13 11:10:27,72274699,USDJPY.lp,buy,out,0.18,147.75,60736992,-21,0,-1205,9180,249485147,5555829-67063933
2025.03.13 11:10:30,72274721,XAUUSD.lp,sell,out,0.17,2938.31,60737015,-59,0,0,-12853,249472235,5555829-67063947
2025.03.13 11:10:31,72274723,XAUUSD.lp,sell,out,0.03,2938.29,60737017,-10,0,0,-2277,249469948,5555829-67063949
2025.03.13 11:10:31,72274729,XAUUSD.lp,sell,out,0.17,2938.29,60737023,-59,0,0,-12903,249456986,5555829-67063952
2025.03.13 11:10:55,72275284,XAUUSD.lp,sell,out,0.17,2938.2,60737584,-59,0,0,-13127,249443800,5555829-67064763
2025.03.13 11:10:56,72275299,XAUUSD.lp,sell,out,0.17,2938.23,60737594,-59,0,0,-13052,249430689,5555829-67064792
2025.03.13 11:10:56,72275303,XAUUSD.lp,sell,out,0.03,2938.12,60737599,-10,0,0,-2352,249428327,5555829-67064820
2025.03.13 11:10:57,72275310,XAUUSD.lp,sell,out,0.34,2937.74,60737606,-118,0,0,-28563,249399646,5555829-67064826
2025.03.13 11:10:57,72275326,XAUUSD.lp,sell,out,0.03,2937.7,60737628,-10,0,0,-2538,249397098,5555829-67064842
2025.03.13 11:11:32,72275771,XAUUSD.lp,sell,out,0.17,2938.88,60738070,-59,0,0,-11422,249385617,5555829-67065355
2025.03.13 11:11:33,72275782,XAUUSD.lp,sell,out,0.17,2938.88,60738081,-59,0,0,-11422,249374136,5555829-67065361
2025.03.13 11:11:33,72275791,XAUUSD.lp,sell,out,0.03,2938.88,60738087,-10,0,0,-2015,249372111,5555829-67065371
2025.03.13 11:11:46,72276005,XAUUSD.lp,sell,out,0.17,2938.72,60738299,-59,0,0,-11824,249360228,5555829-67065750
2025.03.13 11:11:47,72276011,XAUUSD.lp,sell,out,0.03,2938.68,60738304,-10,0,0,-2104,249358114,5555829-67065754
2025.03.13 11:11:47,72276015,XAUUSD.lp,sell,out,0.17,2938.71,60738309,-59,0,0,-11849,249346206,5555829-67065757
2025.03.13 11:12:35,72276540,XAUUSD.lp,sell,out,0.02,2939.7,60738845,-7,0,0,-1101,249345098,5555829-67066329
2025.03.13 11:12:52,72277422,XAUUSD.lp,sell,out,0.17,2941,60739720,-59,0,0,-6098,249338941,5555829-67067359
2025.03.13 11:12:53,72277443,XAUUSD.lp,sell,out,0.17,2940.99,60739733,-59,0,0,-6123,249332759,5555829-67067389
2025.03.13 11:12:53,72277449,XAUUSD.lp,sell,out,0.03,2940.91,60739737,-10,0,0,-1116,249331633,5555829-67067396
2025.03.13 11:13:17,72280028,XAUUSD.lp,buy,in,0.74,2940.84,60742325,-257,0,0,0,249331376,5555829-67070123
2025.03.13 11:13:18,72280037,XAUUSD.lp,buy,in,0.17,2940.75,60742328,-59,0,0,0,249331317,5555829-67070145
