Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
USDJPY,35730238,0.9,0.9,147.771,147771,2025.03.13 11:18:00,buy,-540,0,0,147771,0.9,,0.9,,,,,,,,,,,
USDJPY,35730251,0.9,0.9,147.766,147766,2025.03.13 11:18:00,buy,-540,0,0,147768.5,1.8,,1.8,,,,,,,,,,,
USDJPY,35730264,0.9,0.9,147.771,147771,2025.03.13 11:18:00,buy,-540,0,0,147769.3333333333,2.7,,2.7,,,,,,,,,,,
USDJPY,,,,,,,,,,,147769.3333333333,2.7,0.9,1.8,72283282,0.9,147.756,147756,2025.03.13 11:18:00,buy,-106,-468,0,13.33333333331393,1199.9999999982538
USDJPY,35730277,3.22,3.22,147.77,147770,2025.03.13 11:18:01,buy,-1932,0,0,147769.7609561753,5.02,,5.02,,,,,,,,,,,
USDJPY,35730278,6.1,6.1,147.771,147771,2025.03.13 11:18:01,buy,-3660,0,0,147770.440647482,11.12,,11.12,,,,,,,,,,,
USDJPY,35730279,6.07,6.07,147.771,147771,2025.03.13 11:18:01,buy,-3642,0,0,147770.63816172193,17.19,,17.19,,,,,,,,,,,
USDJPY,35730280,3.21,3.21,147.771,147771,2025.03.13 11:18:01,buy,-1926,0,0,147770.69509803923,20.4,,20.4,,,,,,,,,,,
USDJPY,35730281,3.22,3.22,147.771,147771,2025.03.13 11:18:01,buy,-1932,0,0,147770.7366638442,23.62,,23.62,,,,,,,,,,,
USDJPY,35730282,6.04,6.04,147.77,147770,2025.03.13 11:18:01,buy,-3624,0,0,147770.58664868513,29.66,,29.66,,,,,,,,,,,
USDJPY,,,,,,,,,,,147770.58664868513,29.66,1.8,27.86,72283330,1.8,147.754,147754,2025.03.13 11:18:01,buy,-213,0,0,16.586648685130058,2985.5967633234104
USDJPY,,,,,,,,,,,147770.58664868513,27.86,10,17.86,72283341,10,147.759,147759,2025.03.13 11:18:01,buy,-1182,0,0,11.586648685130058,11586.648685130058
USDJPY,,,,,,,,,,,147770.58664868513,17.86,10,7.86,72283356,10,147.767,147767,2025.03.13 11:18:02,buy,-1182,0,0,3.586648685130058,3586.6486851300583
USDJPY,,,,,,,,,,,147770.58664868513,7.86,7.86,0,72283359,7.86,147.761,147761,2025.03.13 11:18:02,buy,-929,0,0,9.586648685130058,7535.105866512225
USDJPY,35730553,0.9,-0.9,147.699,147699,2025.03.13 11:18:06,sell,0,0,0,147699,-0.9,,-0.9,,,,,,,,,,,
USDJPY,35730567,0.9,-0.9,147.699,147699,2025.03.13 11:18:06,sell,0,0,0,147699,-1.8,,-1.8,,,,,,,,,,,
USDJPY,35730577,0.9,-0.9,147.699,147699,2025.03.13 11:18:06,sell,0,0,0,147699.00000000003,-2.7,,-2.7,,,,,,,,,,,
USDJPY,,,,,,,,,,,147699.00000000003,-2.7,-2.7,0,72283413,2.7,147.706,147706,2025.03.13 11:18:06,sell,-319,0,0,-6.999999999970896,1889.999999992142
USDJPY,35730595,3.22,-3.22,147.699,147699,2025.03.13 11:18:07,sell,0,0,0,147698.99999999997,-3.22,,-3.22,,,,,,,,,,,
USDJPY,35730596,6.1,-6.1,147.699,147699,2025.03.13 11:18:07,sell,0,0,0,147699,-9.32,,-9.32,,,,,,,,,,,
USDJPY,35730597,3.21,-3.21,147.699,147699,2025.03.13 11:18:07,sell,0,0,0,147699,-12.53,,-12.53,,,,,,,,,,,
USDJPY,35730598,3.22,-3.22,147.699,147699,2025.03.13 11:18:07,sell,0,0,0,147699,-15.75,,-15.75,,,,,,,,,,,
