Symbol,BlueDeal,BlueLots,BlueLotsWithSize,BluePrice,BluePriceInPoint,BlueTime,BlueType,BlueCommission,BlueSwap,BlueFee,BlueAvgPriceInPoint,BlueAccumulatedLots,GTCLotsWithSize,BlueRemainLots,GTCDeal,GTCLots,GTCPrice,GTCPriceInPoint,GTCTime,GTCType,GTCCommission,GTCSwap,GTCFee,DiffPoint,LiquidProfit
XAUUSD,35729731,0.17,-0.17,2940.83,294083,2025.03.13 11:15:23,sell,0,0,0,294082.99999999994,-0.17,,-0.17,,,,,,,,,,,
XAUUSD,35729734,0.03,-0.03,2940.84,294084,2025.03.13 11:15:23,sell,0,0,0,294083.14999999997,-0.2,,-0.2,,,,,,,,,,,
XAUUSD,35729735,0.17,-0.17,2940.79,294079,2025.03.13 11:15:23,sell,0,0,0,294081.2432432432,-0.37000000000000005,,-0.37000000000000005,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294081.2432432432,-0.37000000000000005,-0.17,-0.2,72281129,0.17,2940.91,294091,2025.03.13 11:15:23,sell,-59,0,0,-9.756756756803952,1.6586486486566723
XAUUSD,,,,,,,,,,,294081.2432432432,-0.2,-0.03,-0.17,72281132,0.03,2940.91,294091,2025.03.13 11:15:23,sell,-10,0,0,-9.756756756803952,0.2927027027041186
XAUUSD,,,,,,,,,,,294081.2432432432,-0.17,-0.17,0,72281135,0.17,2940.92,294092,2025.03.13 11:15:24,sell,-59,0,0,-10.756756756803952,1.8286486486566718
XAUUSD,35729780,0.17,-0.17,2940.97,294097,2025.03.13 11:15:25,sell,0,0,0,294097,-0.17,,-0.17,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294097,-0.17,-0.17,0,72281150,0.17,2941.19,294119,2025.03.13 11:15:25,sell,-59,0,0,-22,3.74
XAUUSD,35729783,0.03,-0.03,2941.06,294106,2025.03.13 11:15:26,sell,0,0,0,294106,-0.03,,-0.03,,,,,,,,,,,
XAUUSD,35729785,0.17,-0.17,2940.99,294099,2025.03.13 11:15:26,sell,0,0,0,294100.05,-0.2,,-0.2,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294100.05,-0.2,-0.03,-0.17,72281160,0.03,2941.16,294116,2025.03.13 11:15:26,sell,-10,0,0,-15.950000000011642,0.4785000000003492
XAUUSD,,,,,,,,,,,294100.05,-0.17,-0.17,0,72281164,0.17,2941.07,294107,2025.03.13 11:15:26,sell,-59,0,0,-6.9500000000116415,1.181500000001979
XAUUSD,35729828,0.17,-0.17,2941.51,294151,2025.03.13 11:16:45,sell,0,0,0,294151,-0.17,,-0.17,,,,,,,,,,,
XAUUSD,35729830,0.17,-0.17,2941.48,294148,2025.03.13 11:16:46,sell,0,0,0,294149.5,-0.34,,-0.34,,,,,,,,,,,
XAUUSD,35729853,0.03,-0.03,2941.55,294155,2025.03.13 11:16:46,sell,0,0,0,294149.9459459459,-0.37000000000000005,,-0.37000000000000005,,,,,,,,,,,
XAUUSD,35729854,0.17,-0.17,2941.48,294148,2025.03.13 11:16:46,sell,0,0,0,294149.3333333333,-0.54,,-0.54,,,,,,,,,,,
XAUUSD,35729857,0.17,-0.17,2941.54,294154,2025.03.13 11:16:46,sell,0,0,0,294150.45070422534,-0.7100000000000001,,-0.7100000000000001,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294150.45070422534,-0.7100000000000001,-0.17,-0.54,72281728,0.17,2941.69,294169,2025.03.13 11:16:46,sell,-59,0,0,-18.549295774661005,3.153380281692371
XAUUSD,,,,,,,,,,,294150.45070422534,-0.54,-0.17,-0.3700000000000001,72281731,0.17,2941.74,294174,2025.03.13 11:16:46,sell,-59,0,0,-23.549295774661005,4.003380281692371
XAUUSD,,,,,,,,,,,294150.45070422534,-0.3700000000000001,-0.03,-0.3400000000000001,72281732,0.03,2941.73,294173,2025.03.13 11:16:46,sell,-10,0,0,-22.549295774661005,0.6764788732398301
XAUUSD,35729879,0.03,-0.03,2941.61,294161,2025.03.13 11:16:47,sell,0,0,0,294151.3060525314,-0.3700000000000001,,-0.3700000000000001,,,,,,,,,,,
XAUUSD,35729880,0.17,-0.17,2941.53,294153,2025.03.13 11:16:47,sell,0,0,0,294151.83933229005,-0.54,,-0.54,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294151.83933229005,-0.54,-0.34,-0.20000000000000004,72281735,0.34,2941.72,294172,2025.03.13 11:16:47,sell,-118,0,0,-20.16066770994803,6.8546270213823295
XAUUSD,,,,,,,,,,,294151.83933229005,-0.20000000000000004,-0.2,-4.5474735088646414e-17,72281737,0.2,2941.72,294172,2025.03.13 11:16:47,sell,-70,0,0,-20.16066770994803,4.032133541989606
XAUUSD,35729882,0.17,-0.17,2941.53,294153,2025.03.13 11:16:48,sell,0,0,0,294153,-0.17000000000000007,,-0.17000000000000007,,,,,,,,,,,
XAUUSD,35729884,0.17,-0.17,2941.63,294163,2025.03.13 11:16:48,sell,0,0,0,294158,-0.3400000000000001,,-0.3400000000000001,,,,,,,,,,,
XAUUSD,35729886,0.17,-0.17,2941.63,294163,2025.03.13 11:16:48,sell,0,0,0,294159.6666666667,-0.5100000000000001,,-0.5100000000000001,,,,,,,,,,,
XAUUSD,35729908,0.03,-0.03,2941.7,294170,2025.03.13 11:16:48,sell,0,0,0,294160.2407407408,-0.54,,-0.54,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294160.2407407408,-0.54,-0.17,-0.3700000000000001,72281745,0.17,2941.84,294184,2025.03.13 11:16:48,sell,-59,0,0,-23.75925925921183,4.039074074066011
XAUUSD,,,,,,,,,,,294160.2407407408,-0.3700000000000001,-0.17,-0.20000000000000007,72281747,0.17,2941.84,294184,2025.03.13 11:16:48,sell,-59,0,0,-23.75925925921183,4.039074074066011
XAUUSD,35729910,0.17,-0.17,2941.64,294164,2025.03.13 11:16:49,sell,0,0,0,294161.96796796797,-0.3700000000000001,,-0.3700000000000001,,,,,,,,,,,
XAUUSD,35729933,0.03,-0.03,2941.71,294171,2025.03.13 11:16:49,sell,0,0,0,294162.64537037036,-0.4000000000000001,,-0.4000000000000001,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294162.64537037036,-0.4000000000000001,-0.2,-0.2000000000000001,72281748,0.2,2941.86,294186,2025.03.13 11:16:49,sell,-70,0,0,-23.35462962964084,4.670925925928168
XAUUSD,,,,,,,,,,,294162.64537037036,-0.2000000000000001,-0.17,-0.03000000000000007,72281749,0.17,2941.86,294186,2025.03.13 11:16:49,sell,-59,0,0,-23.35462962964084,3.970287037038943
XAUUSD,35729935,0.17,-0.17,2941.64,294164,2025.03.13 11:16:50,sell,0,0,0,294163.7968055556,-0.2000000000000001,,-0.2000000000000001,,,,,,,,,,,
XAUUSD,35729957,0.03,-0.03,2941.71,294171,2025.03.13 11:16:50,sell,0,0,0,294164.736352657,-0.2300000000000001,,-0.2300000000000001,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294164.736352657,-0.2300000000000001,-0.03,-0.2000000000000001,72281750,0.03,2941.86,294186,2025.03.13 11:16:50,sell,-10,0,0,-21.263647342973854,0.6379094202892156
XAUUSD,,,,,,,,,,,294164.736352657,-0.2000000000000001,-0.17,-0.03000000000000007,72281765,0.17,2941.8,294180,2025.03.13 11:16:50,sell,-59,0,0,-15.263647342973854,2.5948200483055555
XAUUSD,,,,,,,,,,,294164.736352657,-0.03000000000000007,-0.03,-6.821210263296961e-17,72281766,0.03,2941.86,294186,2025.03.13 11:16:50,sell,-10,0,0,-21.263647342973854,0.6379094202892156
XAUUSD,35729958,0.17,-0.17,2941.65,294165,2025.03.13 11:16:51,sell,0,0,0,294165,-0.1700000000000001,,-0.1700000000000001,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294165,-0.1700000000000001,-0.17,-6.821210263296961e-17,72281768,0.17,2941.86,294186,2025.03.13 11:16:51,sell,-59,0,0,-21,3.5700000000000003
XAUUSD,35729960,0.17,-0.17,2941.68,294168,2025.03.13 11:16:52,sell,0,0,0,294168,-0.1700000000000001,,-0.1700000000000001,,,,,,,,,,,
XAUUSD,35729962,0.17,-0.17,2941.68,294168,2025.03.13 11:16:52,sell,0,0,0,294168,-0.3400000000000001,,-0.3400000000000001,,,,,,,,,,,
XAUUSD,35729984,0.03,-0.03,2941.77,294177,2025.03.13 11:16:52,sell,0,0,0,294168.7297297297,-0.3700000000000001,,-0.3700000000000001,,,,,,,,,,,
XAUUSD,35729986,0.17,-0.17,2941.69,294169,2025.03.13 11:16:52,sell,0,0,0,294168.81481481483,-0.54,,-0.54,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294168.81481481483,-0.54,-0.34,-0.20000000000000004,72281769,0.34,2941.91,294191,2025.03.13 11:16:52,sell,-118,0,0,-22.18518518516794,7.5429629629571
XAUUSD,,,,,,,,,,,294168.81481481483,-0.20000000000000004,-0.03,-0.17000000000000004,72281771,0.03,2941.91,294191,2025.03.13 11:16:52,sell,-10,0,0,-22.18518518516794,0.6655555555550381
XAUUSD,35730008,0.03,-0.03,2941.76,294176,2025.03.13 11:16:53,sell,0,0,0,294169.8925925926,-0.20000000000000004,,-0.20000000000000004,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294169.8925925926,-0.20000000000000004,-0.17,-0.030000000000000023,72281772,0.17,2941.78,294178,2025.03.13 11:16:53,sell,-59,0,0,-8.107407407427672,1.3782592592627043
XAUUSD,,,,,,,,,,,294169.8925925926,-0.030000000000000023,-0.03,-2.2737367544323207e-17,72281774,0.03,2941.75,294175,2025.03.13 11:16:53,sell,-10,0,0,-5.107407407427672,0.15322222222283016
XAUUSD,35730010,0.02,-0.02,2942.03,294203,2025.03.13 11:17:27,sell,0,0,0,294203,-0.02000000000000002,,-0.02000000000000002,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294203,-0.02000000000000002,-0.02,-2.2737367544323207e-17,72282026,0.02,2942.24,294224,2025.03.13 11:17:27,sell,-7,0,0,-21,0.42
XAUUSD,35730800,0.01,-0.01,2941.6,294160,2025.03.13 11:18:20,sell,0,0,0,294160,-0.010000000000000023,,-0.010000000000000023,,,,,,,,,,,
XAUUSD,,,,,,,,,,,294160,-0.010000000000000023,-0.01,-2.2737367544323207e-17,72283576,0.01,2941.78,294178,2025.03.13 11:18:20,sell,-3,0,0,-18,0.18
XAUUSD,35730977,0.17,0.17,2942.43,294243,2025.03.13 11:21:39,buy,0,0,0,294243,0.17,,0.17,,,,,,,,,,,
XAUUSD,35730981,0.03,0.03,2942.36,294236,2025.03.13 11:21:40,buy,0,0,0,294241.95,0.2,,0.2,,,,,,,,,,,
