threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,27274.76155399648,27274.76155399648,191.44760000000008,26493,-2.941635481063106e-10,27274.76155399648,27274.761553996774,-2.9467628337442875e-10
1,23855.213402000223,27274.76155399648,191.44760000000008,1998,-15796.092818792707,27274.76155399648,39651.30622079293,-12376.544666796453
2,22192.23882600001,27274.76155399648,191.44760000000008,1219,-46505.35402684552,27274.76155399648,68697.59285284553,-41422.83129884905
3,21269.306458000032,27274.76155399648,191.44760000000008,907,-16112.779463085248,27274.76155399648,37382.08592108528,-10107.3243670888
4,20243.685954000033,27274.76155399648,191.44760000000008,728,-37196.51530201583,27274.76155399648,57440.20125601586,-30165.439702019383
5,19149.738433999995,27274.76155399648,191.44760000000008,581,-18500.230067116805,27274.76155399648,37649.968501116804,-10375.206947120325
6,18121.535257999967,27274.76155399648,191.44760000000008,491,-39022.018120807996,27274.76155399648,57143.55337880796,-29868.791824811484
7,17592.93509599997,27274.76155399648,191.44760000000008,443,-3327.3951677895975,27274.76155399648,20920.330263789565,6354.431290206914
8,17541.32153399999,27274.76155399648,191.44760000000008,418,-41819.72006712263,27274.76155399648,59361.04160112262,-32086.28004712614
9,17001.73714199998,27274.76155399648,191.44760000000008,382,-27546.85281879729,27274.76155399648,44548.58996079727,-17273.82840680079
10,16619.564678000013,27274.76155399648,191.44760000000008,328,11963.789261740534,27274.76155399648,4655.775416259479,22618.986137737
11,16261.339334000011,27274.76155399648,191.44760000000008,305,1579.0185234888659,27274.76155399648,14682.320810511144,12592.440743485335
12,15312.775318000009,27274.76155399648,191.44760000000008,270,-1868.4914093827601,27274.76155399648,17181.26672738277,10093.49482661371
13,14905.04893000001,27274.76155399648,191.44760000000008,245,-427.27369125697805,27274.76155399648,15332.322621256988,11942.438932739491
14,14391.901620000008,27274.76155399648,191.44760000000008,229,17096.018322156182,27274.76155399648,-2704.116702156174,29978.878256152653
15,13882.723822000005,27274.76155399648,191.44760000000008,203,-1334.9467785106299,27274.76155399648,15217.670600510635,12057.090953485844
16,13592.865372000002,27274.76155399648,191.44760000000008,190,14413.672080541224,27274.76155399648,-820.8067085412222,28095.5682625377
17,13222.914372000003,27274.76155399648,191.44760000000008,180,24323.978724854092,27274.76155399648,-11101.06435285409,38375.82590685057
18,12377.226198000006,27274.76155399648,191.44760000000008,162,21427.369261748034,27274.76155399648,-9050.143063748028,36324.904617744505
19,12145.863440000001,27274.76155399648,191.44760000000008,156,7082.74442953471,27274.76155399648,5063.119010465291,22211.64254353119
20,12374.272432000007,27274.76155399648,191.44760000000008,147,-2392.2452349054747,27274.76155399648,14766.517666905482,12508.243887090997
