threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,61981.85342982365,61981.85342982365,406.56850000000134,803980,-4.2296139923792e-9,61981.85342982365,61981.853429827876,-4.2273313738405704e-9
1,53499.70326200019,61981.85342982365,406.56850000000134,8328,-31125.619600007805,61981.85342982365,84625.322862008,-22643.469432184356
2,49697.94860999949,61981.85342982365,406.56850000000134,4588,-52305.673700028885,61981.85342982365,102003.62231002838,-40021.768880204734
3,46466.464089999725,61981.85342982365,406.56850000000134,3109,-49807.57219998771,61981.85342982365,96274.03628998745,-34292.1828601638
4,44555.471214,61981.85342982365,406.56850000000134,2396,-38030.513700024574,61981.85342982365,82585.98491402456,-20604.131484200916
5,42234.33234599995,61981.85342982365,406.56850000000134,1892,-32485.497899986687,61981.85342982365,74719.83024598664,-12737.97681616299
6,40887.974357999985,61981.85342982365,406.56850000000134,1592,-66392.68050004379,61981.85342982365,107280.65485804377,-45298.80142822012
7,39788.36924199997,61981.85342982365,406.56850000000134,1386,-56620.77690012439,61981.85342982365,96409.14614212436,-34427.29271230071
8,38508.10662599999,61981.85342982365,406.56850000000134,1202,-62720.25320016651,61981.85342982365,101228.3598261665,-39246.506396342855
9,37292.879693999996,61981.85342982365,406.56850000000134,1074,-65024.4380001137,61981.85342982365,102317.3176941137,-40335.46426429006
10,35815.81889400001,61981.85342982365,406.56850000000134,936,-113743.17600004212,61981.85342982365,149558.99489404215,-87577.1414642185
11,34523.07370200004,61981.85342982365,406.56850000000134,831,-122582.77100008819,61981.85342982365,157105.84470208822,-95123.99127226457
12,34129.530166000004,61981.85342982365,406.56850000000134,763,-105898.05200005462,61981.85342982365,140027.58216605464,-78045.72873623099
13,33061.36466199998,61981.85342982365,406.56850000000134,687,-129899.09480007668,61981.85342982365,162960.45946207666,-100978.60603225301
14,32717.210918000008,61981.85342982365,406.56850000000134,643,-81037.67780007003,61981.85342982365,113754.88871807004,-51773.03528824639
15,32338.45373800003,61981.85342982365,406.56850000000134,612,-120101.04740008898,61981.85342982365,152439.50113808902,-90457.64770826537
16,32153.86838200004,61981.85342982365,406.56850000000134,576,-155363.7613002078,61981.85342982365,187517.62968220786,-125535.77625238421
17,31525.228033999996,61981.85342982365,406.56850000000134,539,-81800.88659990998,61981.85342982365,113326.11463390998,-51344.26120408633
18,30378.846786,61981.85342982365,406.56850000000134,498,-76207.88759981142,61981.85342982365,106586.73438581142,-44604.88095598777
19,29533.133466000025,61981.85342982365,406.56850000000134,466,-84846.28429980064,61981.85342982365,114379.41776580067,-52397.56433597702
20,29498.862770000003,61981.85342982365,406.56850000000134,441,-160418.72320013773,61981.85342982365,189917.58597013773,-127935.73254031409
