threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,3042893.7225384233,3042893.7225384233,1055.3866999999186,3670987,-1.0860781074484294e-7,3042893.7225384233,3042893.7225385318,-1.0849907994270325e-7
1,2838021.5724002467,3042893.7225384233,1055.3866999999186,140144,-657144.4683001036,3042893.7225384233,3495166.0407003504,-452272.31816192716
2,2737376.1325679002,3042893.7225384233,1055.3866999999186,82332,-959019.7862001386,3042893.7225384233,3696395.918768039,-653502.1962296157
3,2672135.917920009,3042893.7225384233,1055.3866999999186,60399,-1162202.7131000436,3042893.7225384233,3834338.6310200524,-791444.9084816291
4,2608482.9975119163,3042893.7225384233,1055.3866999999186,48021,-1329097.6073000073,3042893.7225384233,3937580.6048119236,-894686.8822735003
5,2531515.2475200677,3042893.7225384233,1055.3866999999186,38880,-1547279.0215002152,3042893.7225384233,4078794.2690202827,-1035900.5464818594
6,2502929.639280082,3042893.7225384233,1055.3866999999186,33982,-1688179.244900069,3042893.7225384233,4191108.884180151,-1148215.1616417277
7,2450445.6471600593,3042893.7225384233,1055.3866999999186,29808,-1744530.713700079,3042893.7225384233,4194976.360860138,-1152082.638321715
8,2436873.0618960727,3042893.7225384233,1055.3866999999186,27379,-1982122.9297002857,3042893.7225384233,4418995.991596358,-1376102.2690579346
9,2443489.132056078,3042893.7225384233,1055.3866999999186,25612,-1844410.1951000013,3042893.7225384233,4287899.327156079,-1245005.6046176557
10,2296438.111296038,3042893.7225384233,1055.3866999999186,21086,-2327421.2451001196,3042893.7225384233,4623859.356396157,-1580965.633857734
11,2247550.589424028,3042893.7225384233,1055.3866999999186,19069,-2760388.6923001925,3042893.7225384233,5007939.28172422,-1965045.5591857969
12,2235175.2333120317,3042893.7225384233,1055.3866999999186,18009,-2559818.473499564,3042893.7225384233,4794993.706811596,-1752099.9842731724
13,2225145.47388002,3042893.7225384233,1055.3866999999186,17086,-2441698.9980994565,3042893.7225384233,4666844.4719794765,-1623950.7494410533
14,2212553.190456027,3042893.7225384233,1055.3866999999186,16264,-2346536.1099995426,3042893.7225384233,4559089.30045557,-1516195.577917147
15,2168357.988552004,3042893.7225384233,1055.3866999999186,15068,-2764617.859399572,3042893.7225384233,4932975.847951576,-1890082.1254131529
16,2148275.39656802,3042893.7225384233,1055.3866999999186,14305,-2714699.9573993958,3042893.7225384233,4862975.353967415,-1820081.631428992
17,2141893.656168019,3042893.7225384233,1055.3866999999186,13775,-2656145.764599639,3042893.7225384233,4798039.420767657,-1755145.6982292342
18,2138659.375104018,3042893.7225384233,1055.3866999999186,13299,-2845078.6264000232,3042893.7225384233,4983738.001504041,-1940844.278965618
19,2127258.971208016,3042893.7225384233,1055.3866999999186,12779,-2892588.4655000204,3042893.7225384233,5019847.436708037,-1976953.7141696136
20,2006408.2508399962,3042893.7225384233,1055.3866999999186,10911,-3418807.163999892,3042893.7225384233,5425215.414839888,-2382321.6923014647
