threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,3266.377100000265,-3391.4239464709863,-1.0382830403968701,6532.75420000053,6532.75420000053,96.66649999999993,28899,3266.377100000265,-1.5205170456056294e-10,-9799.131299991624,-26131.016799991048,-42462.90229998417,-1695.7119732354931,-3141.3302535295434,-4837.042226765188,-4837.042226765188,-4837.042226765188,-4837.042226765188,-1695.711973235645,-1695.711973235645,-1695.711973235645,-1695.711973235645,0,0,0,0
1,3266.377100000265,-3391.4239464709863,-1.0382830403968701,5613.462600000014,6532.75420000053,96.66649999999993,1427,2806.731300000007,2575.4772000000303,-5844.716699992248,-19878.37319999066,-33912.02969998901,-1457.0907538705337,-2222.038653529028,-1580.8946461294504,-10001.088546121728,-24034.74504612014,-38068.40154611849,641.1440073995777,-7779.0498925926995,-21812.706392591113,-35846.36289258946,-194.93999999998778,-197.63999999998487,-202.13999999999214,-206.63999999998487
2,3266.377100000265,-3391.4239464709863,-1.0382830403968701,5095.592599999995,6532.75420000053,96.66649999999993,760,2547.7962999999977,6176.738299999153,-1466.6505999947694,-14205.632099994007,-26944.61359999173,-1322.666844337947,-1704.1686535290091,2403.8125443371046,-5239.576355656818,-17978.557855656058,-30717.539355653782,4107.981197866114,-3535.407702127809,-16274.389202127048,-29013.370702124772,-2347.069999999905,-2351.809999999896,-2359.70999999989,-2367.6099999998987
3,3266.377100000265,-3391.4239464709863,-1.0382830403968701,4682.730999999989,6532.75420000053,96.66649999999993,512,2341.3654999999944,-5180.850499999855,-12204.946999993437,-23911.77449999255,-35618.60199999157,-1215.500045010166,-1291.3070535290026,-8648.081454989679,-15672.17795498326,-27379.005454982373,-39085.83295498139,-7356.774401460676,-14380.870901454258,-26087.69840145337,-37794.52590145239,2522.487800000097,2521.017800000096,2518.5678000000953,2516.1178000000946
4,3266.377100000265,-3391.4239464709863,-1.0382830403968701,4318.3246,6532.75420000053,96.66649999999993,376,2159.1623,-6306.963300002069,-12784.450199996354,-23580.261699994793,-34376.07319999236,-1120.9107987771495,-926.9006535290137,-9504.37710122492,-15981.864001219205,-26777.675501217644,-37573.48700121521,-8577.476447695906,-15054.96334769019,-25850.77484768863,-36646.5863476862,1986.067800000077,1984.1178000000727,1980.8678000000727,1977.6178000000727
5,3266.377100000265,-3391.4239464709863,-1.0382830403968701,4256.762200000002,6532.75420000053,96.66649999999993,317,2128.381100000001,-1410.5894000029657,-7795.732699997083,-18437.63819999562,-29079.543699994276,-1104.930999815618,-865.3382535290157,-4562.42060018735,-10947.563900181465,-21589.469400180005,-32231.374900178664,-3697.0823466583342,-10082.225646652449,-20724.13114665099,-31366.03664664965,-7066.249999999942,-7075.399999999936,-7090.649999999936,-7105.899999999936
6,3266.377100000265,-3391.4239464709863,-1.0382830403968701,3920.1194000000023,6532.75420000053,96.66649999999993,246,1960.0597000000012,-31294.48229999817,-37174.66139999282,-46974.959899991576,-56775.2583999912,-1017.5483723376892,-528.695453529016,-34197.053327660484,-40077.23242765514,-49877.53092765389,-59677.829427653516,-33668.35787413147,-39548.536974126124,-49348.83547412488,-59149.1339741245,-7066.249999999942,-7075.399999999936,-7090.649999999936,-7105.899999999936
7,3266.377100000265,-3391.4239464709863,-1.0382830403968701,3741.001399999999,6532.75420000053,96.66649999999993,212,1870.5006999999996,-21016.592800000974,-26628.09489999694,-35980.598399996175,-45333.10189999401,-971.0545769302367,-349.5774535290129,-23786.539623070737,-29398.041723066704,-38750.54522306594,-48103.04872306378,-23436.962169541723,-29048.46426953769,-38400.96776953693,-47753.47126953477,6196.934100000857,6186.932700000849,6170.263700000854,6153.59470000086
8,3266.377100000265,-3391.4239464709863,-1.0382830403968701,3614.5461999999998,6532.75420000053,96.66649999999993,183,1807.2730999999999,-48035.37259999645,-53457.19189999235,-62493.5573999905,-71529.92289999005,-938.2305045477383,-223.1222535290135,-50711.68829544871,-56133.50759544461,-65169.87309544276,-74206.23859544231,-50488.566041919694,-55910.38534191559,-64946.750841913745,-73983.1163419133,6196.934100000857,6186.932700000849,6170.263700000854,6153.59470000086
9,3266.377100000265,-3391.4239464709863,-1.0382830403968701,3355.818600000002,6532.75420000053,96.66649999999993,153,1677.909300000001,-3743.704199996311,-8777.432099993457,-17166.978599992697,-25556.525099991122,-871.0723847570925,35.60534647098439,-6228.450415239221,-11262.178315236368,-19651.724815235608,-28041.271315234033,-6264.055761710206,-11297.783661707352,-19687.33016170659,-28076.876661705017,-1808.4235000003828,-1816.3543000003556,-1829.5723000003782,-1842.7903000003716
