threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0.0002218499999999994,0.0002218499999999994,0.00001,216,0.00014500000000000033,-1.9241497284383513e-11,-393.0505000000875,-1179.038000000071,-1965.1389999999835,-5.482488541767475,10.964755233534948,5.482266691748234,5.482266691748234,5.482266691748234,5.482266691748234,-5.482488541786714,-5.482488541786714,-5.482488541786714,-5.482488541786714,0,0,0,0
1,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
2,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
3,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
4,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
5,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
6,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
7,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
8,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
9,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
10,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
11,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
12,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
13,0.00014500000000000033,-10.964977083534949,-75620.53161058569,0,0.0002218499999999994,0.00001,0,0,0,0,0,0,0,10.964977083534949,0,0,0,0,-10.964977083534949,-10.964977083534949,-10.964977083534949,-10.964977083534949,616.2918000000047,616.2918000000047,616.2918000000047,616.2918000000047
