threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1138.134199999966,-531.939597315436,-0.4673786248716995,4028.995068000018,4028.995068000018,55.37949999999998,7548,1138.134199999966,-2.5545050936591724e-10,-2291.5453691168277,-7638.484563751005,-12985.4237583862,-265.969798657718,-3497.055470684582,-3763.0252693425555,-3763.0252693425555,-3763.0252693425555,-3763.0252693425555,-265.96979865797357,-265.96979865797357,-265.96979865797357,-265.96979865797357,0,0,0,0
1,1138.134199999966,-531.939597315436,-0.4673786248716995,3251.6308919999974,4028.995068000018,55.37949999999998,439,918.5398000000001,3201.2689261739574,1351.859932893962,-2963.4277181147327,-7278.715369124861,-214.65293430696298,-2719.6912946845614,164.290968480923,-1685.1180247990724,-6000.405675807767,-10315.693326817895,2883.9822631654843,1034.573269885489,-3280.7143811232054,-7596.002032133333,507.0134228187919,507.0134228187919,507.0134228187919,507.0134228187919
2,1138.134199999966,-531.939597315436,-0.4673786248716995,2682.1645440000007,4028.995068000018,55.37949999999998,189,757.6735999999995,-2286.051409397349,-3811.5687248265763,-7371.109127513288,-10930.649530200846,-177.06022263479494,-2150.2249466845647,-4791.155730762555,-6316.673046191782,-9876.213448878494,-13435.753851566053,-2640.9307840779907,-4166.448099507217,-7725.98850219393,-11285.528904881488,3618.30872483219,3618.30872483219,3618.30872483219,3618.30872483219
3,1138.134199999966,-531.939597315436,-0.4673786248716995,2380.1873219999998,4028.995068000018,55.37949999999998,123,672.3693,-13719.424630872858,-15073.188322142116,-18231.97026845243,-21390.75221476384,-157.12551941997359,-1848.2477246845638,-15942.486433452885,-17296.25012472214,-20455.032071032456,-23613.81401734387,-14094.23870876832,-15448.002400037578,-18606.784346347893,-21765.566292659307,12740.96744966447,12739.625906040317,12736.49563758394,12733.365369127563
4,1138.134199999966,-531.939597315436,-0.4673786248716995,2199.782904,4028.995068000018,55.37949999999998,94,621.4076000000001,-6732.056442954998,-7983.212684559291,-10902.577248320678,-13821.941812081184,-145.21631478641157,-1667.8433066845641,-8786.623032168585,-10037.77927377288,-12957.143837534266,-15876.508401294772,-7118.779725484021,-8369.935967088315,-11289.300530849701,-14208.665094610207,13174.830201342153,13174.810067113965,13174.763087248193,13174.71610738242
5,1138.134199999966,-531.939597315436,-0.4673786248716995,2198.3322120000003,4028.995068000018,55.37949999999998,82,620.9977999999999,20819.259530203253,19568.928389269535,16651.489060408712,13734.049731547402,-145.12054890617532,-1666.3926146845643,18766.047867109428,17515.71672617571,14598.277397314887,11680.838068453577,20432.440481793994,19182.109340860276,16264.670011999451,13347.230683138141,17597.504563758248,17595.551543624035,17590.99449664417,17586.437449664303
6,1138.134199999966,-531.939597315436,-0.4673786248716995,1875.6215639999996,4028.995068000018,55.37949999999998,61,529.8366000000001,-8282.093288590346,-9348.878389256608,-11838.043624157477,-14327.208859058335,-123.81715075734837,-1343.6819666845636,-10033.897701832997,-11100.68280249926,-13589.848037400128,-16079.013272300987,-8690.215735148433,-9757.000835814695,-12246.166070715564,-14735.331305616422,11322.212013422894,11317.359664429605,11306.037516778597,11294.71536912759
7,1138.134199999966,-531.939597315436,-0.4673786248716995,1741.8485039999994,4028.995068000018,55.37949999999998,51,492.0476,-24746.659127516432,-25737.358993282854,-28048.992013418836,-30360.62503355442,-114.98626532971002,-1209.9089066845634,-26373.52136618672,-27364.221231953143,-29675.854252089124,-31987.48727222471,-25163.612459502157,-26154.31232526858,-28465.94534540456,-30777.578365540146,13256.601543624029,13254.42583892607,13249.349194630755,13244.272550335467
8,1138.134199999966,-531.939597315436,-0.4673786248716995,1822.0167599999995,4028.995068000018,55.37949999999998,49,514.6940000000001,-42609.651073822235,-43645.94771811177,-46063.973221469336,-48481.998724826844,-120.27848697485727,-1290.0771626845635,-44311.389346847376,-45347.68599113691,-47765.71149449448,-50183.736997851986,-43021.312184162816,-44057.60882845234,-46475.63433180991,-48893.65983516742,11322.212013422894,11317.359664429605,11306.037516778597,11294.71536912759
9,1138.134199999966,-531.939597315436,-0.4673786248716995,1796.5790279999997,4028.995068000018,55.37949999999998,46,507.5082000000001,-33360.0842281834,-34381.91281878149,-36766.17953019254,-39150.446241604026,-118.59924231355575,-1264.6394306845636,-35038.06401386984,-36059.89260446794,-38444.159315878984,-40828.42602729047,-33773.42458318528,-34795.25317378338,-37179.51988519442,-39563.78659660591,11322.212013422894,11317.359664429605,11306.037516778597,11294.71536912759
10,1138.134199999966,-531.939597315436,-0.4673786248716995,1715.5399319999997,4028.995068000018,55.37949999999998,39,484.61580000000004,-19564.145167780003,-20539.881677843183,-22816.600201334935,-25093.318724826866,-113.24953309754929,-1183.6003346845637,-21166.435566682452,-22142.17207674563,-24418.890600237384,-26695.609123729315,-19982.835231997888,-20958.571742061067,-23235.29026555282,-25512.00878904475,11322.212013422894,11317.359664429605,11306.037516778597,11294.71536912759
11,1138.134199999966,-531.939597315436,-0.4673786248716995,1550.351496,4028.995068000018,55.37949999999998,33,437.95239999999995,3225.694161082871,2343.910805381583,286.41630873583824,-1771.0781879103033,-102.34479523563023,-1018.411898684564,1777.687460318501,895.9041046172133,-1161.5903920285316,-3219.0848886746735,2796.099359003065,1914.3160033017773,-143.1784933439676,-2200.6729899901093,10414.812281879902,10406.64825503428,10387.59885906123,10368.54946308798
12,1138.134199999966,-531.939597315436,-0.4673786248716995,1326.2418839999998,4028.995068000018,55.37949999999998,27,374.6446,-4971.396241598884,-5725.7142281720335,-7485.789530186646,-9245.864832202256,-87.55043898180396,-794.3022866845638,-6210.08768661708,-6964.405673190229,-8724.480975204842,-10484.556277220452,-5415.785399932516,-6170.103386505665,-7930.178688520278,-9690.253990535888,10414.812281879902,10406.64825503428,10387.59885906123,10368.54946308798
13,1138.134199999966,-531.939597315436,-0.4673786248716995,1410.7377900000001,4028.995068000018,55.37949999999998,22,398.5135000000001,-3735.4592617316125,-4537.835436224537,-6410.046510051159,-8282.257583878585,-93.12834581140403,-878.7981926845641,-5053.068705920209,-5855.444880413133,-7727.655954239755,-9599.86702806718,-4174.270513235645,-4976.646687728569,-6848.857761555191,-8721.068835382615,15117.102885905628,15109.190335570065,15090.727718120354,15072.265100670691
14,1138.134199999966,-531.939597315436,-0.4673786248716995,1147.7922540000002,4028.995068000018,55.37949999999998,16,324.23510000000005,3021.954630884747,2369.132281894051,845.880134241091,-677.3720134100668,-75.770277586569,-615.8526566845642,1949.9326544713158,1297.11030548062,-226.14184217234018,-1749.393989823498,2565.7853111558798,1912.962962165184,389.71081451222403,-1133.5413331389339,15117.102885905628,15109.190335570065,15090.727718120354,15072.265100670691
15,1138.134199999966,-531.939597315436,-0.4673786248716995,1222.9875180000004,4028.995068000018,55.37949999999998,16,345.4767,-22708.587852336215,-23404.17852347529,-25027.223422804942,-26650.268322134376,-80.73421248560634,-691.0479206845644,-23850.84115785061,-24546.431828989684,-26169.476728319336,-27792.52162764877,-23159.793237166046,-23855.38390830512,-25478.428807634773,-27101.473706964207,15117.102885905628,15109.190335570065,15090.727718120354,15072.265100670691
16,1138.134199999966,-531.939597315436,-0.4673786248716995,1236.0147180000001,4028.995068000018,55.37949999999998,16,349.15670000000006,-22160.460939585762,-22863.461006696787,-24503.794496630664,-26144.127986564934,-81.59418915537027,-704.0751206845641,-23314.88146843039,-24017.881535541415,-25658.215025475292,-27298.548515409562,-22610.806347745827,-23313.806414856852,-24954.13990479073,-26594.473394725,15117.102885905628,15109.190335570065,15090.727718120354,15072.265100670691
17,1138.134199999966,-531.939597315436,-0.4673786248716995,1250.686602,4028.995068000018,55.37949999999998,16,353.3013,-21761.42248321019,-22472.76738253656,-24132.572147638213,-25792.37691273985,-82.5627378796919,-718.747004684564,-22929.5463473305,-23640.89124665687,-25300.696011758522,-26960.500776860157,-22210.799342645936,-22922.144241972306,-24581.94900707396,-26241.753772175594,15117.102885905628,15109.190335570065,15090.727718120354,15072.265100670691
18,1138.134199999966,-531.939597315436,-0.4673786248716995,1135.8751980000002,4028.995068000018,55.37949999999998,14,320.8687,-18976.893557039282,-19622.93791945309,-21130.374765091692,-22637.811610730696,-74.98358588518494,-603.9356006845642,-20037.7851691541,-20683.829531567906,-22191.26637720651,-23698.703222845514,-19433.849568469537,-20079.893930883343,-21587.330776521947,-23094.76762216095,7495.604832217197,7488.125167787675,7470.672617452106,7453.220067116488
19,1138.134199999966,-531.939597315436,-0.4673786248716995,1008.3580259999999,4028.995068000018,55.37949999999998,12,284.8469,-20933.626644289332,-21507.14389260943,-22845.3508053622,-24183.55771811416,-66.56567621048325,-476.4184286845639,-21875.41899407885,-22448.936242398944,-23787.143155151716,-25125.350067903673,-21399.000565394286,-21972.51781371438,-23310.724726467153,-24648.93163921911,7495.604832217197,7488.125167787675,7470.672617452106,7453.220067116488
20,1138.134199999966,-531.939597315436,-0.4673786248716995,1008.3580259999999,4028.995068000018,55.37949999999998,12,284.8469,-20933.626644289332,-21507.14389260943,-22845.3508053622,-24183.55771811416,-66.56567621048325,-476.4184286845639,-21875.41899407885,-22448.936242398944,-23787.143155151716,-25125.350067903673,-21399.000565394286,-21972.51781371438,-23310.724726467153,-24648.93163921911,7495.604832217197,7488.125167787675,7470.672617452106,7453.220067116488
