threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.00010479999999999997,0,0,0.00005554399999999998,0.00005554399999999998,0.00001,40,0.00010479999999999997,7.602807272633072e-13,-6.895839999998831,-20.687520000000298,-34.47919999999806,0,-0.00005554399999999998,-0.000055543999239719255,-0.000055543999239719255,-0.000055543999239719255,-0.000055543999239719255,7.602807272633072e-13,7.602807272633072e-13,7.602807272633072e-13,7.602807272633072e-13,0,0,0,0
1,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
2,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
3,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
4,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
5,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
6,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
7,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
8,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
9,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
10,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
11,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
12,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
13,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
14,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
15,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
16,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
17,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
18,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
19,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
20,0.00010479999999999997,0,0,0,0.00005554399999999998,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.15969000000104,120.15969000000104,120.15969000000104,120.15969000000104
