threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,3408.0935000001086,-17228.631223234974,-5.055210845369831,11280.789484999683,11280.789484999683,120.4298999999999,22482,3408.0935000001086,4.526138710311223e-10,-12882.491179337905,-38647.47353805935,-68706.6196232122,-8614.315611617487,5947.841738235291,-2666.473873381743,-2666.473873381743,-2666.473873381743,-2666.473873381743,-8614.315611617034,-8614.315611617034,-8614.315611617034,-8614.315611617034,0,0,0,0
1,3408.0935000001086,-17228.631223234974,-5.055210845369831,8936.907650999989,11280.789484999683,120.4298999999999,1397,2699.9721000000022,14517.735558120627,4311.922025507024,-16099.705039755025,-39913.26994920662,-6824.464121057984,8291.723572234985,12405.292028178621,2199.4784955650193,-18212.14856969703,-42025.71347914862,4113.568455943636,-6092.245076669966,-26503.872141932014,-50317.437051383604,19.214847488295668,18.98804928843458,18.53445288871012,18.005257089032348
2,3408.0935000001086,-17228.631223234974,-5.055210845369831,7827.050087000008,11280.789484999683,120.4298999999999,732,2364.667700000006,10811.855114356957,1873.4821538393728,-16003.263767228817,-36859.46734178875,-5976.946901367882,9401.581136234967,8961.75192872483,23.378968207246544,-17853.366952860943,-38709.57052742088,-439.82920751013626,-9378.202168027721,-27254.94808909591,-48111.15166365585,-49.731805269692984,-53.58737466736007,-61.29851346267592,-70.29484205717745
3,3408.0935000001086,-17228.631223234974,-5.055210845369831,6976.153021000002,11280.789484999683,120.4298999999999,453,2107.5991000000026,20033.435397018537,12066.774031849076,-3866.5486985157218,-22455.425217260206,-5327.178914005854,10252.478202234972,18384.46129002439,10417.799924854928,-5515.5228055098705,-24104.399324254355,8131.9830877894165,165.32172261995584,-15768.001007744842,-34356.87752648933,-443.65507862963705,-447.20825042748174,-454.3145940231527,-462.6053282181053
4,3408.0935000001086,-17228.631223234974,-5.055210845369831,6681.356477000008,11280.789484999683,120.4298999999999,355,2018.5367000000006,17314.514947575368,9684.506782330625,-5575.50954818848,-23378.861933779583,-5102.064308808515,10547.274746234965,15735.222779383876,8105.214614139132,-7154.801716379973,-24958.154101971075,5187.94803314891,-2442.060132095833,-17702.07646261494,-35505.42884820604,-1395.1491264502617,-1400.3276853471084,-1410.6848031408015,-1422.7681072334376
5,3408.0935000001086,-17228.631223234974,-5.055210845369831,6178.648241000006,11280.789484999683,120.4298999999999,271,1866.6610999999996,7011.493942505245,-44.42901135573956,-14156.274919110598,-30620.09514480789,-4718.182718674988,11049.982982234967,5551.028420180227,-1504.8945336807583,-15616.740441435617,-32080.560667132908,-5498.954562054741,-12554.877515915727,-26666.723423670584,-43130.54364936787,-443.65507862963705,-447.20825042748174,-454.3145940231527,-462.6053282181053
6,3408.0935000001086,-17228.631223234974,-5.055210845369831,5618.048105000002,11280.789484999683,120.4298999999999,210,1697.2955000000002,-21243.27955826478,-27659.005625484555,-40490.4577599553,-55460.48525015323,-4290.0933096987055,11610.583118234972,-22571.234353566077,-28986.96042078585,-41818.4125552566,-56788.440045454525,-34181.81747180105,-40597.54353902082,-53428.99567349157,-68399.0231636895,-2749.6635754251993,-2754.653135822132,-2764.6322566160698,-2776.274564209004
7,3408.0935000001086,-17228.631223234974,-5.055210845369831,5387.578101000001,11280.789484999683,120.4298999999999,178,1627.6671000000003,-3161.1126796836206,-9313.645483917862,-21618.711092409423,-35974.62096897023,-4114.100188285831,11841.053122234973,-4434.59059239779,-10587.123396632032,-22892.18900512359,-37248.0988816844,-16275.643714632763,-22428.176518867003,-34733.242127358564,-49089.15200391937,-443.65507862963705,-447.20825042748174,-454.3145940231527,-462.6053282181053
8,3408.0935000001086,-17228.631223234974,-5.055210845369831,5044.467473000001,11280.789484999683,120.4298999999999,151,1524.0083000000004,-33537.3734258312,-39298.07907606704,-50819.49037656508,-64261.136893799376,-3852.0916432968206,12184.163750234973,-34729.74925553438,-40490.454905770224,-52011.866206268256,-65453.51272350256,-46913.913005769355,-52674.6186560052,-64196.02995650323,-77637.67647373753,-10.74771469326907,-34.44812657883093,-81.84895035002798,-137.14991141636344
9,3408.0935000001086,-17228.631223234974,-5.055210845369831,4931.088057,11280.789484999683,120.4298999999999,133,1489.7546999999993,-21619.075481508116,-27250.303551432622,-38512.75969130336,-51652.291854474104,-3765.5120581903375,12297.543166234973,-22784.651480317778,-28415.879550242287,-39678.335690113025,-52817.867853283766,-35082.19464655275,-40713.42271647726,-51975.878856348,-65115.41101951874,-10.74771469326907,-34.44812657883093,-81.84895035002798,-137.14991141636344
10,3408.0935000001086,-17228.631223234974,-5.055210845369831,5018.0377849999995,11280.789484999683,120.4298999999999,126,1516.0234999999998,29162.963834314785,23432.440488514854,11971.393796894949,-1399.8273433175937,-3831.909219517764,12210.593438234973,27976.83526883255,22246.31192303262,10785.265231412714,-2585.955908799829,15766.241830597577,10035.718484797646,-1425.3282068222597,-14796.549347034803,2076.0477220355947,2046.185959053841,1986.4624330900408,1916.7849861325674
11,3408.0935000001086,-17228.631223234974,-5.055210845369831,4796.903967000002,11280.789484999683,120.4298999999999,113,1449.2157,-17620.246858928356,-23098.23872511627,-34054.22245751158,-46836.203478629905,-3663.0454619601155,12431.727256234972,-18754.105363968243,-24232.097230156156,-35188.080962551474,-47970.061983669795,-31185.832620203215,-36663.824486391124,-47619.80821878645,-60401.78923990477,2076.0477220355947,2046.185959053841,1986.4624330900408,1916.7849861325674
12,3408.0935000001086,-17228.631223234974,-5.055210845369831,4372.489809,11280.789484999683,120.4298999999999,94,1320.9939000000004,-48494.844359694485,-53488.161668831985,-63474.79628712523,-75125.87000845681,-3338.951344973696,12856.141414234975,-49528.382823720785,-54521.700132858285,-64508.33475115153,-76159.40847248312,-62384.52423795576,-67377.84154709327,-77364.4761653865,-89015.5498867181,-2954.0843529008644,-2969.128633491631,-2999.2171946733843,-3034.320516051986
13,3408.0935000001086,-17228.631223234974,-5.055210845369831,4362.821961000001,11280.789484999683,120.4298999999999,84,1318.0730999999998,-57477.14120158076,-62459.41797434885,-72423.97151990252,-84049.2839897095,-3331.568715055116,12865.809262234972,-58508.39444752564,-63490.67122029373,-73455.22476584741,-85080.53723565438,-71374.20370976062,-76356.4804825287,-86321.03402808239,-97946.34649788935,-2954.0843529008644,-2969.128633491631,-2999.2171946733843,-3034.320516051986
14,3408.0935000001086,-17228.631223234974,-5.055210845369831,4228.382338999999,11280.789484999683,120.4298999999999,77,1277.4569000000004,-75096.37187858236,-79925.12063393118,-89582.61814464351,-100849.69857380199,-3228.9069876862627,13000.248884234974,-76095.8472298961,-80924.59598524492,-90582.09349595725,-101849.17392511573,-89096.09611413107,-93924.84486947989,-103582.34238019222,-114849.4228093507,-8880.875710891652,-8895.541994482664,-8924.874561664834,-8959.095890044031
15,3408.0935000001086,-17228.631223234974,-5.055210845369831,4040.0737910000016,11280.789484999683,120.4298999999999,69,1220.5660999999998,-38252.41639969017,-42866.119637891265,-52093.52611431408,-62858.83367013237,-3085.109493105378,13188.557432234971,-39207.38069758479,-43821.083935785886,-53048.4904122087,-63813.79796802699,-52395.93812981976,-57009.64136802086,-66237.04784444367,-77002.35540026196,-8880.875710891652,-8895.541994482664,-8924.874561664834,-8959.095890044031
16,3408.0935000001086,-17228.631223234974,-5.055210845369831,3759.1421750000004,11280.789484999683,120.4298999999999,60,1135.6925000000003,-91172.68306199707,-95465.56663860436,-104051.33379183148,-114068.06213725785,-2870.5825215025893,13469.489048234973,-92061.24271549449,-96354.12629210178,-104939.8934453289,-114956.62179075526,-105530.73176372946,-109823.61534033675,-118409.38249356387,-128426.11083899024,-11866.95120987173,-11873.150360667934,-11885.548662260415,-11900.01334745158
17,3408.0935000001086,-17228.631223234974,-5.055210845369831,3307.1054050000007,11280.789484999683,120.4298999999999,49,999.1255000000001,-108127.57531797557,-111904.23973190447,-119457.56855978307,-128269.78552562978,-2525.3950317427775,13921.525818234973,-108909.28569123278,-112685.95010516168,-120239.27893304029,-129051.49589888699,-122830.81150946776,-126607.47592339666,-134160.80475127525,-142973.02171712197,-4615.053569489133,-4641.815757072821,-4695.340132240344,-4757.785236602234
18,3408.0935000001086,-17228.631223234974,-5.055210845369831,3313.518861000001,11280.789484999683,120.4298999999999,49,1001.0631000000001,-80369.54178647624,-84153.53027027144,-91721.50723788649,-100550.81370009281,-2530.292520009772,13915.112362234973,-81152.76812746648,-84936.75661126168,-92504.73357887672,-101334.04004108305,-95067.88048970145,-98851.86897349665,-106419.8459411117,-115249.15240331802,-8880.875710891652,-8895.541994482664,-8924.874561664834,-8959.095890044031
19,3408.0935000001086,-17228.631223234974,-5.055210845369831,3130.3090370000004,11280.789484999683,120.4298999999999,42,945.7127000000002,-129134.89352509513,-132709.65915753375,-139859.19042242272,-148200.31023145485,-2390.388548821993,14098.322186234973,-129874.81401327314,-133449.57964571175,-140599.11091060072,-148940.23071963285,-143973.1361995081,-147547.9018319467,-154697.43309683568,-163038.5529058678,-8880.875710891652,-8895.541994482664,-8924.874561664834,-8959.095890044031
20,3408.0935000001086,-17228.631223234974,-5.055210845369831,3053.1569089999984,11280.789484999683,120.4298999999999,41,922.4039,-93655.56807289278,-97142.22714064848,-104115.54527617572,-112251.08310094906,-2331.4730995457144,14175.474314234976,-94377.25188234706,-97863.91095010276,-104837.22908563,-112972.76691040334,-108552.72619658204,-112039.38526433773,-119012.70339986497,-127148.24122463832,-8880.875710891652,-8895.541994482664,-8924.874561664834,-8959.095890044031
