threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,13493.0572000002,-7291.456375838605,-0.5403857900964428,45066.8110480048,45066.8110480048,221.13170000000014,122898,13493.0572000002,4.308868489453139e-10,-18111.486174581656,-54334.45852348248,-99613.17395968291,-3645.7281879193024,-37775.35467216619,-41421.082860085065,-41421.082860085065,-41421.082860085065,-41421.082860085065,-3645.728187918874,-3645.728187918874,-3645.728187918874,-3645.728187918874,0,0,0,0
1,13493.0572000002,-7291.456375838605,-0.5403857900964428,41253.87840400004,45066.8110480048,221.13170000000014,6265,12351.460599999993,6550.624765098708,-10028.51697994052,-43186.80046979768,-84634.65483217793,-3337.27689758804,-33962.42202816143,-31365.976741313294,-47945.11848635252,-81103.40197620967,-122551.25633858991,2596.4452868481385,-13982.696458191087,-47140.97994804824,-88588.83431042847,-230.95302013421647,-230.97986577180035,-231.03355704696816,-231.1006711409279
2,13493.0572000002,-7291.456375838605,-0.5403857900964428,36375.811744000064,45066.8110480048,221.13170000000014,3368,10890.961599999975,4009.1875167783273,-10609.552885976416,-39847.033691276556,-76393.8846979541,-2942.660444563003,-29084.355368161458,-29423.96378265873,-44042.70418541348,-73280.18499071362,-109827.03599739115,-339.60841449727377,-14958.348817252023,-44195.82962255216,-80742.6806292297,-66.84563758389106,-67.00671140939441,-67.32885906040113,-67.73154362415951
3,13493.0572000002,-7291.456375838605,-0.5403857900964428,33794.560879999866,45066.8110480048,221.13170000000014,2420,10118.132000000005,44935.52389261809,31354.13865765506,4191.368187915473,-29762.09489929917,-2733.847377560052,-26503.10450416126,13874.810390178276,293.42515521524683,-26869.345314524344,-60822.808401738985,40377.914894339534,26796.529659376505,-366.24081036308417,-34319.703897577725,-66.84563758389106,-67.00671140939441,-67.32885906040113,-67.73154362415951
4,13493.0572000002,-7291.456375838605,-0.5403857900964428,33369.95336,45066.8110480048,221.13170000000014,2009,9991.00400000002,-5427.801543610406,-18838.54516783986,-45660.0324160995,-79186.89147647048,-2699.498295198366,-26078.496984161393,-36098.25660841203,-49509.00023264149,-76330.48748090112,-109857.34654127211,-10019.75962425064,-23430.503248480098,-50251.99049673973,-83778.84955711072,9068.228187919838,9065.51677852389,9060.093959731943,9053.315436242036
5,13493.0572000002,-7291.456375838605,-0.5403857900964428,35515.22934799993,45066.8110480048,221.13170000000014,1819,10633.302200000018,-15902.617315440364,-30175.506174567716,-58721.283892626045,-94403.50604024454,-2873.042705340627,-28223.77297216132,-48544.80395809967,-62817.69281722702,-91363.47053528533,-127045.69268290384,-20321.03098593835,-34593.9198450657,-63139.69756312401,-98821.91971074251,-66.84563758389106,-67.00671140939441,-67.32885906040113,-67.73154362415951
6,13493.0572000002,-7291.456375838605,-0.5403857900964428,28283.830751999933,45066.8110480048,221.13170000000014,1183,8468.212799999992,39189.76865772104,27823.04006706107,5089.582885904902,-23327.238590572935,-2288.050932316403,-20992.37437616133,13193.98883803751,1827.2602473775391,-20906.196933778625,-49323.01841025647,34186.36321419884,22819.63462353887,86.17744238270461,-28330.644034095138,7480.14496644291,7479.849664429487,7479.259060402642,7478.520805369088
7,13493.0572000002,-7291.456375838605,-0.5403857900964428,18803.166604000024,45066.8110480048,221.13170000000014,608,5629.690600000002,-39063.985771815394,-46620.61744971014,-61733.88080537645,-80625.45999998921,-1521.1024014397592,-11511.710228161419,-56346.04997437566,-63902.681652270396,-79015.94500793672,-97907.52420254948,-44834.33974621424,-52390.971424108975,-67504.2347797753,-86395.81397438806,-3598.108523489845,-3600.136979865698,-3604.193892617354,-3609.265033556961
8,13493.0572000002,-7291.456375838605,-0.5403857900964428,18347.659074000017,45066.8110480048,221.13170000000014,539,5493.311099999998,59553.05818794074,52179.48624159258,37432.34234901248,18998.412483256605,-1484.2536295095292,-11056.202698161413,42689.65274345025,35316.08079710209,20568.93690452199,2135.0070387661167,53745.85544161166,46372.2834952635,31625.139602683405,13191.209736927529,3452.2043624160897,3451.674832214745,3450.6157718120617,3449.291946308706
9,13493.0572000002,-7291.456375838605,-0.5403857900964428,16505.299375999988,45066.8110480048,221.13170000000014,435,4941.7063999999955,12534.552013447626,5901.389060392882,-7364.936845619122,-23947.84422815118,-1335.2139586943229,-9213.843000161383,-2635.5334038580386,-9268.696356912784,-22535.022262924787,-39117.92964545685,6578.309596303345,-54.8533567514005,-13321.179262763404,-29904.086645295465,-6311.692416107419,-6314.297785234931,-6319.508523489955,-6326.021946308747
