threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,55581.516599656046,-193311.2115882516,-3.4779765543397905,93376.94788712439,93376.94788712439,782.1369999999899,1586057,55581.516599656046,5.150374349227604e-9,5.150374349227604e-9,5.150374349227604e-9,-55581.516600061586,-96655.6057941258,99934.26370112722,3278.6579070065636,3278.6579070065636,3278.6579070065636,3278.6579070065636,-96655.60579412065,-96655.60579412065,-96655.60579412065,-96655.60579412065,0,0,0,0
1,55581.516599656046,-193311.2115882516,-3.4779765543397905,83617.25702400056,93376.94788712439,782.1369999999899,27667,49772.17679999966,58697.232500006474,58697.232500006474,58697.232500006474,8925.055699677512,-86553.23198442683,109693.95456425105,61633.20746043275,61633.20746043275,61633.20746043275,11861.030660103788,-48060.7471038183,-48060.7471038183,-48060.7471038183,-97832.92390414726,-13.440000000009377,-13.440000000009377,-13.440000000009377,-13.450000000009368
2,55581.516599656046,-193311.2115882516,-3.4779765543397905,78461.49796800011,93376.94788712439,782.1369999999899,15223,46703.272599999815,86957.68470002437,86957.68470002437,86957.68470002437,40254.41209971733,-81216.44355686965,114849.7136202515,89712.63028889391,89712.63028889391,89712.63028889391,43009.35768858687,-25137.083331357586,-25137.083331357586,-25137.083331357586,-71840.35593166463,177.00999999999522,177.00999999999522,177.00999999999522,176.98999999999478
3,55581.516599656046,-193311.2115882516,-3.4779765543397905,75159.15556799978,93376.94788712439,782.1369999999899,10483,44737.592600000185,110939.52169999067,110939.52169999067,110939.52169999067,66201.92909969582,-77798.14908020297,118152.05602025182,113578.51521219386,113578.51521219386,113578.51521219386,68840.922611899,-4573.5408080579655,-4573.5408080579655,-4573.5408080579655,-49311.13340835282,-621.2899999998554,-621.2899999998554,-621.2899999998554,-621.7199999998629
4,55581.516599656046,-193311.2115882516,-3.4779765543397905,71778.35548800013,93376.94788712439,782.1369999999899,7861,42725.21159999997,119654.00980003033,119654.00980003033,119654.00980003033,76928.7981997414,-74298.64211200317,121532.85610025148,122174.29642403337,122174.29642403337,122174.29642403337,79449.08482374444,641.4403237818915,641.4403237818915,641.4403237818915,-42083.77127650703,-621.2899999998554,-621.2899999998554,-621.2899999998554,-621.7199999998629
5,55581.516599656046,-193311.2115882516,-3.4779765543397905,69935.73484800027,93376.94788712439,782.1369999999899,6435,41628.41359999999,135953.69819997088,135953.69819997088,135953.69819997088,94325.28459969623,-72391.32324757983,123375.47674025134,138409.28659955045,138409.28659955045,138409.28659955045,96780.87299927579,15033.809859299115,15033.809859299115,15033.809859299115,-26594.60374097555,62.010000000474975,62.010000000474975,62.010000000474975,59.96000000045751
6,55581.516599656046,-193311.2115882516,-3.4779765543397905,67856.94921599988,93376.94788712439,782.1369999999899,5327,40391.04120000015,156877.11450002284,156877.11450002284,156877.11450002284,116486.07329975558,-70239.54714948652,125454.26237225173,159259.71243350947,159259.71243350947,159259.71243350947,118868.67123324222,33805.45006125774,33805.45006125774,33805.45006125774,-6585.591139009513,-1973.249999999869,-1973.249999999869,-1973.249999999869,-1974.2999999998865
7,55581.516599656046,-193311.2115882516,-3.4779765543397905,65272.87199999995,93376.94788712439,782.1369999999899,4454,38852.89999999998,171681.5574998965,171681.5574998965,171681.5574998965,132828.65749964013,-67564.73763405418,128038.33958825166,173973.42313395074,173973.42313395074,173973.42313395074,135120.52313369437,45935.083545699075,45935.083545699075,45935.083545699075,7082.1835454427055,-6889.15799999889,-6889.15799999889,-6889.15799999889,-6890.544999998907
8,55581.516599656046,-193311.2115882516,-3.4779765543397905,63844.57900799993,93376.94788712439,782.1369999999899,3874,38002.7256000001,228676.79029999825,228676.79029999825,228676.79029999825,190674.06469973852,-66086.29431890445,129466.63258025168,230918.5056109028,230918.5056109028,230918.5056109028,192915.78001064304,101451.87303065111,101451.87303065111,101451.87303065111,63449.14743039136,-12787.880000002217,-12787.880000002217,-12787.880000002217,-12792.98000000231
9,55581.516599656046,-193311.2115882516,-3.4779765543397905,62213.77276800004,93376.94788712439,782.1369999999899,3392,37032.0075999999,217098.82059998834,217098.82059998834,217098.82059998834,180066.81299974944,-64398.2270964663,131097.43882025155,219283.2749284546,219283.2749284546,219283.2749284546,182251.2673282157,88185.83610820305,88185.83610820305,88185.83610820305,51153.82850796415,-14724.960000002757,-14724.960000002757,-14724.960000002757,-14730.850000002887
10,55581.516599656046,-193311.2115882516,-3.4779765543397905,60704.67278399999,93376.94788712439,782.1369999999899,3038,36133.733799999965,241853.03610002738,241853.03610002738,241853.03610002738,205719.3022997917,-62836.13948857755,132606.5388042516,243984.50280460494,243984.50280460494,243984.50280460494,207850.76900436927,111377.96400035333,111377.96400035333,111377.96400035333,75244.23020011766,-9693.674599998863,-9693.674599998863,-9693.674599998863,-9694.727599998878
11,55581.516599656046,-193311.2115882516,-3.4779765543397905,59270.05895999995,93376.94788712439,782.1369999999899,2730,35279.79700000003,245698.82939999737,245698.82939999737,245698.82939999737,210419.03239976987,-61351.153403933684,134041.15262825164,247779.92384393112,247779.92384393112,247779.92384393112,212500.12684370362,113738.77121567947,113738.77121567947,113738.77121567947,78458.97421545198,8520.804000001284,8520.804000001284,8520.804000001284,8519.057000001281
12,55581.516599656046,-193311.2115882516,-3.4779765543397905,58014.69139200006,93376.94788712439,782.1369999999899,2464,34532.55439999994,273162.9632001354,273162.9632001354,273162.9632001354,238630.4087999051,-60051.70728233158,135296.52019625154,275199.9790904669,275199.9790904669,275199.9790904669,240667.42469023663,139903.45889421538,139903.45889421538,139903.45889421538,105370.90449398509,-7385.4446000004245,-7385.4446000004245,-7385.4446000004245,-7386.127600000429
13,55581.516599656046,-193311.2115882516,-3.4779765543397905,57113.3088959999,93376.94788712439,782.1369999999899,2259,33996.017199999966,206351.79009979172,206351.79009979172,206351.79009979172,172355.77289956762,-59118.67538126607,136197.90269225172,208357.15658505788,208357.15658505788,208357.15658505788,174361.13938483378,72159.25389280615,72159.25389280615,72159.25389280615,38163.23669258205,-19050.67459999933,-19050.67459999933,-19050.67459999933,-19053.2275999994
14,55581.516599656046,-193311.2115882516,-3.4779765543397905,56240.42188799995,93376.94788712439,782.1369999999899,2095,33476.441599999926,283708.4436000758,283708.4436000758,283708.4436000758,250232.00199985644,-58215.13950376248,137070.78970025165,285683.16121583834,285683.16121583834,285683.16121583834,252206.71961561896,148612.37151558668,148612.37151558668,148612.37151558668,115135.9299153673,-52991.92960001179,-52991.92960001179,-52991.92960001179,-52999.19140001177
