threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,8355.069500000753,-19065.93288590601,-2.2819598192336157,16977.50122399958,16977.50122399958,134.34629999999976,46284,8355.069500000753,-7.699772989222787e-10,-5607.429194658501,-11214.858389315146,-22429.716778475027,-9532.966442953008,2088.4316619064302,-7444.534781047345,-7444.534781047345,-7444.534781047345,-7444.534781047345,-9532.966442953775,-9532.966442953775,-9532.966442953775,-9532.966442953775,0,0,0,0
1,8355.069500000753,-19065.93288590601,-2.2819598192336157,15373.351015999959,16977.50122399958,134.34629999999976,3464,7565.625500000006,10424.235838924302,5346.634832186383,269.03382545326326,-9886.16818787397,-8632.226699184623,3692.581869906053,3683.111522108966,-1394.4894846289535,-6472.0904913620725,-16627.292504689303,-9.470347797087015,-5087.071354535006,-10164.672361268125,-20319.874374595354,-54.785234899328856,-54.785234899328856,-54.785234899328856,-54.785234899328856
2,8355.069500000753,-19065.93288590601,-2.2819598192336157,14347.475902399992,16977.50122399958,134.34629999999976,2115,7060.765700000001,16645.16872483043,11906.399798631983,7167.6308724358405,-2309.906979823306,-8056.191810211458,4718.456983506019,10353.884632641895,5615.115706443448,876.346780247306,-8601.19107201184,5635.427649135876,896.658722937429,-3842.110203258713,-13319.648055517859,5718.397718120729,5717.919731543569,5717.44174496637,5716.485771812024
3,8355.069500000753,-19065.93288590601,-2.2819598192336157,13504.725035199952,16977.50122399958,134.34629999999976,1433,6646.026100000006,27019.021879192933,22558.601677826304,18098.181476461406,9177.341073862544,-7582.982258888953,5561.20785070606,21097.279102881934,16636.858901515305,12176.438700150407,3255.5982975515453,15536.071252175874,11075.651050809245,6615.230849444348,-2305.6095531545143,-247.7785234899329,-248.4496644295302,-249.1208053691275,-250.46308724832215
4,8355.069500000753,-19065.93288590601,-2.2819598192336157,12694.011899199973,16977.50122399958,134.34629999999976,1125,6247.053099999993,39673.91543623595,35481.262348966484,31288.609261699003,22903.30308727926,-7127.762081409391,6371.920986706038,34107.66561844537,29915.0125311759,25722.35944390842,17337.053269488675,27735.74463173933,23543.091544469862,19350.43845720238,10965.132282782637,2076.659463087334,2074.8190604027286,2072.978657718123,2069.2978523490615
5,8355.069500000753,-19065.93288590601,-2.2819598192336157,12257.654732799976,16977.50122399958,134.34629999999976,909,6032.3104,34144.8600671058,30096.329597288983,26047.7991274689,17950.73818795102,-6882.74497497253,6808.2781531060355,28769.950309278356,24721.419839461538,20672.889369641456,12575.828430123576,21961.67215617232,17913.141686355502,13864.61121653542,5767.550277017541,13757.431543624118,13757.306778523445,13757.182013422775,13756.932483221433
6,8355.069500000753,-19065.93288590601,-2.2819598192336157,11664.548476799999,16977.50122399958,134.34629999999976,732,5740.4274,57371.397583885766,53518.76174493643,49666.125905996276,41960.854228216165,-6549.712336013847,7401.384409106013,52256.56144309962,48403.92560415028,44551.289765210124,36846.01808743001,44855.177033993605,41002.541195044265,37149.90535610411,29444.633678324,18637.948859060332,18637.374563758305,18636.800268456278,18635.65167785227
7,8355.069500000753,-19065.93288590601,-2.2819598192336157,11375.70496,16977.50122399958,134.34629999999976,636,5598.280000000002,52975.89416106486,49218.65926171621,45461.42436237025,37946.95456378405,-6387.525008409585,7690.227925906012,47987.71420947444,44230.47931012579,40473.24441077983,32958.774612193636,40297.48628356843,36540.25138421978,32783.01648487382,25268.546686287624,-5048.321476510358,-5050.683959731869,-5053.046442953332,-5057.771409396307
8,8355.069500000753,-19065.93288590601,-2.2819598192336157,10696.376676799991,16977.50122399958,134.34629999999976,539,5263.9649,18747.700604023503,15214.83825501218,11681.975906001555,4616.251208080148,-6006.078195828049,8369.55620910602,14057.402123051561,10524.539774040237,6991.677425029612,-74.04727289179482,5687.845913945541,2154.9835649342167,-1377.878784076408,-8443.603481997816,-17305.492013422736,-17308.988120805298,-17312.48422818786,-17319.476442952884
9,8355.069500000753,-19065.93288590601,-2.2819598192336157,10332.79904479999,16977.50122399958,134.34629999999976,485,5085.038899999992,-27966.222751676098,-31379.000536927433,-34791.77832218044,-41617.33389258405,-5801.927224519944,8733.133841106022,-32497.094571956146,-35909.872357207474,-39322.65014246049,-46148.205712864095,-41230.22841306217,-44643.006198313495,-48055.78398356651,-54881.339553970116,38489.81510067246,38487.332550336854,38484.85000000124,38479.88489933012
