threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,35102.054399969755,-181749.74646217216,-5.177752401361692,71327.37454055452,71327.37454055452,331.50240000000554,1272571,35102.054399969755,7.274252311617602e-10,7.274252311617602e-10,-35102.05440023131,-70204.10879965399,-90874.87323108608,110422.37192161764,19547.498690532288,19547.498690532288,19547.498690532288,19547.498690532288,-90874.87323108535,-90874.87323108535,-90874.87323108535,-90874.87323108535,0,0,0,0
1,35102.054399969755,-181749.74646217216,-5.177752401361692,61564.89795200034,71327.37454055452,331.50240000000554,18544,30297.685999999743,45982.34759999027,45982.34759999027,15684.661599793195,-14613.024399728165,-78436.95822110059,120184.84851017181,62854.40786909052,62854.40786909052,32556.721868893444,2259.0358693720773,-57330.44064108129,-57330.44064108129,-87628.12664127836,-117925.81264079973,-34.65000000000873,-34.65000000000873,-34.65000000000873,-34.65000000000873
2,35102.054399969755,-181749.74646217216,-5.177752401361692,56591.894131200286,71327.37454055452,331.50240000000554,9813,27850.341599999927,78124.7634000149,78124.7634000149,50274.42179983412,22424.080200267956,-72101.08654907152,125157.85233097187,93633.95581788613,93633.95581788613,65783.61421770536,37933.27261813919,-31523.89651308574,-31523.89651308574,-59374.23811326652,-87224.57971283268,-34.65000000000873,-34.65000000000873,-34.65000000000873,-34.65000000000873
3,35102.054399969755,-181749.74646217216,-5.177752401361692,52894.71889919992,71327.37454055452,331.50240000000554,6503,26030.865599999972,84148.6309000054,84148.6309000054,58117.76529983827,32086.899700241513,-67390.68843496166,128855.02756297225,98644.60043576715,98644.60043576715,72613.73483560001,46582.86923600325,-30210.427127205097,-30210.427127205097,-56241.29272737223,-82272.15832696899,-173.410000000149,-173.410000000149,-175.85000000015134,-178.29000000009546
4,35102.054399969755,-181749.74646217216,-5.177752401361692,49430.39298560011,71327.37454055452,331.50240000000554,4703,24325.98080000001,98233.1480999837,98233.1480999837,73907.16729982727,49581.186500201,-62976.95275133923,132319.35347657205,111779.70786572281,111779.70786572281,87453.72706556639,63127.74626594012,-20539.645610849242,-20539.645610849242,-44865.626411005665,-69191.60721063193,-173.410000000149,-173.410000000149,-175.85000000015134,-178.29000000009546
5,35102.054399969755,-181749.74646217216,-5.177752401361692,47602.65612800016,71327.37454055452,331.50240000000554,3773,23426.50399999997,67177.94260010263,67177.94260010263,43751.43859995762,20324.934600320878,-60648.31867075457,134147.090334172,80223.60514285704,80223.60514285704,56797.101142712025,33370.59714307528,-53923.485191314976,-53923.485191314976,-77349.98919145999,-100776.49319109673,-173.410000000149,-173.410000000149,-175.85000000015134,-178.29000000009546
6,35102.054399969755,-181749.74646217216,-5.177752401361692,45945.60036160007,71327.37454055452,331.50240000000554,3074,22611.023799999988,102794.4841000518,102794.4841000518,80183.46029989806,57572.43650025432,-58537.141388848155,135804.14610057208,115386.02512729989,115386.02512729989,92775.00132714614,70163.9775275024,-20418.12097327219,-20418.12097327219,-43029.14477342594,-65640.16857306968,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
7,35102.054399969755,-181749.74646217216,-5.177752401361692,43742.29178880009,71327.37454055452,331.50240000000554,2550,21526.718400000078,127220.0029001577,127220.0029001577,105693.28450002067,84166.56610036409,-55730.00894451867,138007.45467337206,139207.72005587627,139207.72005587627,117681.00165573925,96154.28325608266,1200.265382504207,1200.265382504207,-20326.45301763281,-41853.1714172894,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
8,35102.054399969755,-181749.74646217216,-5.177752401361692,42031.341286400086,71327.37454055452,331.50240000000554,2181,20684.715199999984,120388.82850002497,120388.82850002497,99704.11329989415,79019.39810021291,-53550.16689914131,139718.4051757721,131907.6541127662,131907.6541127662,111222.93891263538,90538.22371295415,-7810.751063005882,-7810.751063005882,-28495.46626313671,-49180.18146281794,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
9,35102.054399969755,-181749.74646217216,-5.177752401361692,40936.5895008,71327.37454055452,331.50240000000554,1919,20145.95940000005,143138.49480002653,143138.49480002653,122992.53539989283,102846.57600021735,-52155.39483054271,140813.15696137215,154357.30012976922,154357.30012976922,134211.34072963553,114065.38132996006,13544.143168397073,13544.143168397073,-6601.816231736622,-26747.775631412092,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
