threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.000062,0,0,0.000031620000000000006,0.000031620000000000006,0.00001,8,0.000062,9.84758019386358e-13,-0.7897726983235402,-2.2903408251362216,-3.7909089519446164,0,-0.000031620000000000006,-0.00003161999901524199,-0.00003161999901524199,-0.00003161999901524199,-0.00003161999901524199,9.847580175891164e-13,9.847580175891164e-13,9.847580175891164e-13,9.847580175891164e-13,0,0,0,0
1,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
2,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
3,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
4,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
5,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
6,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
7,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
8,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
9,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
10,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
11,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
12,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
13,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
14,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
15,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
16,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
17,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
18,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
19,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
20,0.000062,0,0,0,0.000031620000000000006,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055910811733215,3.055910811733215,3.055910811733215,3.055910811733215
