threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.00002,0,0,0.0001,0.0001,0.00001,2,0.00002,0,-24.957360012456363,-74.87208003736342,-124.78680006227235,0,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0,0,0,0,0,0,0,0
1,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
2,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
3,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
4,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
5,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
6,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
7,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
8,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
9,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
10,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
11,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
12,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
13,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
14,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
15,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
16,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
17,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
18,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
19,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
20,0.00002,0,0,0,0.0001,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.447318003218162,6.447318003218162,6.447318003218162,6.447318003218162
