threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.00045400000000000074,0,0,0.0027240000000000003,0.0027240000000000003,0.00001,56,0.00045400000000000074,-2.091837814077735e-11,-145.2799999998815,-435.8399999999556,-726.4000000000124,0,-0.0027240000000000003,-0.0027240000209183784,-0.0027240000209183784,-0.0027240000209183784,-0.0027240000209183784,-2.091837814077735e-11,-2.091837814077735e-11,-2.091837814077735e-11,-2.091837814077735e-11,0,0,0,0
1,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
2,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
3,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
4,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
5,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
6,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
7,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
8,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
9,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
10,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
11,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
12,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
13,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
14,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
15,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
16,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
17,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
18,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
19,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
20,0.00045400000000000074,0,0,0,0.0027240000000000003,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.75000000003638,163.75000000003638,163.75000000003638,163.75000000003638
