threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1.2272539999999956,-4.951030740954721,-4.0342347557675415,5.7312761800000676,5.7312761800000676,0.2,561,1.2272539999999956,3.9406700125255156e-11,-6136.270000000151,-18408.809999999958,-30681.349999999828,-2.4755153704773605,-0.7802454390453466,-3.2557608094833004,-3.2557608094833004,-3.2557608094833004,-3.2557608094833004,-2.4755153704379538,-2.4755153704379538,-2.4755153704379538,-2.4755153704379538,0,0,0,0
1,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
2,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
3,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
4,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
5,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
6,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
7,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
8,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
9,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
10,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
11,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
12,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
13,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
14,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
15,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
16,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
17,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
18,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
19,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
20,1.2272539999999956,-4.951030740954721,-4.0342347557675415,0,5.7312761800000676,0.2,0,0,0,0,0,0,0,4.951030740954721,0,0,0,0,-4.951030740954721,-4.951030740954721,-4.951030740954721,-4.951030740954721,9679.424000000241,9679.424000000241,9679.424000000241,9679.424000000241
