threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,2316.4576000001293,2316.4576000001293,48.599999999999994,4423,1158.2288000000647,1.2039344641283994e-11,-1603.9950698680268,-4811.9852095963415,-8821.972884270765,-670.5218609020991,-975.4138781959311,-1645.9357390980185,-1645.9357390980185,-1645.9357390980185,-1645.9357390980185,-670.5218609020874,-670.5218609020874,-670.5218609020874,-670.5218609020874,0,0,0,0
1,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,1457.8308000000031,2316.4576000001293,48.599999999999994,451,728.9154000000016,404.0574582118374,-605.3948261308587,-2624.299394809829,-5147.93010566811,-421.98373106261187,-116.78707819580495,-631.7896107255538,-1641.2418950682502,-3660.146463747221,-6183.777174605501,-515.0025325297488,-1524.4548168724452,-3543.359385551416,-6066.990096409696,5.1932584580919805,4.362337104800084,2.7004943982062173,0.6231910149664025
2,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,1247.656400000001,2316.4576000001293,48.599999999999994,211,623.8282000000005,2456.5031367281213,1592.5828497821274,-135.25772410438032,-2295.05844147106,-361.14664524589944,93.3873218041972,1569.9933819740197,706.0730950280258,-1021.7674788584818,-3181.5681962251615,1476.6060601698225,612.6857732238286,-1115.154800662679,-3274.9555180293587,-377.93072885646535,-379.17711088640823,-381.6698749462839,-384.7858300211361
3,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,1021.8764000000003,2316.4576000001293,48.599999999999994,120,510.93820000000017,-1589.6452658259877,-2297.2277001500747,-3712.392568792247,-5481.348654602229,-295.79236215672574,319.16732180419785,-2315.729303669262,-3023.3117379933497,-4438.476606635521,-6207.432692445503,-2634.89662547346,-3342.4790597975475,-4757.643928439719,-6526.6000142497005,-407.1514631139961,-409.7827140661056,-415.04521597028423,-421.6233433505478
4,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,977.1544000000002,2316.4576000001293,48.599999999999994,90,488.5772000000001,2146.5387971025534,1469.9234167469756,116.69265604149848,-1574.8457948477092,-282.8471311871358,363.88932180419795,1452.2315282896889,775.6161479341112,-577.614612771366,-2269.1530636605735,1088.3422064854908,411.7268261299132,-941.5039345755639,-2633.0423854647715,-1743.307620933624,-1744.8309767480043,-1747.8776883767448,-1751.6860779126853
5,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,898.8780000000003,2316.4576000001293,48.599999999999994,69,449.43900000000014,4840.978548381421,4218.564444874928,2973.736237867185,1417.700979101924,-260.18924295610833,442.1657218041979,4202.289791337529,3579.8756878310364,2335.0474808232934,779.0122220580322,3760.1240695333313,3137.7099660268386,1892.8817590190956,336.8465002538343,-407.1514631139961,-409.7827140661056,-415.04521597028423,-421.6233433505478
6,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,868.8316,2316.4576000001293,48.599999999999994,59,434.4158,6503.602113310324,5901.993172595252,4698.775291169858,3194.7529393826117,-251.49201144131266,472.2121218041982,5886.262524751637,5284.653584036565,4081.4357026111707,2577.4133508239242,5414.050402947439,4812.441462232367,3609.2235808069727,2105.2012290197263,-1759.9260479995528,-1761.864864490584,-1765.7424974726061,-1770.589538700174
7,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,747.3240000000001,2316.4576000001293,48.599999999999994,45,373.66200000000003,-3623.328670943345,-4140.801562135579,-5175.747344515374,-6469.429572494549,-216.3204192370162,593.7197218041981,-4154.33225170633,-4671.805142898564,-5706.750925278358,-7000.4331532575325,-4748.051973510528,-5265.524864702762,-6300.470647082557,-7594.152875061731,-1712.0095832929746,-1712.9789915384802,-1714.9178080295012,-1717.3413286432751
8,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,690.9240000000001,2316.4576000001293,48.599999999999994,38,345.46200000000005,1935.3521029231915,1456.9325153359482,500.0933401655725,-695.9556288018905,-199.9948741655777,650.1197218041981,1444.4229770887691,966.0033895015258,9.164214331150106,-1186.8847546363131,794.303255284571,315.8836676973277,-640.955507473048,-1837.004476440511,-5197.316124028891,-5202.57862593307,-5213.103629741468,-5226.259884501995
9,1158.2288000000647,-1341.0437218041982,-1.1578400759885468,656.3956000000001,2316.4576000001293,48.599999999999994,30,328.19780000000003,-2493.0190834940495,-2947.5300170346272,-3856.5518841127964,-4992.829217965769,-190.00028284563695,684.6481218041981,-2959.4144006484125,-3413.9253341889903,-4322.9472012671595,-5459.224535120132,-3644.0625224526107,-4098.573455993188,-5007.595323071358,-6143.87265692433,-6229.500477779508,-6233.7658740597735,-6242.296666620222,-6252.960157320884
