threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1279.169199999979,-5214.543624161073,-4.076508114924248,2571.130092000085,2571.130092000085,58.87939999999997,8043,1279.169199999979,-4.2413659758073643e-10,-2575.508456375766,-7726.525369127393,-12877.54228187913,-2607.2718120805366,2643.4135321609883,36.141720080027426,36.141720080027426,36.141720080027426,36.141720080027426,-2607.271812080961,-2607.271812080961,-2607.271812080961,-2607.271812080961,0,0,0,0
1,1279.169199999979,-5214.543624161073,-4.076508114924248,2110.6559759999977,2571.130092000085,58.87939999999997,474,1050.0775999999994,1422.38328859035,-691.8669127518752,-4920.3673154363505,-9148.867718121177,-2140.3249288500883,3103.8876481610755,1452.0522414404406,-662.1979599017845,-4890.6983625862595,-9119.198765271087,-1651.8354067206349,-3766.08560806286,-7994.5860107473345,-12223.086413432162,-88.96644295301466,-89.18791946308178,-89.63087248321601,-90.07382550335024
2,1279.169199999979,-5214.543624161073,-4.076508114924248,1834.1905259999987,2571.130092000085,58.87939999999997,242,912.5325999999995,7439.349194631005,5602.035234898828,1927.407315435951,-1747.220604027146,-1859.9732745164606,3380.3530981610747,7465.131943147468,5627.817983415291,1953.1900639524129,-1721.4378555106841,4084.778844986393,2247.464885254216,-1427.1630342086619,-5101.790953671759,-142.35570469797875,-142.67785234898392,-143.32214765099732,-143.96644295301076
3,1279.169199999979,-5214.543624161073,-4.076508114924248,1769.9573579999987,2571.130092000085,58.87939999999997,173,880.5757999999994,7700.39865771901,5927.427248322823,2381.4844295305747,-1164.458389261199,-1794.8371972529546,3444.5862661610745,7725.278496971966,5952.307087575779,2406.364268783531,-1139.5785500082432,4280.6922308108915,2507.720821414705,-1038.2219973775436,-4584.164816169317,334.8255033557492,334.66442953024665,334.3422818792392,334.02013422823245
4,1279.169199999979,-5214.543624161073,-4.076508114924248,1567.261722,2571.130092000085,58.87939999999997,123,779.7321999999997,15700.114832215559,14130.184228188693,10990.323020134796,7850.461812081705,-1589.292320383868,3647.281902161073,15722.145430599427,14152.214826572561,11012.353618518664,7872.492410465573,12074.863528438353,10504.932924411489,7365.071716357591,4225.2105083045,-3778.1471812080517,-3781.160872483226,-3787.188255033562,-3793.2156375839104
5,1279.169199999979,-5214.543624161073,-4.076508114924248,1580.7182699999994,2571.130092000085,58.87939999999997,107,786.427,4684.1108053697135,3100.7007382559077,-66.11939597249982,-3232.9395302002063,-1602.938023647766,3633.825354161074,4706.3305590174805,3122.9204919036742,-43.89964232473335,-3210.71977655244,1072.5052048564066,-510.9048622573996,-3677.7249964858074,-6844.545130713514,8327.073825503481,8323.268456375963,8315.657718120956,8308.046979865896
6,1279.169199999979,-5214.543624161073,-4.076508114924248,1554.9259499999996,2571.130092000085,58.87939999999997,95,773.5949999999998,-180.4346979862994,-1738.0085234905036,-4853.156174497017,-7968.303825503577,-1576.7831475824116,3659.6176741610734,-158.57750040388737,-1716.1513259080918,-4831.298976914605,-7946.446627921165,-3818.195174564961,-5375.7690000691655,-8490.916651075679,-11606.064302082239,-12848.407583892771,-12854.856979865956,-12867.755771812252,-12880.654563758548
7,1279.169199999979,-5214.543624161073,-4.076508114924248,1388.754024,2571.130092000085,58.87939999999997,75,690.9223999999999,8961.982617450942,7570.863691276457,4788.6258389274735,2006.3879865788967,-1408.2753851914686,3825.7896001610734,8981.50397864241,7590.385052467926,4808.147200118942,2025.9093477703652,5155.714378481336,3764.595452306852,982.3575999578688,-1799.8802523907082,-2438.133624161078,-2438.919261744968,-2440.4905369127537,-2442.0618120805366
8,1279.169199999979,-5214.543624161073,-4.076508114924248,1297.57158,2571.130092000085,58.87939999999997,61,645.5579999999999,3353.3685234877084,2053.5873154342758,-545.9751006729862,-3145.537516780248,-1315.8112128271337,3916.9720441610734,3371.6081563148423,2071.8269482614096,-527.7354678458526,-3127.2978839531147,-545.3638878462311,-1845.1450958996638,-4444.707512006926,-7044.269928114189,18394.04932885942,18387.033758389643,18373.00261745004,18358.971476510444
9,1279.169199999979,-5214.543624161073,-4.076508114924248,1055.1438719999999,2571.130092000085,58.87939999999997,44,524.9471999999997,6002.443154362025,4945.502483221307,2831.621140939476,717.7397986577467,-1069.9757603533806,4159.399752161074,6017.275042715406,4960.334371574688,2846.4530292928566,732.5716870111274,1857.8752905543324,800.9346194136142,-1312.946722868217,-3426.8280651499463,18394.04932885942,18387.033758389643,18373.00261745004,18358.971476510444
