threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,4101.705300000252,-10918.410566415372,-2.6619198035545613,8203.410600000503,8203.410600000503,183.11070000000038,27021,4101.705300000252,-1.8765931095836846e-10,-14150.391083444401,-44809.57176425531,-75468.75244512908,-5459.205283207686,2714.999966414869,-2744.2053167930044,-2744.2053167930044,-2744.2053167930044,-2744.2053167930044,-5459.205283207873,-5459.205283207873,-5459.205283207873,-5459.205283207873,0,0,0,0
1,4101.705300000252,-10918.410566415372,-2.6619198035545613,7295.538600000016,8203.410600000503,183.11070000000038,2010,3647.769300000008,2034.693571033783,-10549.672784389688,-37815.7998878233,-65081.92699130366,-4855.034669234191,3622.871966415356,-405.81035973204234,-12990.17671515551,-40256.30381858912,-67522.4309220695,-4028.6823261473983,-16613.048681570865,-43879.175785004474,-71145.30288848486,-13.701773402995402,-13.736272203003042,-13.81101960301931,-13.88576700303571
2,4101.705300000252,-10918.410566415372,-2.6619198035545613,6559.063399999999,8203.410600000503,183.11070000000038,1001,3279.5316999999995,1777.4730480890323,-9536.517775569397,-34050.16456017849,-58563.81134482924,-4364.925189307478,4359.347166415373,-416.6651626034891,-11730.655986261918,-36244.302770871014,-60757.949555521765,-4776.012329018862,-16090.003152677291,-40603.64993728639,-65117.296721937135,-31.13516700680574,-32.101133407014935,-34.19406060747203,-36.28698780793331
3,4101.705300000252,-10918.410566415372,-2.6619198035545613,6144.289399999995,8203.410600000503,183.11070000000038,679,3072.1446999999976,5869.975823611392,-4728.554736332046,-27692.037616221878,-50655.5204961527,-4088.90140815759,4774.121166415377,3814.587831768987,-6783.942728174452,-29747.425608064284,-52710.908487995104,-959.5333346463899,-11558.063894589828,-34521.54677447966,-57485.02965441048,-37.569193208209114,-41.01907320895475,-48.493813210588435,-55.96855321223048
4,4101.705300000252,-10918.410566415372,-2.6619198035545613,5978.966600000003,8203.410600000503,183.11070000000038,556,2989.4833000000017,4743.51525596221,-5569.843393285574,-27915.45380000653,-50261.064206764895,-3978.882399332823,4939.443966415369,2743.4310552950296,-7569.927593952754,-29915.538000673714,-52261.148407432076,-2196.012911120339,-12509.371560368123,-34854.98196708909,-57200.592373847445,-31.13516700680574,-32.101133407014935,-34.19406060747203,-36.28698780793331
5,4101.705300000252,-10918.410566415372,-2.6619198035545613,5786.417800000004,8203.410600000503,183.11070000000038,458,2893.208900000002,11397.38793531687,1416.1644132127872,-20209.81988469577,-41835.804182638334,-3850.745033365157,5131.992766415368,9461.715168682023,-519.5083534220603,-22145.492651330616,-43771.47694927318,4329.722402266655,-5651.501119837429,-27277.485417745986,-48903.469715688545,-4654.187110617435,-4656.015547017835,-4659.977159218696,-4663.93877141957
6,4101.705300000252,-10918.410566415372,-2.6619198035545613,5226.8712000000005,8203.410600000503,183.11070000000038,331,2613.4356000000002,6989.280880149285,-2026.7583295418533,-21561.509950550422,-41096.26157159089,-3478.377989477249,5691.539366415372,5240.787669626533,-3775.2515400646053,-23310.003161073175,-42844.75478211364,-450.7516967888387,-9466.790906479977,-29001.542527488546,-48536.294148529014,-5709.320891766026,-5718.048053203946,-5736.956902986048,-5755.865752768216
7,4101.705300000252,-10918.410566415372,-2.6619198035545613,4973.652599999997,8203.410600000503,183.11070000000038,274,2486.8262999999984,14557.119975964362,5977.867658252531,-12610.512363466869,-31198.89238521806,-3309.866087985156,5944.757966415375,12893.333463949522,4314.0811462376905,-14274.298875481709,-32862.678897232894,6948.575497534147,-1630.676820177685,-20219.056841897083,-38807.43686364827,-3297.3378067207564,-3299.9252167213135,-3305.531271722539,-3311.1373267237727
8,4101.705300000252,-10918.410566415372,-2.6619198035545613,4672.248800000003,8203.410600000503,183.11070000000038,231,2336.1244000000015,11370.317474426594,3310.9686275985982,-14150.953873867315,-31612.876375364354,-3109.2879019635106,6246.161766415369,9807.356576390102,1748.0077295621059,-15713.914771903805,-33175.83727340085,3561.1948099747333,-4498.154036853263,-21960.076538319176,-39421.99903981622,-5709.320891766026,-5718.048053203946,-5736.956902986048,-5755.865752768216
9,4101.705300000252,-10918.410566415372,-2.6619198035545613,4560.728000000002,8203.410600000503,183.11070000000038,210,2280.364000000001,13173.15795014666,5306.1757921141425,-11738.952216966387,-28784.08022607493,-3035.073045456448,6357.68256641537,11647.502995603107,3780.520837570589,-13264.607171509942,-30309.73518061848,5289.820429187736,-2577.1617288447815,-19622.28973792531,-36667.417747033855,-5945.840294768566,-5964.935035584769,-6006.306974019785,-6047.678912454869
