threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.000062,0,0,0.00005828,0.00005828,0.00001,8,0.000062,-2.1880214258577215e-12,-0.769841599857648,-2.309524799574073,-4.234128799213358,0,-0.00005828,-0.00005828000218802142,-0.00005828000218802142,-0.00005828000218802142,-0.00005828000218802142,-2.188021424741511e-12,-2.188021424741511e-12,-2.188021424741511e-12,-2.188021424741511e-12,0,0,0,0
1,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
2,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
3,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
4,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
5,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
6,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
7,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
8,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
9,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
10,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
11,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
12,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
13,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
14,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
15,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
16,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
17,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
18,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
19,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
20,0.000062,0,0,0,0.00005828,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.265170799207922,4.265170799207922,4.265170799207922,4.265170799207922
