threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1049.0609999999906,-707.0469798657717,-0.6739808074704694,2286.9529799999614,2286.9529799999614,51.2598,5518,1049.0609999999906,3.910827217623564e-11,-9856.948993286102,-30274.914765104575,-49988.812751675854,-353.52348993288587,-1579.9060001341895,-1933.4294900670363,-1933.4294900670363,-1933.4294900670363,-1933.4294900670363,-353.5234899328468,-353.5234899328468,-353.5234899328468,-353.5234899328468,0,0,0,0
1,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1987.5264919999945,2286.9529799999614,51.2598,416,911.7094000000002,4249.695906040865,-4316.701140936909,-22061.380738258347,-39194.174832213255,-307.23731879520864,-1280.4795121342227,2569.4067328360793,-5996.990314141694,-23741.669911463134,-40874.46400541804,3849.886244970302,-4716.510802007471,-22461.190399328912,-39593.98449328382,279.2147651006711,279.2147651006711,279.2147651006711,279.2147651006711
2,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1437.4239839999998,2286.9529799999614,51.2598,164,659.3687999999999,-2731.3680536910497,-8926.779597313294,-21760.132080539497,-34150.9551677839,-222.20095812241718,-730.3770041342281,-3946.5910795686327,-10142.002623190876,-22975.355106417082,-35366.17819366148,-3216.2140754344045,-9411.625619056647,-22244.978102282854,-34635.80118952725,181.64429530199976,181.26845637582525,180.489932885892,179.73825503354337
3,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1341.0422600000002,2286.9529799999614,51.2598,120,615.1569999999998,-6577.845906040015,-12357.844563756686,-24330.69892617719,-35890.696241610276,-207.3020057905557,-633.9952801342284,-7711.586160249459,-13491.58481796613,-25464.439180386635,-37024.436495819726,-7077.59088011523,-12857.589537831902,-24830.443900252405,-36390.441215685496,-2288.845637584018,-2307.5436241611987,-2346.27516778536,-2383.671140939722
4,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1282.206676,2286.9529799999614,51.2598,93,588.1682000000002,3955.073154363006,-1571.339463084883,-13018.908456378334,-24071.73369127391,-198.20703918222634,-575.1596961342283,2871.073517545232,-2655.339099902657,-14102.908093196107,-25155.733328091683,3446.2332136794603,-2080.1794037684285,-13527.74839706188,-24580.573631957453,-147.248322147626,-148.1879194630607,-150.13422818789445,-152.01342281876538
5,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1339.6736560000002,2286.9529799999614,51.2598,86,614.5292,-8109.340000000227,-13883.439865770257,-25844.075302016674,-37392.27503355652,-207.09044321509077,-632.6266761342284,-9241.923212785136,-15016.023078555167,-26976.658514801584,-38524.85824634143,-8609.296536650907,-14383.396402420938,-26344.031838667357,-37892.2315702072,1239.5234899328984,1225.7114093959856,1197.100671140952,1169.476510067139
6,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1054.828752,2286.9529799999614,51.2598,61,483.86639999999994,-13895.477046979202,-18441.872751675295,-27859.40671141125,-36952.1981208042,-163.05833348991456,-347.78177213422816,-14787.247465489287,-19333.643170185383,-28751.17712992134,-37843.968539314286,-14439.465693355058,-18985.861398051155,-28403.39535778711,-37496.18676718006,1817.8791946310225,1798.1476510068615,1757.2751677853598,1717.8120805370627
7,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1047.0644640000003,2286.9529799999614,51.2598,55,480.30480000000006,-18862.017114093836,-23374.948120803638,-32723.16234899528,-41749.02436241517,-161.85810846797116,-340.01748413422854,-19747.223469625864,-24260.154476335665,-33608.36870452731,-42634.230717947205,-19407.205985491637,-23920.13699220144,-33268.35122039308,-42294.213233812974,-1609.3154362418607,-1639.5704697989077,-1702.241610738505,-1762.751677852599
8,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1040.1277040000004,2286.9529799999614,51.2598,50,477.1227999999999,-5954.636778521757,-10437.669798654495,-19723.95248322219,-28690.018523487768,-160.78580500328562,-333.0807241342287,-6833.978677518472,-11317.011697651209,-20603.294382218908,-29569.360422484486,-6500.897953384243,-10983.93097351698,-20270.213658084678,-29236.279698350256,-1595.221476510117,-1634.8724832215264,-1717.0067114094459,-1796.3087248322647
9,1049.0609999999906,-707.0469798657717,-0.6739808074704694,1069.6869780000004,2286.9529799999614,51.2598,45,490.6820999999999,-2248.412214762113,-6858.84805368587,-16409.036577180428,-25629.908255029553,-165.35515898465277,-362.6399981342287,-3152.7440337774606,-7763.179872701217,-17313.368396195776,-26534.2400740449,-2790.104035643232,-7400.539874566989,-16950.728398061547,-26171.600075910672,27499.712416107548,27480.072013422996,27439.38832214782,27400.107516778695
