threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1813.2637999999972,-19372.745141712985,-10.683908839802028,6056.301092000085,6056.301092000085,132.76559999999978,6732,1813.2637999999972,-1.5991150179547617e-9,-3377.240092145629,-9005.973579073065,-15760.453763367048,-9686.372570856493,13316.4440497129,3630.0714788548084,3630.0714788548084,3630.0714788548084,3630.0714788548084,-9686.372570858091,-9686.372570858091,-9686.372570858091,-9686.372570858091,0,0,0,0
1,1813.2637999999972,-19372.745141712985,-10.683908839802028,5396.866187999996,6056.301092000085,132.76559999999978,714,1615.8282,2622.895279529742,-386.6170589721083,-5402.470956491762,-11421.495633500073,-8631.6805947907,13975.878953712989,5857.709686320445,2848.1973478185946,-2167.656549701058,-8186.681226709368,-8118.169267392544,-11127.681605894395,-16143.535503414047,-22162.560180422355,-3.6008719993315115,-3.6194971993280385,-3.6505391993223912,-3.6877895993154453
2,1813.2637999999972,-19372.745141712985,-10.683908839802028,5034.860287999994,6056.301092000085,132.76559999999978,386,1507.4431999999993,5710.962627388202,2903.3195190489523,-1776.0856615322557,-7391.371878215944,-8052.692864989724,14337.88485371299,8728.795204377931,5921.1520960386815,1241.7469154574737,-4373.539301226214,-5609.089649335059,-8416.732757674308,-13096.137938255517,-18711.424154939203,-39.783427192627904,-43.266339591972944,-49.07119359088134,-56.03701838960755
3,1813.2637999999972,-19372.745141712985,-10.683908839802028,4881.662503999997,6056.301092000085,132.76559999999978,285,1461.5755999999994,2650.753115331471,-71.46067067167264,-4608.483647358982,-10052.911219370726,-7807.670236439473,14491.082637712989,5576.760847770947,2854.547061767804,-1682.4759149195052,-7126.903486931249,-8914.321789942042,-11636.535575945185,-16173.558552632494,-21617.986124644238,-52.72794119021147,-58.241000389191356,-67.42943238751526,-78.4555507854389
4,1813.2637999999972,-19372.745141712985,-10.683908839802028,4752.11526,6056.301092000085,132.76559999999978,226,1422.7889999999995,5873.006834078084,3223.0338662932945,-1193.5877466965012,-6493.53368227114,-7600.473987136541,14620.629881712986,8721.365561214625,6071.392593429836,1654.7709804400401,-3645.1749551345974,-5899.2643204983615,-8549.237288283151,-12965.858901272946,-18265.804836847583,-39.783427192627904,-43.266339591972944,-49.07119359088134,-56.03701838960755
5,1813.2637999999972,-19372.745141712985,-10.683908839802028,4772.5473759999995,6056.301092000085,132.76559999999978,194,1428.9063999999996,25731.203824238728,23069.837076609023,18634.225830542055,13311.492335275329,-7633.152859104844,14600.197765712986,28591.809307343574,25930.44255971387,21494.8313136469,16172.097818380174,13991.611541630587,11330.244794000882,6894.633547933914,1571.900052667188,-3.6008719993315115,-3.6194971993280385,-3.6505391993223912,-3.6877895993154453
6,1813.2637999999972,-19372.745141712985,-10.683908839802028,4559.489444000002,6056.301092000085,132.76559999999978,163,1365.1166000000003,16193.804242907328,13651.247273551831,9413.652324609215,4328.538385890296,-7292.390655050246,14813.255697712983,18926.705453957573,16384.148484602076,12146.55353565946,7061.4395969405405,4113.44975624459,1570.8927868890933,-2666.7021620535234,-7751.816100772442,-53.386031590051765,-58.30308438916538,-66.49817238761578,-76.33227798580687
7,1813.2637999999972,-19372.745141712985,-10.683908839802028,4293.622103999998,6056.301092000085,132.76559999999978,139,1285.5155999999993,9101.720393020365,6707.421878156767,2716.924353369153,-2071.672676365842,-6867.1657412716995,15079.123037712987,11675.264030292066,9280.965515428468,5290.467990640855,501.87096090585874,-3403.8590074209205,-5798.157522284519,-9788.655047072132,-14577.252076807128,-3.6008719993315115,-3.6194971993280385,-3.6505391993223912,-3.6877895993154453
8,1813.2637999999972,-19372.745141712985,-10.683908839802028,4307.650103999999,6056.301092000085,132.76559999999978,129,1289.7156000000002,9190.693159653409,6788.5720607914855,2785.0368960054293,-2019.2053017246171,-6889.601949835289,15065.095037712985,11772.6450054887,9370.523906626775,5366.988741840719,562.7465441106724,-3292.4500322242857,-5694.57113108621,-9698.106295872265,-14502.348493602312,2242.1884931836735,2227.7353379864826,2203.6467459909236,2174.7404355962526
9,1813.2637999999972,-19372.745141712985,-10.683908839802028,4196.665244000001,6056.301092000085,132.76559999999978,116,1256.4866,35658.47583907795,33318.24441728277,29417.85871427903,24737.395870685905,-6712.094146416397,15176.079897712985,38173.90474149435,35833.67331969916,31933.28761669543,27252.8247731023,22997.824843781364,20657.593421986177,16757.207718982445,12076.744875389315,422.82929032142994,415.32333472284296,402.8134087251499,387.8014975279759
