threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,919.0290000000003,-14366.161322006436,-15.631891182983813,3041.985990000012,3041.985990000012,71.72579999999996,6087,919.0290000000003,1.242692100994658e-10,-1909.1020509891132,-5090.938802647204,-8909.142904625358,-7183.080661003218,11324.175332006424,4141.0946710033295,4141.0946710033295,4141.0946710033295,4141.0946710033295,-7183.080661003094,-7183.080661003094,-7183.080661003094,-7183.080661003094,0,0,0,0
1,919.0290000000003,-14366.161322006436,-15.631891182983813,2754.702484,3041.985990000012,71.72579999999996,353,832.2364000000001,1960.3223282428257,231.51483887337747,-2649.8309767522887,-6107.445955492023,-6504.714421659096,11611.458838006436,5710.334265901922,3981.5267765324734,1100.1809609068068,-2357.4340178329267,-5901.124572104514,-7629.932061473963,-10511.27787709963,-13968.892855839364,-75.91851431262589,-75.96006038029054,-76.02930382639863,-76.11239596172763
2,919.0290000000003,-14366.161322006436,-15.631891182983813,2519.124488,3041.985990000012,71.72579999999996,188,761.0647999999999,1612.3143929421951,31.35190904288308,-2603.5855641319863,-5765.510531931294,-5948.441068399668,11847.036834006436,5041.630973341864,3460.6684894425516,825.7310162676822,-2336.193951531626,-6805.405860664572,-8386.368344563885,-11021.305817738754,-14183.230785538062,793.1075073744366,791.0302039912019,787.5680316858106,783.4134249193411
3,919.0290000000003,-14366.161322006436,-15.631891182983813,2432.735474,3041.985990000012,71.72579999999996,137,734.9653999999997,2905.170546607432,1378.4244346281296,-1166.152418678625,-4219.644642637474,-5744.449578029084,11933.425848006435,6216.884650636515,4690.138538657213,2145.5616853504584,-907.9305386083906,-5716.541197369919,-7243.287309349222,-9787.864162655977,-12841.356386614825,915.9899735489306,913.9126701656959,910.4504978603046,906.295891093835
4,919.0290000000003,-14366.161322006436,-15.631891182983813,2283.822546,3041.985990000012,71.72579999999996,105,689.9766000000002,6880.822265922612,5447.531540390724,3058.7136644960447,192.13221343403904,-5392.8195650025755,12082.338776006436,9989.819284925188,8556.5285593933,6167.710683498621,3301.1292324366145,-2092.519491081248,-3525.8102166131357,-5914.628092507815,-8781.209543569821,214.88318630646768,212.90974809239063,209.62068440224874,205.67380797411474
5,919.0290000000003,-14366.161322006436,-15.631891182983813,2413.1005539999996,3041.985990000012,71.72579999999996,99,729.0334,2981.2307330105555,1466.807184700784,-1057.2320624902059,-4086.0791591103934,-5698.085388780356,11953.060768006435,6266.215567790912,4751.79201948114,2227.7527722901505,-801.0943243300371,-5686.845200215523,-7201.2687485252945,-9725.307995716284,-12754.155092336472,-1045.9053580580448,-1047.8164771706072,-1051.001675691571,-1054.8239139167158
6,919.0290000000003,-14366.161322006436,-15.631891182983813,2124.6016160000017,3041.985990000012,71.72579999999996,75,641.8735999999999,10887.546012270675,9554.179811381884,7331.902809894663,4665.170408119428,-5016.849134215038,12241.559706006434,13779.793530485713,12446.427329596921,10224.1503281097,7557.417926334465,1538.233824479279,204.8676235904877,-2017.4093778967344,-4684.141779671969,-2691.0565165006697,-2697.288426650334,-2707.674943566548,-2720.1387638659567
7,919.0290000000003,-14366.161322006436,-15.631891182983813,2047.3256940000006,3041.985990000012,71.72579999999996,65,618.5274000000001,10847.41943524848,9562.550374606475,7421.101940196446,4851.3638189113935,-4834.376505246952,12318.835628006434,13634.47024649543,12349.601185853426,10208.152751443396,7638.414630158344,1315.6346184889953,30.765557846991214,-2110.682876563038,-4680.42099784809,214.88318630646768,212.90974809239063,209.62068440224874,205.67380797411474
8,919.0290000000003,-14366.161322006436,-15.631891182983813,2034.5351920000003,3041.985990000012,71.72579999999996,57,614.6632000000001,13536.332105415715,12259.490160506954,10131.420252317721,7577.736362500996,-4804.1741282923085,12331.626130006436,16305.971041708022,15029.129096799263,12901.05918861003,10347.375298793304,3974.344911701586,2697.5029667928266,569.433058603594,-1984.2508312131322,214.88318630646768,212.90974809239063,209.62068440224874,205.67380797411474
9,919.0290000000003,-14366.161322006436,-15.631891182983813,1869.2503419999998,3041.985990000012,71.72579999999996,49,564.7281999999999,5234.539184864029,4061.4273843970495,2106.2410502786925,-239.982550655277,-4413.884885181159,12496.910980006436,7779.173728045189,6606.061927578208,4650.875593459852,2304.651992525882,-4717.737251961247,-5890.849052428228,-7846.035386546584,-10192.258987480554,-993.6283565759779,-994.7081388745721,-996.507776038926,-998.6673406361344
