threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,625.1021999999987,-4502.019986063307,-7.202054297782534,2100.3433920000016,2100.3433920000016,46.87419999999999,2339,625.1021999999987,7.562310358023603e-11,-1390.0890623447647,-3475.2226558586112,-6255.40078054885,-2251.0099930316537,2401.676594063306,150.66660103172762,150.66660103172762,150.66660103172762,150.66660103172762,-2251.0099930315782,-2251.0099930315782,-2251.0099930315782,-2251.0099930315782,0,0,0,0
1,625.1021999999987,-4502.019986063307,-7.202054297782534,1901.7633600000013,2100.3433920000016,46.87419999999999,224,566.0009999999997,5246.378020170287,3987.7169574247064,2099.725363310287,-417.5967621800988,-2038.1849672996052,2600.256626063306,5382.799627469891,4124.1385647243105,2236.1469706098906,-281.1751548804948,2782.5430014065846,1523.8819386610044,-364.1096554534156,-2881.4317809438007,98.45780935543827,98.45780935543827,98.45780935543827,98.45780935543827
2,625.1021999999987,-4502.019986063307,-7.202054297782534,1694.9103359999997,2100.3433920000016,46.87419999999999,122,504.4376000000001,4215.517528937504,3093.759854119317,1411.1233418958902,-832.39200774045,-1816.4934925215537,2807.1096500633075,4337.100685459058,3215.343010640871,1532.7064984174442,-710.8088512188963,1529.9910353957503,408.2333605775634,-1274.4031516458633,-3517.9185012822036,-198.41666944633846,-200.6404483137679,-203.97611661491203,-208.42367434977086
3,625.1021999999987,-4502.019986063307,-7.202054297782534,1526.706047999999,2100.3433920000016,46.87419999999999,77,454.37679999999983,6366.953089386359,5356.519563694217,3840.8692751611475,1820.0022237779635,-1636.2231926263369,2975.3139380633083,6476.470234012697,5466.036708320555,3950.3864197874855,1929.5193684043013,3501.1562959493886,2490.7227702572463,975.0724817241771,-1045.794569659007,174.48102560677333,174.48102560677333,174.48102560677333,174.48102560677333
4,625.1021999999987,-4502.019986063307,-7.202054297782534,1412.4381600000002,2100.3433920000016,46.87419999999999,63,420.3684999999999,-997.4666711129785,-1932.273257946721,-3334.4831381950044,-5204.096311864367,-1513.7583810386984,3089.5818260633073,-896.1464500742802,-1830.9530369080228,-3233.1629171563054,-5102.776090825668,-3985.7282761375873,-4920.53486297133,-6322.744743219613,-8192.357916888976,5083.738950598716,5080.405728454312,5075.40589523774,5068.739450948934
5,625.1021999999987,-4502.019986063307,-7.202054297782534,1445.04864,2100.3433920000016,46.87419999999999,57,430.074,18956.818217196156,18000.428744564233,16565.84453561977,14653.065590355269,-1548.708150032263,3056.9713460633075,19060.47772722842,18104.088254596496,16669.504045652033,14756.725100387532,16003.506381165113,15047.11690853319,13612.532699588726,11699.753754324225,346.6092931717692,342.16173543691036,335.49039883462206,326.5952833649044
6,625.1021999999987,-4502.019986063307,-7.202054297782534,1233.3017759999998,2100.3433920000016,46.87419999999999,42,367.05409999999983,-8870.851484927822,-9687.098635712073,-10911.469361885604,-12543.96366345488,-1321.7717792118494,3268.7182100633077,-8782.381481715973,-9598.628632500224,-10822.999358673755,-12455.493660243032,-12051.09969177928,-12867.346842563531,-14091.717568737062,-15724.211870306339,6807.700390273254,6803.253499672054,6796.5831637702395,6787.689382567841
7,625.1021999999987,-4502.019986063307,-7.202054297782534,1183.7592479999998,2100.3433920000016,46.87419999999999,38,352.30929999999995,-463.6078588338234,-1247.0658349737628,-2422.252799180758,-3989.168751461153,-1268.6753541068779,3318.2607380633076,-378.6917527269454,-1162.1497288668847,-2337.33669307388,-3904.2526453542755,-3696.9524907902533,-4480.410466930192,-5655.597431137187,-7222.513383417583,9726.33232151381,9720.217596762037,9711.045509634429,9698.816060130854
8,625.1021999999987,-4502.019986063307,-7.202054297782534,1228.907232,2100.3433920000016,46.87419999999999,37,365.74619999999993,1832.653857701546,1019.3151872979092,-200.69281830528243,-1827.3701591126876,-1317.0619958038149,3273.1127540633074,1920.8086215053609,1107.469951101724,-112.53805450146751,-1739.215395308873,-1352.3041325579466,-2165.6428029615836,-3385.6508085647747,-5012.328149372181,16540.212148503615,16530.206477867505,16515.197971913367,16495.18663064114
9,625.1021999999987,-4502.019986063307,-7.202054297782534,1062.9763199999998,2100.3433920000016,46.87419999999999,27,316.362,19785.72322848363,19082.204098426,18026.925403340203,16619.887143223263,-1139.228150877539,3439.0436660633077,19861.975059361164,19158.455929303538,18103.17723421774,16696.138974100802,16422.931393297855,15719.41226324023,14664.133568154431,13257.095308037495,738.2918042628521,736.0680253954226,732.7323570942785,728.2847993594197
10,625.1021999999987,-4502.019986063307,-7.202054297782534,1149.019536,2100.3433920000016,46.87419999999999,28,341.97009999999995,-550.5888566385556,-1311.0547383100654,-2451.753560819661,-3972.6853241669523,-1231.4436142090613,3353.0004500633077,-468.1647784294944,-1228.6306601010042,-2369.3294826106,-3890.261245957891,-3821.1652284928023,-4581.631110164311,-5722.329932673907,-7243.261696021198,5083.738950598716,5080.405728454312,5075.40589523774,5068.739450948934
11,625.1021999999987,-4502.019986063307,-7.202054297782534,1157.1137759999997,2100.3433920000016,46.87419999999999,26,344.37909999999994,1883.9132948656127,1118.0903299012039,-30.644117545409586,-1562.2900474757807,-1240.1184886107403,3344.9062100633078,1966.9180074763533,1201.0950425119445,52.360595065330926,-1479.28533486504,-1377.9882025869545,-2143.8111675513633,-3292.545614997977,-4824.191544928348,6989.216340327115,6984.65826078257,6977.821141465704,6968.70498237655
12,625.1021999999987,-4502.019986063307,-7.202054297782534,1194.6439679999999,2100.3433920000016,46.87419999999999,26,355.54879999999997,7574.410420629337,6783.748512848951,5597.755651179928,4016.4318356186395,-1280.3408815557113,3307.3760180633076,7660.107334185049,6869.445426404663,5683.4525647356395,4102.1287491743515,4352.731316121741,3562.069408341355,2376.076546672332,794.7527311110439,12096.408597128839,12088.940702936201,12077.738861647305,12062.803073262092
13,625.1021999999987,-4502.019986063307,-7.202054297782534,947.2135680000001,2100.3433920000016,46.87419999999999,18,281.90880000000004,3412.8617810261903,2785.958949043341,1845.6047010699695,591.7990371037495,-1015.1612423113586,3554.8064180633073,3480.8094553375486,2853.906623354699,1913.552375381328,659.7467114151079,-73.99696272575875,-700.8997947086082,-1641.2540426819794,-2895.0597066481996,16540.212148503615,16530.206477867505,16515.197971913367,16495.18663064114
14,625.1021999999987,-4502.019986063307,-7.202054297782534,777.4368,2100.3433920000016,46.87419999999999,13,231.38,5570.12175189441,5055.583797548063,4283.776866029447,3254.700957337269,-833.2056617104614,3724.5831860633075,5625.890613604873,5111.352659258525,4339.545727739908,3310.46981904773,1901.3074275415652,1386.7694731952174,614.9625416766007,-414.1133670155773,16540.212148503615,16530.206477867505,16515.197971913367,16495.18663064114
15,625.1021999999987,-4502.019986063307,-7.202054297782534,704.340672,2100.3433920000016,46.87419999999999,10,209.62519999999998,106.86969767675555,-359.2903921639313,-1058.530526924315,-1990.850706606985,-754.8660362917616,3797.679314063307,157.3950619685171,-308.76502787216975,-1008.0051626325534,-1940.3253423152237,-3640.28425209479,-4106.444341935477,-4805.68447669586,-5738.004656378531,-24138.523633209177,-24148.906011985397,-24164.479580149793,-24185.2443377023
16,625.1021999999987,-4502.019986063307,-7.202054297782534,711.0606720000001,2100.3433920000016,46.87419999999999,10,211.62519999999998,2703.0695931595083,2232.4619455837033,1526.5504742210312,585.3351790686443,-762.0680905895441,3790.9593140633074,2754.0770117490524,2283.4693641732474,1577.5578928105751,636.3425976581883,-1036.882302314255,-1507.48994989006,-2213.4014212527322,-3154.616716405119,-24138.523633209177,-24148.906011985397,-24164.479580149793,-24185.2443377023
17,625.1021999999987,-4502.019986063307,-7.202054297782534,717.013248,2100.3433920000016,46.87419999999999,10,213.3968,4549.740262629664,4075.1929684128872,3363.3720270870745,2414.2774386517085,-768.44767028652,3785.0067380633072,4601.174684916185,4126.6273906994065,3414.806449373594,2465.7118609382287,816.1679468528773,341.6206526360993,-370.20028868971303,-1319.2948771250785,-24138.523633209177,-24148.906011985397,-24164.479580149793,-24185.2443377023
18,625.1021999999987,-4502.019986063307,-7.202054297782534,608.984544,2100.3433920000016,46.87419999999999,8,181.2454,-1488.0679809190137,-1891.1176712573206,-2495.6922067654295,-3301.7915874443743,-652.6696060116573,3893.0354420633075,-1444.3829189073563,-1847.4326092456631,-2452.007144753772,-3258.106525432717,-5337.418360970663,-5740.468051308971,-6345.04258681708,-7151.141967496024,-24138.523633209177,-24148.906011985397,-24164.479580149793,-24185.2443377023
19,625.1021999999987,-4502.019986063307,-7.202054297782534,607.8313919999999,2100.3433920000016,46.87419999999999,8,180.9022,10243.578282571689,9841.291793139397,9237.862058993027,8433.289080128183,-651.4337334941578,3894.1885940633074,10287.180624065846,9884.894134633554,9281.464400487184,8476.89142162234,6392.992030002539,5990.705540570247,5387.275806423877,4582.702827559033,16540.212148503615,16530.206477867505,16515.197971913367,16495.18663064114
20,625.1021999999987,-4502.019986063307,-7.202054297782534,475.9671839999999,2100.3433920000016,46.87419999999999,6,141.65689999999998,4959.295729230828,4644.282108584873,4171.761677616845,3541.7344363244174,-510.1103427277753,4026.0528020633074,4993.438887958603,4678.4252673126475,4205.90483634462,3575.8775950521926,967.3860858952958,652.3724652493402,179.85203428131263,-450.1752070111147,7650.591413985348,7642.119038878344,7629.410476217839,7612.465726003831
