threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1065.3115999999927,-953.5705746587001,-0.895109538522538,4250.593284000028,4250.593284000028,43.219199999999994,2486,1065.3115999999927,-4.1210016042639014e-10,-1984.164160863672,-5291.10442897484,-9259.432750700424,-476.78528732935007,-3297.0227093413278,-3773.8079966710898,-3773.8079966710898,-3773.8079966710898,-3773.8079966710898,-476.785287329762,-476.785287329762,-476.785287329762,-476.785287329762,0,0,0,0
1,1065.3115999999927,-953.5705746587001,-0.895109538522538,3864.3620820000024,4250.593284000028,43.219199999999994,279,968.5118,695.0025662395035,-1108.8700311628509,-4115.3243601691665,-7723.06955496881,-433.4620751758163,-2910.7915073413023,-2735.8974405846825,-4539.770037987037,-7546.224366993352,-11153.969561792997,174.89406675661985,-1628.9785306457343,-4635.43285965205,-8243.178054451695,23.151123595704053,23.151123595704053,23.151123595704053,23.151123595704053
2,1065.3115999999927,-953.5705746587001,-0.895109538522538,3499.8428639999993,4250.593284000028,43.219199999999994,154,877.1536000000001,14042.924799367185,12409.208676597938,9686.348471979336,6418.916226443158,-392.5742770546915,-2546.2722893412993,10935.656212421878,9301.94008965263,6579.079885034028,3311.64763949785,13481.928501763177,11848.212378993929,9125.352174375326,5857.919928839149,23.151123595704053,23.151123595704053,23.151123595704053,23.151123595704053
3,1065.3115999999927,-953.5705746587001,-0.895109538522538,3397.2950760000003,4250.593284000028,43.219199999999994,121,851.4524000000001,12060.476702346532,10474.629578591954,7831.551038999085,4659.856791493035,-381.07158241895377,-2443.7245013413003,9044.253208765485,7458.406085010907,4815.327545418038,1643.6332979119888,11487.977710106785,9902.130586352207,7259.052046759339,4087.357799253289,23.151123595704053,23.151123595704053,23.151123595704053,23.151123595704053
4,1065.3115999999927,-953.5705746587001,-0.895109538522538,3182.8772639999997,4250.593284000028,43.219199999999994,100,797.7136000000003,5475.057582584,3989.3000485875195,1513.0374919239264,-1458.4775760677337,-357.0205261845764,-2229.3066893412997,2649.200844768576,1163.443310772096,-1312.8192458914968,-4284.334313883157,4878.507534109876,3392.750000113396,916.4874434498029,-2055.027624541857,3116.799885137417,3115.779969185614,3114.080109265922,3112.0402773622986
5,1065.3115999999927,-953.5705746587001,-0.895109538522538,3090.8371410000004,4250.593284000028,43.219199999999994,85,774.6459000000002,-9.154285796129443,-1451.9477671964837,-3856.6035695336823,-6742.190532332583,-346.6964670336882,-2137.2665663413004,-2753.2949597624415,-4196.088441162796,-6600.744243499995,-9486.331206298895,-616.0283934211411,-2058.8218748214954,-4463.477677158695,-7349.064639957594,-8977.303684542347,-8980.961115065673,-8987.056832604538,-8994.371693651156
6,1065.3115999999927,-953.5705746587001,-0.895109538522538,3010.6010339999993,4250.593284000028,43.219199999999994,79,754.5366000000002,14968.996749735636,13563.657241764713,11221.424728475607,8410.745712534197,-337.69645391218256,-2057.0304593412993,12296.092169647818,10890.752661676896,8548.52014838779,5737.8411324463805,14353.122628989116,12947.783121018194,10605.550607729088,7794.87159178768,-2597.6752687180506,-2603.5422067170052,-2613.3204367151907,-2625.0543127130277
7,1065.3115999999927,-953.5705746587001,-0.895109538522538,2853.4149839999995,4250.593284000028,43.219199999999994,72,715.1416000000002,-3904.7617558174443,-5236.727288402236,-7456.669842713256,-10120.600907882117,-320.06503377713483,-1899.8444093412995,-6438.1117060403085,-7770.077238625101,-9990.01979293612,-12653.950858104981,-4538.2672966990085,-5870.232829283801,-8090.17538359482,-10754.106448763681,17018.33135456262,17011.81290706777,17000.94882790982,16987.911932920273
8,1065.3115999999927,-953.5705746587001,-0.895109538522538,2891.7987839999996,4250.593284000028,43.219199999999994,72,724.7616000000003,-2326.8284174584987,-3676.7113924398845,-5926.516350745276,-8626.282300706745,-324.37051065742827,-1938.2282093412996,-4894.25669080107,-6244.139665782456,-8493.944624087848,-11193.710574049315,-2956.028481459771,-4305.911456441157,-6555.716414746548,-9255.482364708016,17018.33135456262,17011.81290706777,17000.94882790982,16987.911932920273
9,1065.3115999999927,-953.5705746587001,-0.895109538522538,2616.4125749999994,4250.593284000028,43.219199999999994,53,655.7425,5781.739318637823,4560.405797764865,2524.8499296397504,82.18288789296207,-293.48068328230767,-1662.8420003412994,3458.8074269201315,2237.473906047174,201.91803792205866,-2240.7490038247297,5121.649427261431,3900.315906388473,1864.760038263358,-577.9070034834303,17885.451256490134,17877.739119927584,17864.885558989932,17849.461285864763
