threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,4243.388799999967,4243.388799999967,58.92940000000007,5817,1060.8471999999917,3.673525328848215e-10,-3672.8357960993503,-11753.074547488764,-19098.746139670646,-698.6575853687157,-2846.0736292625356,-3544.731214630884,-3544.731214630884,-3544.731214630884,-3544.731214630884,-698.6575853683485,-698.6575853683485,-698.6575853683485,-698.6575853683485,0,0,0,0
1,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,3773.8639999999964,4243.388799999967,58.92940000000007,389,943.4659999999991,1218.8768713047768,-2047.5649849807523,-9233.737068781804,-15766.620781337646,-621.3521395328991,-2376.548829262565,-1933.6349891623204,-5200.076845447849,-12386.2489292489,-18919.132641804743,442.91384010024467,-2823.5280161852843,-10009.700099986336,-16542.58381254218,28.168233876667237,28.168233876667237,28.168233876667237,28.168233876667237
2,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,3364.4879999999994,4243.388799999967,58.92940000000007,197,841.1219999999998,3794.4028445199347,882.2935506588024,-5524.346895813026,-11348.565483521788,-553.9499614275358,-1967.172829262568,983.864805947471,-1928.2444879136613,-8334.88493438549,-14159.103522094252,2951.0376352100393,38.92834134890677,-6367.712105122922,-12191.930692831684,44.79954022368642,43.899375424282674,41.919012865603484,40.11868326680102
3,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,3334.3799999999997,4243.388799999967,58.92940000000007,155,833.5949999999999,-2563.942514090167,-5449.992037009659,-11799.300987407012,-17571.40003323161,-548.9927954520114,-1937.0648292625683,-5349.329718638155,-8235.379241557646,-14584.688191955,-20356.7872377796,-3412.264889375587,-6298.314412295078,-12647.623362692431,-18419.72240851703,1412.4901328089998,1409.7550166877325,1403.737761220981,1398.2675289784668
4,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,2989.7864000000004,4243.388799999967,58.92940000000007,107,747.4466000000001,-451.0078383573575,-3038.7967566428574,-8731.932376847324,-13907.510213404545,-492.2567894302407,-1592.471229262569,-2948.5374489271176,-5536.326367212617,-11229.461987417084,-16405.039823974304,-1356.0662196645485,-3943.8551379500477,-9636.990758154516,-14812.568594711734,44.79954022368642,43.899375424282674,41.919012865603484,40.11868326680102
5,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,2867.8152000000005,4243.388799999967,58.92940000000007,89,716.9538000000001,1451.7161988115902,-1030.5013917977917,-6491.380091120733,-11455.815272330952,-472.1747021898433,-1470.5000292625691,-943.924298998567,-3426.141889607949,-8887.02058893089,-13851.45577014111,526.5757302640021,-1955.6418603453799,-7416.520559668322,-12380.95574087854,6696.267778254709,6696.267778254709,6696.267778254709,6696.267778254709
6,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,2534.1688,4243.388799999967,58.92940000000007,70,633.5422,10665.164730158882,8471.732471018091,3646.181500924475,-740.6830173488006,-417.2411103891186,-1136.8536292625686,8548.237040548001,6354.804781407211,1529.2538113135938,-2857.610706959682,9685.09066981057,7491.658410669779,2666.1074405761624,-1720.7570776971133,1383.910592862291,1380.4484205568997,1372.831641485039,1365.9072968742564
7,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,2597.7551999999996,4243.388799999967,58.92940000000007,66,649.4387999999999,22483.829439546636,20235.3604121345,15288.728551847067,10791.790497035861,-427.71036568957317,-1200.4400292625683,20313.78460523621,18065.315577824076,13118.68371753664,8621.745662725434,21514.22463449878,19265.755607086645,14319.123746799209,9822.185691988003,-5812.086512761828,-5821.6067941672,-5842.5514132590115,-5861.591976069716
8,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,2418.8256,4243.388799999967,58.92940000000007,54,604.7064,10107.512359957826,8013.914608980999,3407.999556846141,-779.1959450986433,-398.2502977629691,-1021.5104292625688,8086.937057720795,5993.339306743968,1387.42425460911,-2799.771247335674,9108.447486983363,7014.849736006538,2408.9346838716788,-1778.2608180731054,-12910.978756110946,-12926.5571466163,-12960.829605728142,-12991.986386738768
9,1060.8471999999917,-1397.3151707374313,-1.3171691179817813,2260.4631999999997,4243.388799999967,58.92940000000007,47,565.1157999999999,4055.754476591469,2099.2262044884533,-2205.1359941233777,-6118.192538321668,-372.1765399217843,-863.1480292625683,2167.4678165132536,210.9395444102379,-4093.4226542015926,-8006.479198399884,3030.615845775822,1074.0875736728062,-3230.2746249390243,-7143.331169137316,6696.267778254709,6696.267778254709,6696.267778254709,6696.267778254709
