threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,905.7776000000017,-2846.8713275280447,-3.143013613416847,3632.1681760000183,3632.1681760000183,34.583199999999934,3894,905.7776000000017,-5.905947469967038e-10,-6249.648054738127,-18228.140159669034,-30206.632264576263,-1423.4356637640224,-785.2968484719736,-2208.7325122365864,-2208.7325122365864,-2208.7325122365864,-2208.7325122365864,-1423.4356637646129,-1423.4356637646129,-1423.4356637646129,-1423.4356637646129,0,0,0,0
1,905.7776000000017,-2846.8713275280447,-3.143013613416847,3398.680311999997,3632.1681760000183,34.583199999999934,305,847.5512000000002,6666.4439270805005,818.5440580939894,-10389.930690810204,-21598.40543969536,-1331.9324798338928,-551.808984471952,4599.696094914397,-1248.2037740721146,-12456.678522976308,-23665.153271861465,5151.505079386348,-696.3947896001625,-11904.869538504356,-23113.344287389515,133.20561662910927,133.06762142907925,132.8031306290214,132.5386398289641
2,905.7776000000017,-2846.8713275280447,-3.143013613416847,3076.326036,3632.1681760000183,34.583199999999934,168,767.1636000000001,313.52998179806946,-4979.7147400926115,-15125.100457059554,-25270.486174009315,-1205.6028192589383,-229.4547084719552,-1557.1932349429921,-6850.4379568336735,-16995.823673800616,-27141.209390750373,-1327.738526471037,-6620.983248361718,-16766.36896532866,-26911.754682278417,-646.3596272852965,-646.3596272852965,-646.3596272852965,-646.3596272852965
3,905.7776000000017,-2846.8713275280447,-3.143013613416847,2879.128671999999,3632.1681760000183,34.583199999999934,123,717.9872000000001,4858.510738506423,-95.42862564538902,-9590.479073613904,-19085.529521565888,-1128.3217719295224,-32.257344471954184,3107.7038384359466,-1846.2355257158654,-11341.28597368438,-20836.336421636366,3139.961182907901,-1813.9781812439112,-11309.028629212426,-20804.079077164413,12341.13561337552,12341.13561337552,12341.13561337552,12341.13561337552
4,905.7776000000017,-2846.8713275280447,-3.143013613416847,2827.271752999998,3632.1681760000183,34.583199999999934,105,705.0553000000001,7231.817333857587,2367.104976069517,-6956.927043035059,-16280.95906212404,-1107.9992030558496,19.59957452804656,5512.544783913439,647.8324261253683,-8676.199592979206,-18000.23161206819,5492.945209385392,628.2328515973218,-8695.799167507254,-18019.831186596235,-4805.538521070304,-4821.004333113678,-4850.647139530171,-4880.289945946666
5,905.7776000000017,-2846.8713275280447,-3.143013613416847,2873.5198849999997,3632.1681760000183,34.583199999999934,94,716.5884999999997,273.1826002247096,-4671.106069611784,-14147.659353478264,-23624.212637328685,-1126.1237053589787,-26.648557471954973,-1474.2135794163116,-6418.502249252805,-15895.055533119285,-25371.608816969703,-1447.5650219443567,-6391.853691780851,-15868.40697564733,-25344.960259497748,442.1215564202948,432.187971946139,413.14860170396804,394.10923146186406
6,905.7776000000017,-2846.8713275280447,-3.143013613416847,2338.711799,3632.1681760000183,34.583199999999934,66,583.2198999999998,495.61723564805277,-3528.4601024528133,-11241.275000488682,-18954.089898511425,-916.5340426578058,508.1595285280446,-926.5605206941415,-4950.637858795008,-12663.452756830877,-20376.267654853622,-1434.720049222186,-5458.797387323052,-13171.612285358922,-20884.427183381667,20679.693655807703,20670.9647694298,20654.234403872128,20637.50403831449
7,905.7776000000017,-2846.8713275280447,-3.143013613416847,2322.4468380000003,3632.1681760000183,34.583199999999934,61,579.1638,220.24666402772263,-3775.84455753192,-11435.019398861665,-19094.194240179364,-910.1598538991161,524.4244895280444,-1192.0403200731616,-5188.131541632803,-12847.306382962548,-20506.481224280247,-1716.464809601206,-5712.556031160848,-13371.730872490592,-21030.905713808294,12616.384864215617,12616.384864215617,12616.384864215617,12616.384864215617
8,905.7776000000017,-2846.8713275280447,-3.143013613416847,2173.767266,3632.1681760000183,34.583199999999934,54,542.0866,-6153.71528662783,-9893.982726658493,-17062.828653394514,-24231.67458011487,-851.8927817254264,673.1040615280449,-7475.589770902403,-11215.857210933067,-18384.703137669087,-25553.549064389445,-8148.693832430448,-11888.961272461112,-19057.80719919713,-26226.653125917488,-3069.8055136134712,-3082.777062416305,-3107.639197621767,-3132.501332827162
9,905.7776000000017,-2846.8713275280447,-3.143013613416847,2127.332267999999,3632.1681760000183,34.583199999999934,48,530.5068000000001,-8133.837448352022,-11794.207047518914,-18809.915445928007,-25825.62384432505,-833.6950472051044,719.5390595280455,-9427.474669146917,-13087.844268313807,-20103.552666722902,-27119.261065119947,-10147.013728674963,-13807.383327841853,-20823.091726250947,-27838.80012464799,-3069.8055136134712,-3082.777062416305,-3107.639197621767,-3132.501332827162
