threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.0016200000000000006,0,0,0.0005832,0.0005832,0.0001,18,0.0016200000000000006,3.4182351207573143e-13,-0.4348993288602031,-1.30469798657514,-2.1744966442949596,0,-0.0005832,-0.0005831999996581765,-0.0005831999996581765,-0.0005831999996581765,-0.0005831999996581765,3.4182346623362614e-13,3.4182346623362614e-13,3.4182346623362614e-13,3.4182346623362614e-13,0,0,0,0
1,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
2,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
3,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
4,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
5,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
6,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
7,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
8,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
9,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
10,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
11,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
12,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
13,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
14,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
15,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
16,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
17,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
18,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
19,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
20,0.0016200000000000006,0,0,0,0.0005832,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3154362416107384,1.3154362416107384,1.3154362416107384,1.3154362416107384
