threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.000042,0,0,0.000021,0.000021,0.00001,6,0.000042,-4.440892098500626e-16,-0.360000000000015,-1.0800000000000063,-1.80000000000001,0,-0.000021,-0.000021000000000444088,-0.000021000000000444088,-0.000021000000000444088,-0.000021000000000444088,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16,0,0,0,0
1,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
2,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
3,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
4,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
5,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
6,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
7,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
8,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
9,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
10,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
11,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
12,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
13,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
14,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
15,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
16,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
17,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
18,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
19,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
20,0.000042,0,0,0,0.000021,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.202300000000022,8.202300000000022,8.202300000000022,8.202300000000022
