threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,792.4421999999995,1477.8543269033132,1.8649364293109505,1434.3203819999987,1434.3203819999987,85.64819999999999,3779,792.4421999999995,8.375009857348703e-10,-3524.432436041967,-9692.189199110577,-16741.054071185583,738.9271634516566,-2912.174708903312,-2173.247545450818,-2173.247545450818,-2173.247545450818,-2173.247545450818,738.9271634524939,738.9271634524939,738.9271634524939,738.9271634524939,0,0,0,0
1,792.4421999999995,1477.8543269033132,1.8649364293109505,1376.078201999999,1434.3203819999987,85.64819999999999,291,760.2641999999996,794.6707139446278,-2586.6482093058307,-8503.956324987541,-15266.59417147823,708.9222012404728,-2853.9325289033122,-1290.329689295844,-4671.6486125463025,-10588.956728228013,-17351.5945747187,1563.6028396074682,-1817.7160836429903,-7735.024199324701,-14497.662045815388,0,0,0,0
2,792.4421999999995,1477.8543269033132,1.8649364293109505,1269.7761780000003,1434.3203819999987,85.64819999999999,158,701.5338000000003,935.9051335934572,-2184.206944864992,-7644.403082161687,-13884.6272390696,654.1579700064715,-2747.6305049033135,-988.0290144130146,-4108.141092871463,-9568.33723016816,-15808.561387076072,1759.601490490299,-1360.5105879681496,-6820.706725264846,-13060.930882172757,36.80354025597151,36.80354025597151,36.80354025597151,36.80354025597151
3,792.4421999999995,1477.8543269033132,1.8649364293109505,1215.7675879999997,1434.3203819999987,85.64819999999999,119,671.6947999999998,15035.309049668402,12047.907646460417,6819.955190851788,845.1523844445937,626.3340509493663,-2693.621914903313,13193.207410719036,10205.80600751105,4977.853551902422,-996.9492545047723,15886.82932562235,12899.427922414363,7671.475466805735,1696.6726603985408,66.71336602288268,57.818250553148815,42.251798481142856,24.46156754172365
4,792.4421999999995,1477.8543269033132,1.8649364293109505,1135.1277439999997,1434.3203819999987,85.64819999999999,95,627.1424000000002,7705.164059286457,4915.912027305749,34.72097134329306,-5543.7830926105535,584.7903540627501,-2612.982070903313,5985.245961223707,3195.993929242999,-1685.1971267194567,-7263.701190673303,8598.22803212702,5808.976000146312,927.7849441838562,-4650.71911976999,66.71336602288268,57.818250553148815,42.251798481142856,24.46156754172365
5,792.4421999999995,1477.8543269033132,1.8649364293109505,1179.8550159999995,1434.3203819999987,85.64819999999999,86,651.8535999999997,2494.8750792233973,-404.28144145621036,-5477.805352638855,-11276.118393988232,607.832762608744,-2657.709342903313,707.1873006146537,-2191.969220064954,-7265.493131247598,-13063.806172596976,3364.896643517967,465.7401228383592,-4607.783788344285,-10406.096829693663,11103.877825589005,11103.877825589005,11103.877825589005,11103.877825589005
6,792.4421999999995,1477.8543269033132,1.8649364293109505,1022.7462920000003,1434.3203819999987,85.64819999999999,67,565.0532,-747.6306748061256,-3260.7374050753697,-7658.674183042741,-12684.887643574688,526.8941485893631,-2500.6006189033133,-2297.271115395489,-4810.377845664732,-9208.314623632104,-14234.52808416405,203.32950350782448,-2309.777226761419,-6707.714004728791,-11733.927465260738,1681.2880127200217,1674.6166761177333,1662.9418370637127,1649.5991638591522
7,792.4421999999995,1477.8543269033132,1.8649364293109505,956.1245359999995,1434.3203819999987,85.64819999999999,58,528.2455999999999,-1269.3737838709021,-3618.7765880588768,-7730.231495383339,-12429.037103752045,492.57223153161016,-2433.978862903313,-2718.0705514025117,-5067.473355590486,-9178.92826291495,-13877.733871283655,-284.0916884991989,-2633.494492687173,-6744.9494000116365,-11443.755008380343,2959.6212904588538,2950.014565751559,2933.2027975137657,2913.9893480991927
8,792.4421999999995,1477.8543269033132,1.8649364293109505,902.24156,1434.3203819999987,85.64819999999999,49,498.476,-5506.204898985378,-7723.205688429314,-11602.957069952512,-16036.958648833783,464.8130257686027,-2380.0958869033134,-6873.259484753981,-9090.260274197917,-12970.011655721115,-17404.013234602386,-4493.163597850667,-6710.164387294604,-10589.915768817802,-15023.917347699073,2959.6212904588538,2950.014565751559,2933.2027975137657,2913.9893480991927
9,792.4421999999995,1477.8543269033132,1.8649364293109505,755.597532,1434.3203819999987,85.64819999999999,35,417.45719999999983,-1959.1062632743124,-3815.7712621090504,-7064.935010066114,-10778.265007729575,389.2655699790735,-2233.451858903313,-3103.9693652533856,-4960.634364088124,-8209.798112045188,-11923.128109708648,-870.5175063500724,-2727.182505184811,-5976.3462531418745,-9689.676250805336,11103.877825589005,11103.877825589005,11103.877825589005,11103.877825589005
10,792.4421999999995,1477.8543269033132,1.8649364293109505,873.6656419999999,1434.3203819999987,85.64819999999999,39,482.6882,-1415.0893403171085,-3561.8729777546796,-7318.744343266546,-11612.311618135087,450.091404089265,-2351.5199689033134,-2738.8463864063733,-4885.630023843944,-8642.501389355812,-12936.068664224353,-387.32641750305993,-2534.110054940631,-6290.981420452498,-10584.548695321038,11103.877825589005,11103.877825589005,11103.877825589005,11103.877825589005
11,792.4421999999995,1477.8543269033132,1.8649364293109505,786.0297859999998,1434.3203819999987,85.64819999999999,33,434.2706,-2136.7059163660324,-4068.149482419457,-7448.175723010975,-11311.06285511317,404.94353105936204,-2263.884112903313,-3327.6792334253946,-5259.122799478819,-8639.149040070337,-12502.036172172531,-1063.7951205220816,-2995.2386865755057,-6375.264927167023,-10238.152059269218,12924.085304157423,12921.817049712643,12917.847604434279,12913.311095544728
12,792.4421999999995,1477.8543269033132,1.8649364293109505,894.6674340000001,1434.3203819999987,85.64819999999999,37,494.2914,-18915.37387282277,-21113.76341216899,-24960.94510602242,-29357.724184709172,460.9110192775554,-2372.5217609033134,-20270.952326100323,-22469.341865446546,-26316.523559299974,-30713.302637986726,-17898.43056519701,-20096.820104543232,-23944.00179839666,-28340.780877083413,1681.2880127200217,1674.6166761177333,1662.9418370637127,1649.5991638591522
13,792.4421999999995,1477.8543269033132,1.8649364293109505,644.1380940000001,1434.3203819999987,85.64819999999999,23,355.8774,-869.7407073845397,-2452.5259904171508,-5222.400235723212,-8387.970801784937,331.84436381423245,-2121.9924209033134,-1845.7231651987722,-3428.508448231383,-6198.3826935374445,-9363.95325959917,276.26925570454114,-1306.5160273280699,-4076.390272634131,-7241.960838695856,-3940.046476978467,-3961.0095956059536,-3997.695053204046,-4039.621290458986
