threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,705.5897999999864,-1293.8294835449462,-1.833685072466993,1319.4529259999874,1319.4529259999874,42.92419999999999,6164,705.5897999999864,1.2642509261695523e-10,-705.5897999969602,-2822.359200002534,-4939.128600001007,-646.9147417724731,-25.623442455041186,-672.5381842273879,-672.5381842273879,-672.5381842273879,-672.5381842273879,-646.9147417723467,-646.9147417723467,-646.9147417723467,-646.9147417723467,0,0,0,0
1,705.5897999999864,-1293.8294835449462,-1.833685072466993,1161.3283439999998,1319.4529259999874,42.92419999999999,291,621.0312000000001,1901.9652000001079,1280.9340000024822,-582.1596000023128,-2445.253200001338,-569.387820488132,132.50113954494645,1310.02467648824,688.9934764906144,-1174.1001235141807,-3037.1937235132054,1177.5235369432935,556.492336945668,-1306.6012630591272,-3169.694863058152,138.87000000000216,138.87000000000216,138.87000000000216,138.87000000000216
2,705.5897999999864,-1293.8294835449462,-1.833685072466993,1082.1648859999996,1319.4529259999874,42.92419999999999,157,578.6978000000004,4971.668799999621,4392.971000001649,2656.8775999975915,920.7841999985103,-530.5747586647451,211.66459754494667,4420.078672664366,3841.3808726663947,2105.2874726623368,369.19407266325584,4208.41407511942,3629.7162751214482,1893.62287511739,157.52947511830916,-480.94999999997844,-480.9999999999782,-481.1499999999787,-481.29999999997835
3,705.5897999999864,-1293.8294835449462,-1.833685072466993,1020.4066400000003,1319.4529259999874,42.92419999999999,107,545.672,-1421.8656000004557,-1967.537599998177,-3604.553600002546,-5241.569600001676,-500.2953004316046,273.422843544946,-1941.9769395688513,-2487.6489395665726,-4124.664939570941,-5761.680939570071,-2215.399783113797,-2761.0717831115185,-4398.087783115887,-6035.103783115017,370.30679999999575,370.18679999999677,369.82679999999436,369.4667999999956
4,705.5897999999864,-1293.8294835449462,-1.833685072466993,896.4892199999998,1319.4529259999874,42.92419999999999,74,479.406,8950.035100004083,8470.629100005899,7032.411100002326,5594.1931000034965,-439.5398129255556,397.3402635449464,8493.085692929639,8013.679692931455,6575.461692927882,5137.2436929290525,8095.745429384692,7616.3394293865085,6178.121429382935,4739.903429384106,9165.380000000092,9163.40000000011,9157.46000000008,9151.520000000106
5,705.5897999999864,-1293.8294835449462,-1.833685072466993,849.4246859999998,1319.4529259999874,42.92419999999999,61,454.2377999999999,-1896.0043999966583,-2350.2421999945655,-3712.9555999980657,-5075.668999997375,-416.46453660512367,444.4047975449464,-2328.9645493915345,-2783.2023493894417,-4145.915749392942,-5508.629149392252,-2773.3693469364807,-3227.607146934388,-4590.320546937889,-5953.033946937198,2731.8671999999497,2731.2969999999477,2729.586399999949,2727.8757999999507
6,705.5897999999864,-1293.8294835449462,-1.833685072466993,816.721378,1319.4529259999874,42.92419999999999,53,436.7494000000001,-744.5780000000377,-1181.3273999980884,-2491.5756000015535,-3801.8238000004203,-400.43042759445797,477.1081055449463,-1160.8689504055797,-1597.6183504036303,-2907.866550407096,-4218.114750405963,-1637.977055950526,-2074.7264559485766,-3384.974655952042,-4695.222855950909,-2023.899699999687,-2024.1074999996872,-2024.7308999996894,-2025.354299999688
7,705.5897999999864,-1293.8294835449462,-1.833685072466993,810.2377139999998,1319.4529259999874,42.92419999999999,50,433.2822,18204.795500000182,17771.513300001796,16471.66669999843,15171.820099999255,-397.2515511528291,483.5917695449465,17791.809337153012,17358.527137154626,16058.68053715126,14758.833937152085,17308.217567608066,16874.93536760968,15575.088767606314,14275.242167607139,-9697.245999999723,-9700.235799999704,-9709.205199999735,-9718.174599999737
8,705.5897999999864,-1293.8294835449462,-1.833685072466993,768.3459740000002,1319.4529259999874,42.92419999999999,40,410.88020000000006,3070.3126000005286,2659.4324000019697,1426.7917999986676,194.15119999920717,-376.71244465612637,525.4835095449461,2678.679070656655,2267.798870658096,1035.1582706547938,-197.48232934466665,2153.1955611117087,1742.3153611131497,509.67476110984774,-722.9658388896128,-6114.136099999683,-6117.136099999683,-6126.136099999683,-6135.136099999683
9,705.5897999999864,-1293.8294835449462,-1.833685072466993,741.6335849999998,1319.4529259999874,42.92419999999999,36,396.59549999999984,4269.286700002034,3872.6912000032607,2682.904700000421,1493.1182000013068,-363.61562407879154,552.1958985449464,3891.268739080826,3494.6732390820525,2304.886739079213,1115.1002390800986,3339.0728405358795,2942.477340537106,1752.6908405342665,562.9043405351522,2533.789700000634,2531.0418000006466,2522.7981000006257,2514.554400000634
