threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,605.1507999999834,-1291.2802566417392,-2.133815664858701,1948.585576000053,1948.585576000053,36.98480000000002,4357,605.1507999999834,-2.4223220620750926e-10,-1329.9079439258483,-3989.723831777777,-6649.53971963883,-645.6401283208696,-657.3053193583137,-1302.9454476794253,-1302.9454476794253,-1302.9454476794253,-1302.9454476794253,-645.6401283211117,-645.6401283211117,-645.6401283211117,-645.6401283211117,0,0,0,0
1,605.1507999999834,-1291.2802566417392,-2.133815664858701,1326.1177160000002,1948.585576000053,36.98480000000002,205,411.83779999999996,-1169.5463437995131,-2077.4731622383392,-3893.3267991169714,-5709.1804360023925,-439.3929745104723,-34.83745935826096,-2056.271085289041,-2964.197903727867,-4780.051540606499,-6595.905177491921,-2021.43362593078,-2929.360444369606,-4745.214081248238,-6561.06771813366,-15.319196475327715,-15.361090358122556,-15.444878123712241,-15.528665889302244
2,605.1507999999834,-1291.2802566417392,-2.133815664858701,1075.6306959999997,1948.585576000053,36.98480000000002,98,334.04679999999973,4500.842644286567,3763.261233926634,2288.098413206355,812.9355924803259,-356.39714731796045,215.64956064173953,3781.6090956045273,3044.0276852445945,1568.8648645243156,93.70204379828664,3565.959534962788,2828.3781246028548,1353.215303882576,-121.94751684345289,549.0053693993234,549.0053693993234,549.0053693993234,549.0053693993234
3,605.1507999999834,-1291.2802566417392,-2.133815664858701,933.6757079999999,1948.585576000053,36.98480000000002,66,289.9613999999999,3410.781370335434,2769.871844147685,1488.0527917720774,206.23373939156818,-309.3620887621797,357.60454864173937,2786.467751097614,2145.5582249098647,863.7391725342572,-418.07987984625197,2428.8632024558747,1787.9536762681255,506.1346238925179,-775.6844284879913,-1945.7334571530337,-1947.0108016394513,-1949.5654906122863,-1952.1201795851214
4,605.1507999999834,-1291.2802566417392,-2.133815664858701,918.0921960000001,1948.585576000053,36.98480000000002,54,285.1218,2680.6200526106304,2050.311305776051,789.6938121075997,-470.923681565496,-304.19868161635475,373.1880606417392,2066.726538226985,1436.417791392406,175.80029772395437,-1084.8171959491415,1693.538477585246,1063.2297307506667,-197.3877629177848,-1458.0052565908807,1231.8267827593286,1231.4493188753438,1230.6943911073824,1229.9394633394156
5,605.1507999999834,-1291.2802566417392,-2.133815664858701,885.2713800000002,1948.585576000053,36.98480000000002,41,274.929,-729.3897751990629,-1337.514745857216,-2553.7646871726583,-3770.014628493953,-293.3239034619688,406.008876641739,-1321.3372517370944,-1929.4622223952474,-3145.7121637106898,-4361.962105031984,-1727.3461283788333,-2335.4710990369863,-3551.7210403524286,-4767.970981673723,437.50480034076304,437.4624875191403,437.37786187589467,437.29323623264895
6,605.1507999999834,-1291.2802566417392,-2.133815664858701,731.2304439999999,1948.585576000053,36.98480000000002,29,227.09019999999992,-1448.6952091193325,-1951.7678739297799,-2957.913203550338,-3964.0585331757156,-242.2843130479476,560.0498126417393,-1937.6413400713848,-2440.714004881832,-3446.85933450239,-4453.004664127768,-2497.691152713124,-3000.763817523571,-4006.9091471441293,-5013.054476769507,-3344.039547825106,-3346.112876084626,-3350.259532603666,-3354.4061891227057
7,605.1507999999834,-1291.2802566417392,-2.133815664858701,703.394832,1948.585576000053,36.98480000000002,26,218.4456,6350.358799057678,5866.064332377942,4897.475399018706,3928.8864656546607,-233.06132159972893,587.8854246417393,5880.025288657407,5395.730821977671,4427.141888618436,3458.55295525439,5292.139864015668,4807.845397335932,3839.256463976696,2870.667530612651,-3049.218329970336,-3051.124082698683,-3054.935588155346,-3058.7470936120503
8,605.1507999999834,-1291.2802566417392,-2.133815664858701,568.504524,1948.585576000053,36.98480000000002,19,176.5542,3621.0047562927875,3229.728602510336,2447.1762949431827,1664.6239873738023,-188.367058828298,722.7757326417393,3240.8672911210856,2849.591137338634,2067.038829771481,1284.4865222021003,2518.0915584793465,2126.815404696895,1344.2630971297415,561.710789560361,1554.6853420282623,1554.5487679703517,1554.275619854529,1554.002471738705
9,605.1507999999834,-1291.2802566417392,-2.133815664858701,418.70754800000003,1948.585576000053,36.98480000000002,13,130.03339999999997,-11529.770331490772,-11817.340378811863,-12392.480473453033,-12967.62056809677,-138.73365293741867,872.5727086417392,-11809.744226553354,-12097.314273874445,-12672.454368515615,-13247.594463159352,-12682.316935195093,-12969.886982516184,-13545.027077157354,-14120.167171801091,6175.831977600951,6173.338872635844,6168.352662705588,6163.366452775333
