threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1377.156799999952,5766.676691912415,4.187378439341559,4420.673328000025,4420.673328000025,44.91089999999993,11425,1377.156799999952,1.0657278802939714e-9,-3077.979850664881,-9233.93955197867,-16928.889178650905,2883.3383459562074,-10187.35001991244,-7304.011673955167,-7304.011673955167,-7304.011673955167,-7304.011673955167,2883.3383459572724,2883.3383459572724,2883.3383459572724,2883.3383459572724,0,0,0,0
1,1377.156799999952,5766.676691912415,4.187378439341559,3760.055970000003,4420.673328000025,44.91089999999993,629,1171.356999999999,7531.346053283204,4915.62505335284,-315.81694649386316,-6855.119446327382,2452.4575232859033,-9526.732661912418,1318.8325599972977,-1296.8884399330664,-6528.330439779769,-13067.63293961329,10845.565221909716,8229.84422197935,2998.4022221326486,-3540.900277700872,63.26083794815544,61.217542093156474,57.13095038314226,52.02271074561229
2,1377.156799999952,5766.676691912415,4.187378439341559,3283.2756330000043,4420.673328000025,44.91089999999993,323,1022.8273000000006,15862.965940620441,13581.724639479484,9019.242037208394,3316.1387843470784,2141.4824915949716,-9049.95232491242,10438.207816025464,8156.966514884507,3594.483912613418,-2108.6193402478975,19488.160140937885,17206.918839796926,12644.436237525837,6941.332984664522,1832.532527829315,1828.366504447308,1820.0344576832938,1809.6193992282922
3,1377.156799999952,5766.676691912415,4.187378439341559,2957.760768000001,4420.673328000025,44.91089999999993,218,921.4208000000001,8670.826590836625,6615.075473974217,2503.573240259698,-2635.804551902693,1929.1687957404258,-8724.437459912417,3783.897027096198,1728.1459102337901,-2383.356323480729,-7522.73411564312,12508.334487008615,10452.583370146207,6341.081136431688,1201.7033442692964,-2115.1958382281236,-2115.3811042123493,-2115.7516361807993,-2116.2148011413638
4,1377.156799999952,5766.676691912415,4.187378439341559,2610.3655799999997,4420.673328000025,44.91089999999993,159,813.1980000000003,6403.531309596288,4589.218906883232,960.5941014650105,-3575.1869053244473,1702.5838860578394,-8377.042271912414,2090.581843538449,276.2694408253931,-3352.3553645928287,-7888.136371382287,10467.624115450864,8653.311712737808,5024.686907319586,488.90590053012784,-2464.314817922609,-2466.6355652515767,-2471.277059909512,-2477.0789282319556
5,1377.156799999952,5766.676691912415,4.187378439341559,2825.958810000002,4420.673328000025,44.91089999999993,144,880.3609999999999,16326.361776861395,14360.816029483683,10429.724534739371,5515.860166289671,1843.202335118587,-8592.635501912417,11657.200631742806,9691.654884365094,5760.563389620782,846.699021171082,20249.836133655223,18284.290386277513,14353.198891533199,9439.334523083498,-1866.4068915365767,-1867.9570397717407,-1871.057336242061,-1874.9327068299833
6,1377.156799999952,5766.676691912415,4.187378439341559,2589.193062,4420.673328000025,44.91089999999993,115,806.6022000000004,18403.124588994495,16601.561759967597,12998.436101921698,8494.529029347053,1688.774330702735,-8355.869753912415,14125.157196291759,12323.594367264861,8720.468709218963,4216.561636644318,22481.026950204174,20679.464121177276,17076.33846313138,12572.431390556732,-1678.7405045590076,-1681.2384628294087,-1686.2343793702107,-1692.4792750462457
7,1377.156799999952,5766.676691912415,4.187378439341559,2002.1521140000002,4420.673328000025,44.91089999999993,79,623.7233999999999,28579.089103421822,27187.394739970994,24404.0060130762,20924.770104444862,1305.8829586364052,-7768.828805912415,25271.054030785417,23879.35966733459,21095.970940439795,17616.735031808457,33039.882836697834,31648.188473247006,28864.79974635221,25385.563837720874,-749.5367231621027,-757.3102869591535,-772.8574145532551,-792.2913240459472
8,1377.156799999952,5766.676691912415,4.187378439341559,1787.895528,4420.673328000025,44.91089999999993,63,556.9768000000001,29706.11724203155,28462.6364701918,25975.67492651544,22866.97299690833,1166.1363217667283,-7554.572219912415,26752.08539226482,25508.60462042507,23021.64307674871,19912.941147141602,34306.65761217724,33063.17684033749,30576.215296661125,27467.513367054016,-1970.4815125584275,-1970.899479778877,-1971.7354142197767,-1972.780332270905
9,1377.156799999952,5766.676691912415,4.187378439341559,1696.2070139999998,4420.673328000025,44.91089999999993,53,528.4133999999999,20187.038935509023,19010.042444862076,16656.049463572483,13713.55823694992,1106.3334391095834,-7462.883705912414,17384.49848239944,16207.501991752493,13853.5090104629,10911.017783840338,24847.38218831185,23670.385697664908,21316.392716375314,18373.901489752752,-2438.0767466582347,-2438.10628181514,-2438.165352128951,-2438.239190021215
