threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,18265.54640000005,-77519.74861960165,-4.244042139336244,29224.87423996921,29224.87423996921,213.56819999999817,461770,18265.54640000005,-9.765533010400007e-10,-9.765533010400007e-10,-12082.75535223896,-12082.75535223896,-38759.87430980082,48294.87437963244,9535.000069830636,9535.000069830636,9535.000069830636,9535.000069830636,-38759.8743098018,-38759.8743098018,-38759.8743098018,-38759.8743098018,0,0,0,0
1,18265.54640000005,-77519.74861960165,-4.244042139336244,24117.603840000138,29224.87423996921,213.56819999999817,7462,15073.502399999994,24731.4741494213,24731.4741494213,14769.22766328114,14769.22766328114,-31986.289686492993,53402.14477960151,32600.159995914157,32600.159995914157,22637.913509773996,22637.913509773996,-20801.984783687356,-20801.984783687356,-30764.231269827516,-30764.231269827516,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
2,18265.54640000005,-77519.74861960165,-4.244042139336244,21584.888960000015,29224.87423996921,213.56819999999817,3972,13490.555600000012,33798.72969117823,33798.72969117823,24887.024974456363,24887.024974456363,-28627.2432247293,55934.85965960164,40841.08395590752,40841.08395590752,31929.379239185648,31929.379239185648,-15093.775703694126,-15093.775703694126,-24005.480420415995,-24005.480420415995,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
3,18265.54640000005,-77519.74861960165,-4.244042139336244,19806.98272000005,29224.87423996921,213.56819999999817,2682,12379.364200000022,47693.35040093009,47693.35040093009,39516.91149868517,39516.91149868517,-26269.271661495302,57712.7658996016,54155.63934242534,54155.63934242534,45979.20044018042,45979.20044018042,-3557.1265571762633,-3557.1265571762633,-11733.565459421181,-11733.565459421181,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
4,18265.54640000005,-77519.74861960165,-4.244042139336244,18338.73952000001,29224.87423996921,213.56819999999817,1991,11461.712200000009,32914.86657658279,32914.86657658279,25350.63124365529,25350.63124365529,-24321.994782872185,59181.009099601644,38898.121839454965,38898.121839454965,31333.886506527466,31333.886506527466,-20282.88726014668,-20282.88726014668,-27847.12259307418,-27847.12259307418,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
5,18265.54640000005,-77519.74861960165,-4.244042139336244,17106.81632000002,29224.87423996921,213.56819999999817,1545,10691.76020000001,112016.3268912454,112016.3268912454,104958.67314225172,104958.67314225172,-22688.140416239075,60412.932299601634,117597.65098748443,117597.65098748443,110539.99723849076,110539.99723849076,57184.7186878828,57184.7186878828,50127.064938889125,50127.064938889125,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
6,18265.54640000005,-77519.74861960165,-4.244042139336244,15803.95168000002,29224.87423996921,213.56819999999817,1212,9877.46980000001,102007.15120350568,102007.15120350568,95492.47945813007,95492.47945813007,-20960.199030610594,61715.796939601634,107163.39855411625,107163.39855411625,100648.72680874064,100648.72680874064,45447.60161451462,45447.60161451462,38932.92986913901,38932.92986913901,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
7,18265.54640000005,-77519.74861960165,-4.244042139336244,15070.180160000009,29224.87423996921,213.56819999999817,1014,9418.862599999999,87984.3400191674,87984.3400191674,81774.75841239613,81774.75841239613,-19987.024889509066,62449.56845960164,92901.18474867646,92901.18474867646,86691.60314190519,86691.60314190519,30451.616289074816,30451.616289074816,24242.034682303543,24242.034682303543,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
8,18265.54640000005,-77519.74861960165,-4.244042139336244,13999.985280000014,29224.87423996921,213.56819999999817,849,8749.99079999999,75877.83624373034,75877.83624373034,70109.81659796742,70109.81659796742,-18567.66483700221,63519.76333960164,80445.51580073254,80445.51580073254,74677.49615496962,74677.49615496962,16925.752461130898,16925.752461130898,11157.732815367977,11157.732815367977,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
9,18265.54640000005,-77519.74861960165,-4.244042139336244,12815.263360000006,29224.87423996921,213.56819999999817,697,8009.539599999993,123450.19840970557,123450.19840970557,118167.63518263241,118167.63518263241,-16996.41178954117,64704.48525960165,127631.34683924672,127631.34683924672,122348.78361217357,122348.78361217357,62926.86157964507,62926.86157964507,57644.298352571925,57644.298352571925,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
