threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,54.84,191.08002730975105,3.4843185140363064,177.13320000000002,177.13320000000002,4,46,54.84,-2.7341531802244333e-11,-1619.5494983535,-4861.745148019742,-8100.844144726712,95.54001365487552,-368.21322730975106,-272.6732136549029,-272.6732136549029,-272.6732136549029,-272.6732136549029,95.54001365484817,95.54001365484817,95.54001365484817,95.54001365484817,0,0,0,0
1,54.84,191.08002730975105,3.4843185140363064,155.04000000000002,177.13320000000002,4,24,48,392.53975226006764,-1032.487520659191,-3885.266784035588,-6735.321329874078,83.62364433687135,-346.1200273097511,153.8761079231963,-1271.1511649960623,-4123.93042837246,-6973.98497421095,499.9961352329474,-925.0311376863112,-3777.8104010627085,-6627.864946901199,-205.16248546864514,-205.16248546864514,-205.16248546864514,-205.16248546864514
2,54.84,191.08002730975105,3.4843185140363064,54.91,177.13320000000002,4,6,17,-509.6476015886074,-1018.6395909837186,-2037.5967858147405,-3055.5807646050184,29.616707369308603,-245.99002730975104,-594.1743089579161,-1103.1662983530273,-2122.123493184049,-3140.107471974327,-348.18428164816504,-857.1762710432763,-1876.133465874298,-2894.117444664576,-205.16248546864514,-205.16248546864514,-205.16248546864514,-205.16248546864514
3,54.84,191.08002730975105,3.4843185140363064,25.84,177.13320000000002,4,2,8,1373.7162948729908,1128.1860982214282,636.656239915364,145.59584661223926,13.937274056145226,-216.92002730975105,1333.9390208168456,1088.408824165283,596.8789658592187,105.81857255609403,1550.8590481265967,1305.328851475034,813.7989931689698,322.73859986584506,-1294.7461952724548,-1294.7461952724548,-1294.7461952724548,-1294.7461952724548
4,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
5,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
6,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
7,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
8,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
9,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
10,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
11,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
12,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
13,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
14,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
15,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
16,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
17,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
18,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
19,54.84,191.08002730975105,3.4843185140363064,0,177.13320000000002,4,0,0,0,0,0,0,0,-191.08002730975105,0,0,0,0,191.08002730975105,191.08002730975105,191.08002730975105,191.08002730975105,-2810.88747824532,-2810.88747824532,-2810.88747824532,-2810.88747824532
