threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.0002,0,0,0.000266,0.000266,0.0001,2,0.0002,1.1368683772161603e-13,-0.020000000000095497,-0.03999999999984993,-0.08000000000015461,0,-0.000266,-0.0002659999998863132,-0.0002659999998863132,-0.0002659999998863132,-0.0002659999998863132,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13,0,0,0,0
1,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
2,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
3,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
4,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
5,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
6,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
7,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
8,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
9,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
10,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
11,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
12,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
13,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
14,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
15,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
16,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
17,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
18,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
19,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
20,0.0002,0,0,0,0.000266,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2599999999999909,0.2599999999999909,0.2599999999999909,0.2599999999999909
