threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0.0057399999999999994,0.0057399999999999994,0.005,6,0.014000000000000002,2.5579538487363607e-13,-0.29400000000003956,-0.8820000000001471,-1.483999999999611,-0.3859915283250652,0.7662430566501305,0.380251528325321,0.380251528325321,0.380251528325321,0.380251528325321,-0.3859915283248095,-0.3859915283248095,-0.3859915283248095,-0.3859915283248095,0,0,0,0
1,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
2,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
3,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
4,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
5,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
6,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
7,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
8,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
9,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
10,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
11,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
12,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
13,0.014000000000000002,-0.7719830566501305,-55.141646903580735,0,0.0057399999999999994,0.005,0,0,0,0,0,0,0,0.7719830566501305,0,0,0,0,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,-0.7719830566501305,121.66900000000032,121.66900000000032,121.66900000000032,121.66900000000032
