threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,4.06,0,0,9.0538,9.0538,1,8,4.06,1.2640719361510394e-13,-18.057084403559283,-49.65698210973173,-85.77115091676887,0,-9.0538,-9.053799999999875,-9.053799999999875,-9.053799999999875,-9.053799999999875,1.2612133559741778e-13,1.2612133559741778e-13,1.2612133559741778e-13,1.2612133559741778e-13,0,0,0,0
1,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
2,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
3,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
4,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
5,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
6,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
7,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
8,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
9,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
10,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
11,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
12,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
13,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
14,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
15,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
16,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
17,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
18,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
19,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
20,4.06,0,0,0,9.0538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.21590669024778,-86.21590669024778,-86.21590669024778,-86.21590669024778
