threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,0.2,-0.9045133598561071,-4.522566799280535,0.8,0.8,0.05,4,0.2,0,-1.1118894337177452,-3.335668301146157,-5.55944716857558,-0.4522566799280536,0.1045133598561071,-0.34774332007194647,-0.34774332007194647,-0.34774332007194647,-0.34774332007194647,-0.4522566799280536,-0.4522566799280536,-0.4522566799280536,-0.4522566799280536,0,0,0,0
1,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
2,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
3,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
4,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
5,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
6,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
7,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
8,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
9,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
10,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
11,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
12,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
13,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
14,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
15,0.2,-0.9045133598561071,-4.522566799280535,0,0.8,0.05,0,0,0,0,0,0,0,0.9045133598561071,0,0,0,0,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,-0.9045133598561071,1.3342673204574513,1.3342673204574513,1.3342673204574513,1.3342673204574513
