threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,7.639999999999998,-0.1760256111108299,-0.023040001454297115,13.828399999999997,13.828399999999997,1,37,7.639999999999998,-3.3062687367972643e-12,-31.74119569580121,-89.93338780484356,-148.12557991383363,-0.08801280555541495,-13.652374388889166,-13.740387194447887,-13.740387194447887,-13.740387194447887,-13.740387194447887,-0.08801280555872104,-0.08801280555872104,-0.08801280555872104,-0.08801280555872104,0,0,0,0
1,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
2,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
3,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
4,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
5,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
6,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
7,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
8,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
9,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
10,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
11,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
12,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
13,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
14,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
15,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
16,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
17,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
18,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
19,7.639999999999998,-0.1760256111108299,-0.023040001454297115,0,13.828399999999997,1,0,0,0,0,0,0,0,0.1760256111108299,0,0,0,0,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-0.1760256111108299,-155.59694774888993,-155.68003988421938,-155.83237546565664,-155.9847110470937
