threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,2.4200000000000004,-7.456375838926173,-3.0811470408785837,4.573800000000001,4.573800000000001,0.37,48,2.4200000000000004,-7.813108847445288e-13,-11.369127516786243,-34.10738255033586,-56.845637583886464,-3.7281879194630867,2.882575838926172,-0.8456120805376961,-0.8456120805376961,-0.8456120805376961,-0.8456120805376961,-3.7281879194638683,-3.7281879194638683,-3.7281879194638683,-3.7281879194638683,0,0,0,0
1,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
2,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
3,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
4,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
5,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
6,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
7,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
8,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
9,2.4200000000000004,-7.456375838926173,-3.0811470408785837,0,4.573800000000001,0.37,0,0,0,0,0,0,0,7.456375838926173,0,0,0,0,-7.456375838926173,-7.456375838926173,-7.456375838926173,-7.456375838926173,51.570469798656156,51.570469798656156,51.570469798656156,51.570469798656156
