threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,15109.60240000247,-19675.355698420804,-1.3021756084341165,71075.56968959885,71075.56968959885,408.74999999999955,24849,15109.60240000247,-1.9570876474972465e-8,-15109.602400323145,-45328.80720030832,-75548.01200028663,-9837.677849210402,-51400.21399117805,-61237.89184040802,-61237.89184040802,-61237.89184040802,-61237.89184040802,-9837.67784922997,-9837.67784922997,-9837.67784922997,-9837.67784922997,0,0,0,0
1,15109.60240000247,-19675.355698420804,-1.3021756084341165,63959.46385920022,71075.56968959885,408.74999999999955,3611,13596.8248,38536.86959998857,24940.044799694268,-2253.6048002847238,-29447.2544002551,-8852.726803356043,-44284.10816077942,-16569.867455855612,-30166.692256149912,-57360.3418561289,-84553.99145609928,27714.240704923806,14117.415904629506,-13076.233695349481,-40269.88329531986,405.3500000000349,404.52000000004773,402.85999999998603,401.20000000001164
2,15109.60240000247,-19675.355698420804,-1.3021756084341165,60687.36804480016,71075.56968959885,408.74999999999955,2309,12901.226199999992,42108.9500999921,29207.723899706616,3405.271499727387,-22397.180900253356,-8399.831038265576,-41012.01234637936,-10178.586906542485,-23079.81310682797,-48882.2655068072,-74684.71790678793,30833.425439836872,17932.199239551388,-7870.253160427841,-33672.705560408576,-334.199999999837,-334.46999999985565,-335.00999999984924,-335.5499999998574
3,15109.60240000247,-19675.355698420804,-1.3021756084341165,59196.54814080013,71075.56968959885,408.74999999999955,1797,12584.300200000014,48640.67239998421,36056.3721997072,10887.771799723501,-14280.828600250767,-8193.484384826297,-39521.192442379324,-2362.3913559896246,-14946.691556266633,-40115.29195625033,-65283.89235622459,37158.8010863897,24574.50088611269,-594.0995138710059,-25762.699913845267,-334.199999999837,-334.46999999985565,-335.00999999984924,-335.5499999998574
4,15109.60240000247,-19675.355698420804,-1.3021756084341165,57313.72886400004,71075.56968959885,408.74999999999955,1483,12184.041000000016,66104.9822999963,53920.94129972649,29552.85929974611,5184.777299758978,-7932.880501180621,-37638.373165579236,16724.133937176888,4540.092936907068,-19827.98906307331,-44196.071063060444,54362.50710275612,42178.4661024863,17810.384102505926,-6557.697897481208,-608.7600000001839,-609.6700000002165,-611.4900000002235,-613.3100000001723
5,15109.60240000247,-19675.355698420804,-1.3021756084341165,55563.98574720008,71075.56968959885,408.74999999999955,1242,11812.071800000022,59146.73259999463,47334.66079972731,23710.517199749127,86.37359976652078,-7690.695891516249,-35888.630048779276,11273.442744310802,-538.6290559565223,-24162.772655934707,-47786.91625591731,47162.072793090076,35350.00099282275,11725.85739284457,-11898.286207138037,3884.409999999916,3880.8999999997905,3873.879999999772,3866.859999999753
6,15109.60240000247,-19675.355698420804,-1.3021756084341165,53788.19470080004,71075.56968959885,408.74999999999955,1050,11434.565200000012,40184.85269999597,28750.287499737227,5881.157099757809,-16987.973300231388,-7444.905948244796,-34112.83900237924,-6158.436052559275,-17593.00125281802,-40462.13165279744,-63331.26205278664,27954.402949819963,16519.83774956122,-6349.292650418203,-29218.4230504074,-3185.9300000006915,-3187.450000000652,-3190.4900000007474,-3193.530000000668
7,15109.60240000247,-19675.355698420804,-1.3021756084341165,52667.18352000007,71075.56968959885,408.74999999999955,934,11196.255000000008,28422.240199981257,17225.985199738992,-5166.524800250307,-27559.034800231457,-7289.745083404265,-32991.82782157927,-16955.19823661455,-28151.453236856814,-50543.96323684612,-72936.47323682727,16036.629584964718,4840.374584722453,-17552.13541526685,-39944.645415248,-884.2700000002224,-884.6900000002352,-885.5300000002462,-886.3700000002427
8,15109.60240000247,-19675.355698420804,-1.3021756084341165,51265.22405760014,71075.56968959885,408.74999999999955,836,10898.219399999998,73280.88739998871,62382.667999747675,40586.22919975314,18789.790399786085,-7095.697739021745,-31589.868359179338,29111.361081410316,18213.141681169276,-3583.297118825254,-25379.735918792314,60701.229440589654,49803.010040348614,28006.571240354082,6210.132440387024,598.4300000005896,598.1900000005844,597.7100000005885,597.230000000578
9,15109.60240000247,-19675.355698420804,-1.3021756084341165,49431.434572800026,71075.56968959885,408.74999999999955,739,10508.383199999995,-8710.047800003551,-19218.43100023456,-40235.197400220204,-61251.963800196536,-6841.8801435594205,-29756.07887437922,-51299.602229244156,-61807.98542947517,-82824.75182946082,-103841.51822943715,-21543.523354864934,-32051.90655509595,-53068.672955081594,-74085.43935505793,3008.1800000006915,3006.8900000006543,3004.310000000638,3001.7300000006217
10,15109.60240000247,-19675.355698420804,-1.3021756084341165,47595.11057280002,71075.56968959885,408.74999999999955,641,10118.0082,-84621.35460001044,-94739.36280023772,-114975.37920022337,-135211.39560019923,-6587.71174198819,-27919.754874379214,-125628.75343082227,-135746.76163104954,-155982.77803103518,-176218.79443101105,-97708.99855644305,-107827.00675667032,-128063.02315665597,-148299.03955663182,6381.200000000186,6378.380000000121,6372.7400000002235,6367.100000000093
11,15109.60240000247,-19675.355698420804,-1.3021756084341165,47711.19964800003,71075.56968959885,408.74999999999955,598,10142.687000000004,-38598.93290000968,-48741.61990024522,-69026.9939002213,-89312.36790020904,-6603.779807690904,-28035.843949579226,-79706.3527403188,-89849.03974055435,-110134.41374053044,-130419.78774051816,-51670.50879073958,-61813.19579097512,-82098.56979095121,-102383.94379093894,7769.360000000452,7765.9000000003725,7758.980000000447,7752.060000000405
12,15109.60240000247,-19675.355698420804,-1.3021756084341165,47335.205164799954,71075.56968959885,408.74999999999955,564,10062.756200000013,-60985.443700005766,-71048.19990024017,-91173.71230021538,-111299.22470021294,-6551.737838629597,-27659.84946637915,-101768.91102617612,-111831.66722641053,-131957.17962638574,-152082.6920263833,-74109.06155979697,-84171.81776003138,-104297.33016000659,-124422.84256000415,9715.740000000224,9711.429999999935,9702.810000000056,9694.190000000177
13,15109.60240000247,-19675.355698420804,-1.3021756084341165,46439.80911359999,71075.56968959885,408.74999999999955,521,9872.408400000011,49823.73859999282,39951.33019977249,20206.51339979004,461.69659979082644,-6427.804707490049,-26764.45341517919,9811.73419388288,-60.67420633745223,-19805.491006319902,-39550.30780631912,36576.187609062064,26703.779208841737,6958.962408859286,-12785.854391139932,-4797.539999999106,-4799.82999999926,-4804.409999999218,-4808.989999999176
14,15109.60240000247,-19675.355698420804,-1.3021756084341165,45343.64540160001,71075.56968959885,408.74999999999955,478,9639.380400000005,12050.573699982371,2411.1932997726835,-16867.567500214558,-36146.328300208785,-6276.083018648952,-25668.28970317921,-27016.98868296869,-36656.369083178375,-55935.12988316562,-75213.89068315986,-1348.698979789482,-10988.079379999166,-30266.840179986408,-49545.60097998065,-4797.539999999106,-4799.82999999926,-4804.409999999218,-4808.989999999176
15,15109.60240000247,-19675.355698420804,-1.3021756084341165,43507.91222400002,71075.56968959885,408.74999999999955,437,9249.131000000007,-14007.470499983523,-23256.601500187535,-41754.86350017879,-60253.125500167254,-6021.996393705928,-23832.556525579217,-51493.386330277615,-60742.517330481634,-79240.7793304729,-97739.04133046136,-27660.8298046984,-36909.96080490242,-55408.22280489368,-73906.48480488214,-4797.539999999106,-4799.82999999926,-4804.409999999218,-4808.989999999176
16,15109.60240000247,-19675.355698420804,-1.3021756084341165,42994.02186239999,71075.56968959885,408.74999999999955,414,9139.885600000003,-21728.316700020805,-30868.202300217934,-49147.97350021452,-67427.7447001934,-5950.868046099112,-23318.666163979186,-58771.470516321686,-67911.35611651881,-86191.1273165154,-104470.89851649429,-35452.8043523425,-44592.68995253963,-62872.46115253621,-81152.2323525151,-4797.539999999106,-4799.82999999926,-4804.409999999218,-4808.989999999176
17,15109.60240000247,-19675.355698420804,-1.3021756084341165,42107.79578879999,71075.56968959885,408.74999999999955,389,8951.487200000005,-28782.71470003482,-37734.2019002419,-55637.17630022112,-73540.1507002106,-5828.2041455251065,-22432.440090379183,-65062.306343309705,-74013.79354351679,-91916.76794349602,-109819.74234348549,-42629.86625293052,-51581.353453137606,-69484.32785311683,-87387.3022531063,-3185.9300000006915,-3187.450000000652,-3190.4900000007474,-3193.530000000668
18,15109.60240000247,-19675.355698420804,-1.3021756084341165,41461.06164480001,71075.56968959885,408.74999999999955,367,8814.001199999997,-13281.654600019567,-22095.655800212175,-39723.65820020717,-57351.66060017701,-5738.688687674515,-21785.705946379203,-49004.02755714506,-57818.02875733767,-75446.03115733266,-93074.03355730251,-27218.32161076586,-36032.32281095847,-53660.32521095346,-71288.3276109233,-16928.10000000242,-16936.1500000027,-16952.250000002794,-16968.350000002887
19,15109.60240000247,-19675.355698420804,-1.3021756084341165,39843.29677439998,71075.56968959885,408.74999999999955,333,8470.088599999997,3175.753899958916,-5294.334700214677,-22234.511900217272,-39174.68910018634,-5514.771388097935,-20167.94107597918,-31152.771486343132,-39622.860086516725,-56563.03728651932,-73503.2144864884,-10984.830410363953,-19454.919010537546,-36395.09621054014,-53335.273410509224,-16928.10000000242,-16936.1500000027,-16952.250000002794,-16968.350000002887
20,15109.60240000247,-19675.355698420804,-1.3021756084341165,37558.3852224,71075.56968959885,408.74999999999955,302,7984.350600000004,-49509.538300002925,-57493.88890017662,-73462.5901001636,-89431.29130014312,-5198.513300253155,-17883.029523979196,-81869.41022214977,-89853.76082232347,-105822.46202231044,-121791.16322228996,-63986.38069817058,-71970.73129834427,-87939.43249833124,-103908.13369831076,-16928.10000000242,-16936.1500000027,-16952.250000002794,-16968.350000002887
