threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,199245.33938392604,199245.33938392604,859.4465999999978,163194,-1.7706572208453508e-8,199245.33938392604,199245.33938394373,-1.7695128917694092e-8
1,187012.03701599897,199245.33938392604,859.4465999999978,9285,45331.82489997969,199245.33938392604,141680.21211601928,57565.12726790676
2,180032.31119999802,199245.33938392604,859.4465999999978,5698,79396.22529998352,199245.33938392604,100636.0859000145,98609.25348391154
3,176099.45203199808,199245.33938392604,859.4465999999978,4269,92739.09879999503,199245.33938392604,83360.35323200305,115884.98615192299
4,172947.93549599833,199245.33938392604,859.4465999999978,3512,109244.8838999602,199245.33938392604,63703.05159603813,135542.2877878879
5,168833.5818959984,199245.33938392604,859.4465999999978,2900,94011.68879997567,199245.33938392604,74821.89309602272,124423.44628790332
6,166688.4297119994,199245.33938392604,859.4465999999978,2509,96879.95289996895,199245.33938392604,69808.47681203045,129436.86257189559
7,163833.22048799938,199245.33938392604,859.4465999999978,2218,136224.44939991948,199245.33938392604,27608.7710880799,171636.56829584614
8,161359.81142399926,199245.33938392604,859.4465999999978,1997,131749.58539991872,199245.33938392604,29610.226024080534,169635.1133598455
9,158736.22480799974,199245.33938392604,859.4465999999978,1787,143806.68679995043,199245.33938392604,14929.538008049305,184315.80137587673
10,156550.56060000006,199245.33938392604,859.4465999999978,1622,129248.97410002956,199245.33938392604,27301.586499970494,171943.75288395555
11,155035.11525600014,199245.33938392604,859.4465999999978,1498,104000.17840002198,199245.33938392604,51034.93685597816,148210.40252794788
12,153631.52632800033,199245.33938392604,859.4465999999978,1391,140331.91059994837,199245.33938392604,13299.615728051955,185945.72365587408
13,151967.01534000004,199245.33938392604,859.4465999999978,1294,103515.41719996883,199245.33938392604,48451.598140031216,150793.74124389482
14,148357.36977600004,199245.33938392604,859.4465999999978,1175,72530.21889991127,199245.33938392604,75827.15087608877,123418.18850783727
15,145561.06639200004,199245.33938392604,859.4465999999978,1099,107107.32869997062,199245.33938392604,38453.73769202942,160791.60169189662
16,145862.040072,199245.33938392604,859.4465999999978,1037,43966.752500004135,199245.33938392604,101895.28757199587,97350.05181193017
17,142428.15888000006,199245.33938392604,859.4465999999978,962,-51038.38660006598,199245.33938392604,193466.54548006604,5778.793903860002
18,142111.61848800004,199245.33938392604,859.4465999999978,912,64435.90950009413,199245.33938392604,77675.7089879059,121569.63039602013
19,138526.16030400008,199245.33938392604,859.4465999999978,846,-7696.4223999986425,199245.33938392604,146222.58270399872,53022.75667992732
20,137531.37955200006,199245.33938392604,859.4465999999978,806,-192877.55569993705,199245.33938392604,330408.93525193713,-131163.5958680111
