threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,306553.5391814182,306553.5391814182,1372.9817999999648,3357510,1.612960254249174e-8,306553.5391814182,306553.53918140207,1.6123522073030472e-8
1,282086.6638800094,306553.5391814182,1372.9817999999648,49755,92562.60639999188,306553.5391814182,189524.05748001748,117029.48170140071
2,270297.0807600005,306553.5391814182,1372.9817999999648,30847,130462.18320003347,306553.5391814182,139834.89755996704,166718.64162145116
3,262206.2020200015,306553.5391814182,1372.9817999999648,23532,173530.58680001996,306553.5391814182,88675.61521998153,217877.92396143667
4,252296.20583999937,306553.5391814182,1372.9817999999648,19186,187192.16210008576,306553.5391814182,65104.04373991361,241449.49544150458
5,225257.60628000056,306553.5391814182,1372.9817999999648,13612,203804.71260007384,306553.5391814182,21452.893679926725,285100.6455014915
6,214715.07708000016,306553.5391814182,1372.9817999999648,11235,197201.6352999797,306553.5391814182,17513.441780020454,289040.09740139777
7,208049.48094000047,306553.5391814182,1372.9817999999648,9787,248659.04710020334,306553.5391814182,-40609.56616020287,347163.1053416211
8,202755.00420000008,306553.5391814182,1372.9817999999648,8595,231963.97990012902,306553.5391814182,-29208.97570012894,335762.51488154713
9,198389.26358999967,306553.5391814182,1372.9817999999648,7658,295173.0500999647,306553.5391814182,-96783.78650996505,403337.3256913832
10,186019.0474799994,306553.5391814182,1372.9817999999648,6461,304716.3540001706,306553.5391814182,-118697.3065201712,425250.84570158937
11,180482.51970000018,306553.5391814182,1372.9817999999648,5783,272355.38949995046,306553.5391814182,-91872.86979995028,398426.40898136847
12,176192.8358399999,306553.5391814182,1372.9817999999648,5259,284675.30500036967,306553.5391814182,-108482.46916036977,415036.00834178797
13,174211.29705000014,306553.5391814182,1372.9817999999648,4892,391992.8074005102,306553.5391814182,-217781.51035051004,524335.0495319283
14,170328.28869000063,306553.5391814182,1372.9817999999648,4515,378454.7433002668,306553.5391814182,-208126.45461026617,514679.9937916844
15,167206.41084000003,306553.5391814182,1372.9817999999648,4181,424940.5104003106,306553.5391814182,-257734.0995603106,564287.6387417288
16,161406.86666999978,306553.5391814182,1372.9817999999648,3816,376117.21650032373,306553.5391814182,-214710.34983032395,521263.88901174214
17,158204.17599000022,306553.5391814182,1372.9817999999648,3538,355215.026200732,306553.5391814182,-197010.85021073176,503564.38939215
18,155918.1214499996,306553.5391814182,1372.9817999999648,3324,359348.3166011304,306553.5391814182,-203430.1951511308,509983.73433254904
19,150577.94471999985,306553.5391814182,1372.9817999999648,3059,437140.12509990623,306553.5391814182,-286562.1803799064,593115.7195613246
20,151022.88305999996,306553.5391814182,1372.9817999999648,2930,387672.8967002663,306553.5391814182,-236650.01364026632,543203.5528216845
