threshold,total commission on LP,total commission on LP (current),max absolute NOP,total Liquid Order,LP Pnl,total commission on LP (current) (A),LP net Pnl (B),revenue (A-B)
0,31571.73899999971,31571.73899999971,421.7489999999998,12764,-3.6181795206105074e-10,31571.73899999971,31571.73900000007,-3.601599019020796e-10
1,30876.256600000062,31571.73899999971,421.7489999999998,1972,595.7451168985269,31571.73899999971,30280.511483101534,1291.227516898176
2,30549.83660000004,31571.73899999971,421.7489999999998,1318,1458.6605469176066,31571.73899999971,29091.176053082432,2480.562946917278
3,30169.72540000001,31571.73899999971,421.7489999999998,1048,4768.045687265145,31571.73899999971,25401.679712734865,6170.059287264845
4,30091.37260000002,31571.73899999971,421.7489999999998,889,5415.939303971623,31571.73899999971,24675.433296028397,6896.305703971313
5,29663.029799999997,31571.73899999971,421.7489999999998,741,11259.30927984448,31571.73899999971,18403.72052015552,13168.018479844191
6,29324.524999999958,31571.73899999971,421.7489999999998,664,13653.851259951853,31571.73899999971,15670.673740048105,15901.065259951605
7,29051.21859999997,31571.73899999971,421.7489999999998,604,9292.420221328186,31571.73899999971,19758.798378671785,11812.940621327925
8,28806.94179999999,31571.73899999971,421.7489999999998,544,13811.220294199737,31571.73899999971,14995.721505800253,16576.017494199456
9,29012.25939999999,31571.73899999971,421.7489999999998,531,17775.636166909684,31571.73899999971,11236.623233090308,20335.115766909403
10,28864.865800000014,31571.73899999971,421.7489999999998,491,12421.914420233326,31571.73899999971,16442.951379766688,15128.787620233023
11,28635.093000000004,31571.73899999971,421.7489999999998,457,10462.992007933284,31571.73899999971,18172.10099206672,13399.63800793299
12,28364.9858,31571.73899999971,421.7489999999998,420,1082.370629106601,31571.73899999971,27282.615170893398,4289.123829106313
13,28082.277,31571.73899999971,421.7489999999998,391,8577.865636519058,31571.73899999971,19504.41136348094,12067.32763651877
14,27758.5602,31571.73899999971,421.7489999999998,365,8956.178201335197,31571.73899999971,18802.3819986648,12769.357001334909
15,26941.263399999993,31571.73899999971,421.7489999999998,326,29086.12906528718,31571.73899999971,-2144.865665287187,33716.6046652869
16,26893.887799999982,31571.73899999971,421.7489999999998,310,36643.3917677261,31571.73899999971,-9749.503967726116,41321.242967725826
17,26682.619399999996,31571.73899999971,421.7489999999998,298,36678.58264018712,31571.73899999971,-9995.963240187128,41567.70224018684
18,26627.004999999986,31571.73899999971,421.7489999999998,292,25950.254431573198,31571.73899999971,676.750568426789,30894.98843157292
19,26550.92939999999,31571.73899999971,421.7489999999998,287,24958.174518109507,31571.73899999971,1592.7548818904834,29978.984118109227
20,25845.11420000001,31571.73899999971,421.7489999999998,260,33435.69114946448,31571.73899999971,-7590.57694946447,39162.31594946418
