threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,15345.930800003003,-40211.412676994565,-2.6203306401581514,25781.163743972735,25781.163743972735,812.9315999999995,568533,15345.930800003003,2.6222171101153435e-9,2.6222171101153435e-9,2.6222171101153435e-9,-15345.930800103783,-20105.706338497283,14430.24893302183,-5675.457405472829,-5675.457405472829,-5675.457405472829,-21021.38820557924,-20105.70633849466,-20105.70633849466,-20105.70633849466,-35451.63713860107,0,0,0,0
1,15345.930800003003,-40211.412676994565,-2.6203306401581514,22963.032960000142,25781.163743972735,812.9315999999995,6314,13668.472000000002,15053.048300002876,15053.048300002876,15053.048300002876,1384.5762999131548,-17907.957992871885,17248.379716994423,9997.973332874619,9997.973332874619,9997.973332874619,-3670.4986672151026,-7250.406384119804,-7250.406384119804,-7250.406384119804,-20918.878384209525,-13.440000000009377,-13.440000000009377,-13.440000000009377,-13.450000000009368
2,15345.930800003003,-40211.412676994565,-2.6203306401581514,21849.240335999995,25781.163743972735,812.9315999999995,3513,13005.500200000028,26120.867600002384,26120.867600002384,26120.867600002384,13115.367399918468,-17039.35533232152,18362.17234099457,21310.98259632391,21310.98259632391,21310.98259632391,8305.482396239993,2948.8102553293393,2948.8102553293393,2948.8102553293393,-10056.689944754577,177.00999999999522,177.00999999999522,177.00999999999522,176.98999999999478
3,15345.930800003003,-40211.412676994565,-2.6203306401581514,21303.402288000034,25781.163743972735,812.9315999999995,2521,12680.596599999968,35375.192799989716,35375.192799989716,35375.192799989716,22694.596199907304,-16613.677903232598,18908.01038899453,30685.46841522228,30685.46841522228,30685.46841522228,18004.871815139868,11777.458026227749,11777.458026227749,11777.458026227749,-903.1385738546633,-621.2899999998554,-621.2899999998554,-621.2899999998554,-621.7199999998629
4,15345.930800003003,-40211.412676994565,-2.6203306401581514,20744.629248000045,25781.163743972735,812.9315999999995,1954,12347.993600000009,29249.14860002062,29249.14860002062,29249.14860002062,16901.154999940307,-16177.91298727839,19466.78342899452,24682.432339298968,24682.432339298968,24682.432339298968,12334.438739218653,5215.648910304448,5215.648910304448,5215.648910304448,-7132.344689775868,-621.2899999998554,-621.2899999998554,-621.2899999998554,-621.7199999998629
5,15345.930800003003,-40211.412676994565,-2.6203306401581514,20437.22587199998,25781.163743972735,812.9315999999995,1621,12165.015400000018,33894.43430002686,33894.43430002686,33894.43430002686,21729.41889994801,-15938.18129530791,19774.186804994584,29395.389723334785,29395.389723334785,29395.389723334785,17230.37432325594,9621.202918340201,9621.202918340201,9621.202918340201,-2543.812481738645,62.010000000474975,62.010000000474975,62.010000000474975,59.96000000045751
6,15345.930800003003,-40211.412676994565,-2.6203306401581514,19917.58675199998,25781.163743972735,812.9315999999995,1365,11855.706400000025,20321.080700034974,20321.080700034974,20321.080700034974,8465.374299958465,-15532.93537031958,20293.825924994584,15936.429318354572,15936.429318354572,15936.429318354572,4080.722918278063,-4357.396606640012,-4357.396606640012,-4357.396606640012,-16213.103006716521,-1973.249999999869,-1973.249999999869,-1973.249999999869,-1974.2999999998865
7,15345.930800003003,-40211.412676994565,-2.6203306401581514,19664.065344000017,25781.163743972735,812.9315999999995,1202,11704.800800000008,51332.534499934525,51332.534499934525,51332.534499934525,39627.733699859586,-15335.224086593833,20547.34733299455,47003.693242528345,47003.693242528345,47003.693242528345,35298.892442453405,26456.345909533797,26456.345909533797,26456.345909533797,14751.545109458857,-6889.15799999889,-6889.15799999889,-6889.15799999889,-6890.544999998907
8,15345.930800003003,-40211.412676994565,-2.6203306401581514,19612.468512000003,25781.163743972735,812.9315999999995,1082,11674.088400000004,75480.00560001296,75480.00560001296,75480.00560001296,63805.91719993949,-15294.98576521743,20598.944164994562,71162.52285323037,71162.52285323037,71162.52285323037,59488.434453156915,50563.57868823581,50563.57868823581,50563.57868823581,38889.49028816236,-12787.880000002217,-12787.880000002217,-12787.880000002217,-12792.98000000231
9,15345.930800003003,-40211.412676994565,-2.6203306401581514,19117.20753600001,25781.163743972735,812.9315999999995,953,11379.290200000021,62825.27840008587,62825.27840008587,62825.27840008587,51445.988200015156,-14908.751387155717,21094.205140994556,58616.822251241574,58616.822251241574,58616.822251241574,47237.53205117086,37522.61711024702,37522.61711024702,37522.61711024702,26143.326910176307,-14724.960000002757,-14724.960000002757,-14724.960000002757,-14730.850000002887
10,15345.930800003003,-40211.412676994565,-2.6203306401581514,19025.598815999998,25781.163743972735,812.9315999999995,871,11324.76120000001,70642.32010001503,70642.32010001503,70642.32010001503,59317.55889993976,-14837.30938241711,21185.813860994567,66454.03066643214,66454.03066643214,66454.03066643214,55129.26946635687,45268.21680543757,45268.21680543757,45268.21680543757,33943.4556053623,-9693.674599998863,-9693.674599998863,-9693.674599998863,-9694.727599998878
11,15345.930800003003,-40211.412676994565,-2.6203306401581514,18818.48371200002,25781.163743972735,812.9315999999995,802,11201.478400000002,64430.554600045085,64430.554600045085,64430.554600045085,53229.07619997114,-14675.788533294855,21392.928964994546,60287.85942133993,60287.85942133993,60287.85942133993,49086.38102126598,38894.93045634538,38894.93045634538,38894.93045634538,27693.452056271435,8520.804000001284,8520.804000001284,8520.804000001284,8519.057000001281
12,15345.930800003003,-40211.412676994565,-2.6203306401581514,18325.355328000016,25781.163743972735,812.9315999999995,727,10907.949600000002,43757.16360010812,43757.16360010812,43757.16360010812,32849.214000037406,-14291.217279090428,21886.05734899455,39723.02555119853,39723.02555119853,39723.02555119853,28815.075951127816,17836.96820220398,17836.96820220398,17836.96820220398,6929.0186021332665,-7385.4446000004245,-7385.4446000004245,-7385.4446000004245,-7386.127600000429
13,15345.930800003003,-40211.412676994565,-2.6203306401581514,18433.08331200002,25781.163743972735,812.9315999999995,683,10972.073400000005,57646.799699857365,57646.799699857365,57646.799699857365,46674.72629978228,-14375.230058042118,21778.329364994544,53588.94644589946,53588.94644589946,53588.94644589946,42616.87304582438,31810.617080904918,31810.617080904918,31810.617080904918,20838.543680829836,-19050.67459999933,-19050.67459999933,-19050.67459999933,-19053.2275999994
14,15345.930800003003,-40211.412676994565,-2.6203306401581514,18052.154736000015,25781.163743972735,812.9315999999995,632,10745.3302,61179.181100056274,61179.181100056274,61179.181100056274,50433.85089998017,-14078.15898083836,22159.25794099455,57205.18534489462,57205.18534489462,57205.18534489462,46459.85514481852,35045.927403900074,35045.927403900074,35045.927403900074,24300.597203823967,-52991.92960001179,-52991.92960001179,-52991.92960001179,-52999.19140001177
15,15345.930800003003,-40211.412676994565,-2.6203306401581514,18108.447840000004,25781.163743972735,812.9315999999995,597,10778.837999999998,92086.00629993342,92086.00629993342,92086.00629993342,81307.16829986055,-14122.059738350501,22102.96483699456,88099.61819828392,88099.61819828392,88099.61819828392,77320.78019821105,65996.65336128935,65996.65336128935,65996.65336128935,55217.81536121649,33832.746599996346,33832.746599996346,33832.746599996346,33827.07999999623
16,15345.930800003003,-40211.412676994565,-2.6203306401581514,17970.438863999996,25781.163743972735,812.9315999999995,560,10696.6898,74242.74250014476,74242.74250014476,74242.74250014476,63546.05270007276,-14014.432015603585,22240.97381299457,70286.73565174834,70286.73565174834,70286.73565174834,59590.04585167635,48045.76183875377,48045.76183875377,48045.76183875377,37349.07203868178,17347.458799999382,17347.458799999382,17347.458799999382,17344.322599999374
