threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,1039.1859000000002,-5395.402781654361,-5.19195148977133,2111.6257488000238,2111.6257488000238,84.21550000000005,2188,1039.1859000000002,5.153566462468007e-10,5.153566462468007e-10,-1039.1859000056063,-2078.371799989807,-2697.7013908271806,3283.7770328543374,586.0756420276721,586.0756420276721,-453.1102579784497,-1492.2961579626503,-2697.7013908266654,-2697.7013908266654,-3736.887290832787,-4776.073190816987,0,0,0,0
1,1039.1859000000002,-5395.402781654361,-5.19195148977133,1531.0910703999964,2111.6257488000238,84.21550000000005,342,753.4896999999999,5221.584000000206,5221.584000000206,4468.094299994627,3714.6046000071947,-1956.0409852211758,3864.311711254365,5646.533914821386,5646.533914821386,4893.044214815807,4139.5545148283745,1782.222203567021,1782.222203567021,1028.7325035614422,275.2428035740095,-34.65000000000873,-34.65000000000873,-34.65000000000873,-34.65000000000873
2,1039.1859000000002,-5395.402781654361,-5.19195148977133,1449.491233599999,2111.6257488000238,84.21550000000005,200,713.3322999999997,8944.026300000027,8944.026300000027,8230.693999994983,7517.361700006237,-1851.7933488435037,3945.9115480543624,9346.328415243532,9346.328415243532,8632.996115238488,7919.663815249742,5400.416867189169,5400.416867189169,4687.084567184125,3973.7522671953793,-34.65000000000873,-34.65000000000873,-34.65000000000873,-34.65000000000873
3,1039.1859000000002,-5395.402781654361,-5.19195148977133,1239.3824336,2111.6257488000238,84.21550000000005,117,609.9323000000002,9589.410300001153,9589.410300001153,8979.47799999622,8369.545700006362,-1583.3694568223273,4156.020348054361,9933.39732322348,9933.39732322348,9323.465023218547,8713.532723228689,5777.376975169119,5777.376975169119,5167.444675164185,4557.512375174328,-173.410000000149,-173.410000000149,-175.85000000015134,-178.29000000009546
4,1039.1859000000002,-5395.402781654361,-5.19195148977133,1152.8257359999993,2111.6257488000238,84.21550000000005,88,567.3355,485.1403000014252,485.1403000014252,-82.19520000234479,-649.5306999936001,-1472.7891972125813,4242.577045654361,805.1037612140071,805.1037612140071,237.76826121023714,-329.5672387810182,-3437.4732844403543,-3437.4732844403543,-4004.8087844441243,-4572.14428443538,-173.410000000149,-173.410000000149,-175.85000000015134,-178.29000000009546
5,1039.1859000000002,-5395.402781654361,-5.19195148977133,1052.7229136,2111.6257488000238,84.21550000000005,69,518.0723,-14748.78439999686,-14748.78439999686,-15266.856700001168,-15784.928999992437,-1344.9031248971298,4342.679868054362,-14456.604188699732,-14456.604188699732,-14974.676488704039,-15492.748788695306,-18799.28405675409,-18799.28405675409,-19317.3563567584,-19835.428656749667,-173.410000000149,-173.410000000149,-175.85000000015134,-178.29000000009546
6,1039.1859000000002,-5395.402781654361,-5.19195148977133,965.8410959999999,2111.6257488000238,84.21550000000005,53,475.3155000000001,-764.3196000001626,-764.3196000001626,-1239.635100003914,-1714.9505999956746,-1233.9075091682025,4429.561685654361,-496.25318683195997,-496.25318683195997,-971.5686868357116,-1446.8841868274721,-4925.814872486321,-4925.814872486321,-5401.130372490073,-5876.445872481833,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
7,1039.1859000000002,-5395.402781654361,-5.19195148977133,998.4750159999999,2111.6257488000238,84.21550000000005,50,491.3755,17569.440300000366,17569.440300000366,17078.064799997257,16586.68930000579,-1275.598879631066,4396.927765654362,17846.564163631432,17846.564163631432,17355.188663628323,16863.813163636856,13449.63639797707,13449.63639797707,12958.260897973962,12466.885397982494,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
8,1039.1859000000002,-5395.402781654361,-5.19195148977133,957.5846736000004,2111.6257488000238,84.21550000000005,43,471.25230000000005,24318.35990000004,24318.35990000004,23847.10759999731,23375.855300004827,-1223.3595405215829,4437.818108054361,24584.13476692162,24584.13476692162,24112.88246691889,23641.630166926407,20146.316658867258,20146.316658867258,19675.06435886453,19203.812058872045,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
9,1039.1859000000002,-5395.402781654361,-5.19195148977133,857.1225936000002,2111.6257488000238,84.21550000000005,34,421.81230000000005,13566.327500003856,13566.327500003856,13144.515200000023,12722.702900006901,-1095.0144996944357,4538.280188054361,13804.219406098291,13804.219406098291,13382.407106094459,12960.594806101337,9265.93921804393,9265.93921804393,8844.126918040098,8422.314618046976,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
10,1039.1859000000002,-5395.402781654361,-5.19195148977133,851.3809744,2111.6257488000238,84.21550000000005,30,418.9866999999999,19778.33650000277,19778.33650000277,19359.349800000433,18940.363100007875,-1087.6793106296864,4544.021807254361,20014.634836232457,20014.634836232457,19595.64813623012,19176.661436237562,15470.613028978096,15470.613028978096,15051.626328975759,14632.639628983201,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
11,1039.1859000000002,-5395.402781654361,-5.19195148977133,792.3233328000002,2111.6257488000238,84.21550000000005,26,389.92289999999997,989.1258000016678,989.1258000016678,599.2028999980539,209.2800000058487,-1012.2303907754786,4603.079448854361,1209.0328579771463,1209.0328579771463,819.1099579735322,429.18705798132703,-3394.0465908772144,-3394.0465908772144,-3783.9694908808283,-4173.892390873034,-405.41000000032363,-405.41000000032363,-407.85000000032596,-410.2900000003283
