threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,72278.03899986474,-24996.913068779457,-0.3458438194321547,115644.86239987871,115644.86239987871,419.1132000000001,582710,72278.03899986474,1.8981144151197e-9,1.8981144151197e-9,-50221.915927491325,-50221.915927491325,-12498.456534389728,-90647.94933109925,-103146.40586548709,-103146.40586548709,-153368.3217929803,-153368.3217929803,-12498.456534387835,-12498.456534387835,-62720.37246188105,-62720.37246188105,0,0,0,0
1,72278.03899986474,-24996.913068779457,-0.3458438194321547,106769.5430399971,115644.86239987871,419.1132000000001,24329,66730.96440000017,36998.64224099996,36998.64224099996,-9418.186107039914,-9418.186107039914,-11539.245801243602,-81772.62997121764,-58231.65499775354,-58231.65499775354,-104648.48334579341,-104648.48334579341,23540.9749734641,23540.9749734641,-22875.853374575774,-22875.853374575774,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
2,72278.03899986474,-24996.913068779457,-0.3458438194321547,101873.16704000188,115644.86239987871,419.1132000000001,14887,63670.729400000084,64595.56568002375,64595.56568002375,20282.389125157126,20282.389125157126,-11010.064120863606,-76876.25397122242,-26267.53723911452,-26267.53723911452,-70580.71379398114,-70580.71379398114,50608.7167321079,50608.7167321079,6295.540177241288,6295.540177241288,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
3,72278.03899986474,-24996.913068779457,-0.3458438194321547,97660.24160000046,115644.86239987871,419.1132000000001,10660,61037.650999999685,80730.96781801384,80730.96781801384,38231.39849605965,38231.39849605965,-10554.747175503384,-72663.328531221,-6374.526606483232,-6374.526606483232,-48874.095928437426,-48874.095928437426,66288.80192473778,66288.80192473778,23789.23260278358,23789.23260278358,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
4,72278.03899986474,-24996.913068779457,-0.3458438194321547,94249.58560000011,115644.86239987871,419.1132000000001,8398,58905.99099999997,75479.48021805298,75479.48021805298,34447.81221119005,34447.81221119005,-10186.13645743806,-69252.67253122065,-8583.968924509067,-8583.968924509067,-49615.63693137199,-49615.63693137199,60668.703606711584,60668.703606711584,19637.035599848663,19637.035599848663,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
5,72278.03899986474,-24996.913068779457,-0.3458438194321547,91686.59583999998,115644.86239987871,419.1132000000001,7022,57304.12239999971,186595.6765946621,186595.6765946621,146659.62782530833,146659.62782530833,-9909.138280011795,-66689.68277122053,104818.21903467392,104818.21903467392,64882.17026532014,64882.17026532014,171507.90180589445,171507.90180589445,131571.85303654068,131571.85303654068,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
6,72278.03899986474,-24996.913068779457,-0.3458438194321547,88073.14752000025,115644.86239987871,419.1132000000001,5746,55045.71719999997,212932.35700092334,212932.35700092334,174568.1806711388,174568.1806711388,-9518.61053991512,-63076.23445122079,134377.8200208382,134377.8200208382,96013.64369105367,96013.64369105367,197454.054472059,197454.054472059,159089.87814227445,159089.87814227445,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
7,72278.03899986474,-24996.913068779457,-0.3458438194321547,86382.65216000026,115644.86239987871,419.1132000000001,5080,53989.15760000001,225337.57994690552,225337.57994690552,187697.60696624825,187697.60696624825,-9335.908236154273,-61385.73909122081,148290.83602305953,148290.83602305953,110650.86304240226,110650.86304240226,209676.57511428033,209676.57511428033,172036.60213362306,172036.60213362306,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
8,72278.03899986474,-24996.913068779457,-0.3458438194321547,83939.56896000044,115644.86239987871,419.1132000000001,4514,52462.23060000006,226578.33497963607,226578.33497963607,189991.51161221886,189991.51161221886,-9071.869103317242,-58942.65589122099,151710.63512295287,151710.63512295287,115123.81175553566,115123.81175553566,210653.29101417385,210653.29101417385,174066.46764675665,174066.46764675665,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
9,72278.03899986474,-24996.913068779457,-0.3458438194321547,81681.45568000025,115644.86239987871,419.1132000000001,4096,51050.90979999999,223408.47814541438,223408.47814541438,187778.89261881827,187778.89261881827,-8827.820815359206,-56684.54261122079,150554.84328077335,150554.84328077335,114925.25775417723,114925.25775417723,207239.38589199414,207239.38589199414,171609.80036539803,171609.80036539803,261.50291812459716,261.50291812459716,261.24770814723024,261.24770814723024
