threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1525855.3736080108,1525855.3736080108,764.238500000042,2940585,324374.0165031652,-2.2824870882232062e-9,-324374.016504694,-973122.0495082729,-1621870.0825039356,-573157.7426857363,-379539.8882365383,-952697.6309222769,-1277071.6474269684,-1925819.6804305473,-2574567.71342621,-573157.7426857386,-897531.7591904302,-1546279.792194009,-2195027.8251896715,0,0,0,0
1,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1416138.4892256607,1525855.3736080108,764.238500000042,107289,301049.8489000041,452570.55999997596,151520.71109864206,-450578.98670088704,-1052678.684500243,-531944.7398763046,-269823.00385418814,-431623.1893493801,-732673.038250714,-1334772.736050243,-1936872.4338495992,-161800.18549519195,-462850.0343965258,-1064949.732196055,-1667049.429995411,405.3500000000349,404.52000000004773,402.85999999998603,401.20000000001164
2,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1359647.2321824117,1525855.3736080108,764.238500000042,62621,289040.653100003,736105.1340999814,447064.48099876754,-131016.82520079712,-709098.1314001979,-510724.90349606087,-213331.74681093916,-112817.19458636944,-401857.8476875833,-979939.1538871479,-1558020.4600865487,100514.55222456972,-188526.10087664414,-766607.4070762087,-1344688.7132756095,-334.199999999837,-334.46999999985565,-335.00999999984924,-335.5499999998574
3,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1325557.3582944467,1525855.3736080108,764.238500000042,46009,281793.6561000017,847888.1292000123,566094.4730988647,2507.160899301758,-561080.1513001138,-497919.70878117986,-179241.87292297417,20250.479686745442,-261543.1764144022,-825130.4886139651,-1388717.8008133806,199492.35260971962,-82301.30349142803,-645888.6156909909,-1209475.9278904065,-334.199999999837,-334.46999999985565,-335.00999999984924,-335.5499999998574
4,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1286098.2240288365,1525855.3736080108,764.238500000042,36354,273405.2346999987,1089280.8635999805,815875.6288988692,269065.15949929156,-277745.3099001548,-483097.65636726364,-139782.73865736392,286280.29593840765,12875.061237296322,-533935.4081622813,-1080745.8775617275,426063.0345957716,152657.79989466025,-394152.66950491734,-940963.1389043636,-608.7600000001839,-609.6700000002165,-611.4900000002235,-613.3100000001723
5,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1229663.1073440276,1525855.3736080108,764.238500000042,28918,261407.9734999999,1247954.3645999592,986546.3910989556,463730.4440993273,-59085.50290011673,-461898.90801518847,-83347.62197255506,480190.1652711201,218782.1917701165,-304033.7552295118,-826849.7022289557,563537.7872436752,302129.81374267157,-220686.13325695676,-743502.0802564006,3884.409999999916,3880.8999999997905,3873.879999999772,3866.859999999753
6,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1223979.4880544252,1525855.3736080108,764.238500000042,25612,260199.72109999976,1228206.984499983,968007.2633990315,447607.8211994509,-72791.62100006803,-459763.96753615676,-77664.00268295268,463991.46398171457,203791.74288076302,-316607.6993188176,-837007.1415183365,541655.4666646672,281455.7455637157,-238943.6966358649,-759343.1388353838,-3185.9300000006915,-3187.450000000652,-3190.4900000007474,-3193.530000000668
7,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1192488.9260256214,1525855.3736080108,764.238500000042,22451,253505.29890000093,1511908.820999845,1258403.522098872,751392.9242992781,244382.32649974083,-447935.15350814053,-46173.44065414881,767355.048482364,513849.7495813913,6839.151781797234,-500171.44601774,813528.4891365129,560023.19023554,53012.59243594605,-453998.0053635912,-884.2700000002224,-884.6900000002352,-885.5300000002462,-886.3700000002427
8,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1187506.930915218,1525855.3736080108,764.238500000042,20701,252446.20130000092,1634176.7197000585,1381730.5183991145,876838.1157995309,371945.713200025,-446063.7644362172,-41191.44554374553,892733.5532210576,640287.3519201137,135394.94932053,-369497.45327897585,933924.9987648032,681478.7974638592,176586.39486427553,-328306.0077352303,598.4300000005896,598.1900000005844,597.7100000005885,597.230000000578
9,324374.0165031652,-1146315.4853714725,-3.5339312862634515,1196620.6693728159,1525855.3736080108,764.238500000042,19497,254383.6457000004,1310168.049899642,1055784.4041986675,547017.1127990945,38249.821399615845,-449487.1621264943,-50305.184001343325,563034.5426533204,308650.8969523459,-200116.39444722707,-708883.6858467057,613339.7266546637,358956.08095368923,-149811.21044588374,-658578.5018453624,3008.1800000006915,3006.8900000006543,3004.310000000638,3001.7300000006217
