threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,290.0199999999956,-412.55498154515215,-1.4225052808260066,580.0399999999912,580.0399999999912,9.000000000000004,1281,290.0199999999956,-8.617462299298495e-11,-580.0400000005556,-1740.1199999985747,-3190.22000000154,-206.2774907725761,-167.48501845483906,-373.76250922750125,-373.76250922750125,-373.76250922750125,-373.76250922750125,-206.2774907726622,-206.2774907726622,-206.2774907726622,-206.2774907726622,0,0,0,0
1,290.0199999999956,-412.55498154515215,-1.4225052808260066,244.5199999999999,580.0399999999912,9.000000000000004,103,122.25999999999995,-724.5899999997928,-969.1100000002043,-1458.149999999223,-2069.4500000005355,-86.95774781689374,168.03498154515225,-882.1522521828989,-1126.6722521833105,-1615.7122521823292,-2227.012252183642,-1050.187233728051,-1294.7072337284628,-1783.7472337274814,-2395.0472337287943,7.500000000007276,6.300000000010186,3.900000000001455,0.8999999999941792
2,290.0199999999956,-412.55498154515215,-1.4225052808260066,171.07999999999993,580.0399999999912,9.000000000000004,39,85.53999999999996,51.52999999982421,-119.5500000003085,-461.7099999995553,-889.4100000006438,-60.840550860928275,241.47498154515222,-58.70944913924744,-229.78944913938017,-571.949449138627,-999.6494491397154,-300.1844306843997,-471.2644306845324,-813.4244306837792,-1241.1244306848675,-545.7999999999302,-547.5999999999331,-551.1999999999243,-555.6999999999243
3,290.0199999999956,-412.55498154515215,-1.4225052808260066,116.00000000000003,580.0399999999912,9.000000000000004,18,58.000000000000014,-1625.4800000002724,-1741.4800000005052,-1973.4799999999232,-2263.4800000007963,-41.2526531439542,296.55498154515215,-1700.2273468563183,-1816.227346856551,-2048.227346855969,-2338.227346856842,-1996.7823284014703,-2112.782328401703,-2344.782328401121,-2634.782328401994,-587.9999999999709,-591.7999999999884,-599.3999999999651,-608.8999999999942
4,290.0199999999956,-412.55498154515215,-1.4225052808260066,92.60000000000001,580.0399999999912,9.000000000000004,11,46.300000000000004,396.78000000020256,304.18000000022585,118.98000000044703,-112.52000000007683,-32.93099725112206,319.9549815451521,337.1109972513246,244.51099725134787,59.310997251569084,-172.1890027489548,17.156015706172468,-75.44398429380425,-260.64398429358306,-492.14398429410693,-2381.5499999998397,-2381.5499999998397,-2381.5499999998397,-2381.5499999998397
5,290.0199999999956,-412.55498154515215,-1.4225052808260066,72.24,580.0399999999912,9.000000000000004,7,36.12,586.8599999992293,514.619999999064,370.1399999993155,189.5399999989313,-25.690445371717676,340.31498154515214,540.310445370947,468.07044537078167,323.5904453710331,142.99044537064898,199.9954638257949,127.75546382562953,-16.72453617411901,-197.32453617450315,-2381.5499999998397,-2381.5499999998397,-2381.5499999998397,-2381.5499999998397
6,290.0199999999956,-412.55498154515215,-1.4225052808260066,36.8,580.0399999999912,9.000000000000004,3,18.4,-4030.930000000284,-4067.730000000214,-4141.3300000000745,-4233.330000000307,-13.087048583599259,375.75498154515213,-4054.642951416685,-4091.442951416615,-4165.042951416475,-4257.042951416708,-4430.397932961837,-4467.197932961767,-4540.797932961627,-4632.79793296186,-2517.6499999999214,-2519.849999999933,-2524.2499999999272,-2529.749999999942
7,290.0199999999956,-412.55498154515215,-1.4225052808260066,42.4,580.0399999999912,9.000000000000004,3,21.2,-1438.5800000004238,-1480.9800000005635,-1565.7800000003772,-1671.78000000061,-15.07855597675567,370.15498154515217,-1465.901444023668,-1508.3014440238078,-1593.1014440236215,-1699.1014440238544,-1836.0564255688203,-1878.45642556896,-1963.2564255687737,-2069.2564255690068,-587.9999999999709,-591.7999999999884,-599.3999999999651,-608.8999999999942
8,290.0199999999956,-412.55498154515215,-1.4225052808260066,49.400000000000006,580.0399999999912,9.000000000000004,3,24.700000000000003,763.0199999997858,713.6199999997625,614.8200000000652,491.31999999971595,-17.567940218201183,363.15498154515217,731.187940217987,681.7879402179638,582.9879402182664,459.4879402179171,368.03295867283487,318.6329586728116,219.83295867311426,96.33295867276496,-158.4999999999418,-164.4999999999418,-176.4999999999418,-191.4999999999418
9,290.0199999999956,-412.55498154515215,-1.4225052808260066,36.2,580.0399999999912,9.000000000000004,2,18.1,1902.9900000004563,1866.7900000003865,1794.390000000596,1703.8900000004796,-12.87367279147536,376.35498154515216,1879.6636727919317,1843.4636727918619,1771.0636727920714,1680.563672791955,1503.3086912467795,1467.1086912467097,1394.7086912469192,1304.2086912468028,-4013.670000000624,-4024.0700000006473,-4044.8700000006356,-4070.870000000752
