threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,38.559999999999974,-1.4816104579974692,-0.03842350772815016,76.34880000000001,76.34880000000001,1,50,38.559999999999974,0,-115.6799999998816,-385.5999999999699,-616.9600000001776,-0.7408052289987346,-74.86718954200254,-75.60799477100127,-75.60799477100127,-75.60799477100127,-75.60799477100127,-0.7408052289987381,-0.7408052289987381,-0.7408052289987381,-0.7408052289987381,0,0,0,0
1,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
2,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
3,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
4,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
5,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
6,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
7,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
8,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
9,38.559999999999974,-1.4816104579974692,-0.03842350772815016,0,76.34880000000001,1,0,0,0,0,0,0,0,1.4816104579974692,0,0,0,0,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,-1.4816104579974692,3745.2700000000514,3745.2700000000514,3745.2700000000514,3745.2700000000514
