threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,26.730000000000018,270,10.101010101010095,53.72729999999988,53.72729999999988,2,165,26.730000000000018,-7.130438461899757e-10,-8018.999999999694,-24057.00000000115,-40095.00000000042,135,-323.7272999999999,-188.72730000071292,-188.72730000071292,-188.72730000071292,-188.72730000071292,134.99999999928698,134.99999999928698,134.99999999928698,134.99999999928698,0,0,0,0
1,26.730000000000018,270,10.101010101010095,12.261,53.72729999999988,2,4,6.1,6220,4390,730.0000000018626,-2930,30.80808080808079,-282.261,6176.930919191919,4346.930919191919,686.9309191937818,-2973.069080808081,6459.19191919192,4629.19191919192,969.1919191937818,-2690.808080808081,-13255.999999999185,-13288.999999999185,-13354.999999999185,-13420.999999999185
2,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
3,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
4,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
5,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
6,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
7,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
8,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
9,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
10,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
11,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
12,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
13,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
14,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
15,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
16,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
17,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
18,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
19,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
20,26.730000000000018,270,10.101010101010095,0,53.72729999999988,2,0,0,0,0,0,0,0,-270,0,0,0,0,270,270,270,270,-6080.999999999185,-6113.999999999185,-6179.999999999185,-6245.999999999185
