threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,77.41000000000022,-25.728979731832304,-0.33237281658483697,154.82000000000045,154.82000000000045,4.590000000000001,588,77.41000000000022,2.5011104298755527e-12,-464.45999999954756,-1470.789999999266,-2477.1200000006643,-12.864489865916152,-129.09102026816814,-141.9555101340818,-141.9555101340818,-141.9555101340818,-141.9555101340818,-12.864489865913669,-12.864489865913669,-12.864489865913669,-12.864489865913669,0,0,0,0
1,77.41000000000022,-25.728979731832304,-0.33237281658483697,58.16,154.82000000000045,4.590000000000001,22,29.08,-984.2699999999459,-1158.7499999997817,-1536.789999999688,-1914.8300000002055,-4.832700753143529,-32.43102026816769,-1037.5972992468023,-1212.0772992466382,-1590.1172992465445,-1968.157299247062,-1005.1662789786346,-1179.6462789784705,-1557.6862789783768,-1935.7262789788942,-23.83000000000129,-23.890000000001464,-24.020000000001346,-24.150000000001455
2,77.41000000000022,-25.728979731832304,-0.33237281658483697,24.78,154.82000000000045,4.590000000000001,6,12.39,228.74999999982538,154.40999999991618,-6.660000000032596,-167.7300000002724,-2.0590495987430653,0.9489797318323028,206.02904959856843,131.68904959865924,-29.38095040128953,-190.45095040152935,205.08006986673612,130.74006986682693,-30.329930133121835,-191.39993013336166,-54.150000000001455,-55.82999999999811,-59.469999999997526,-63.11000000000422
3,77.41000000000022,-25.728979731832304,-0.33237281658483697,12.199999999999998,154.82000000000045,4.590000000000001,2,6.099999999999999,931.9900000002817,895.390000000305,816.0900000002584,736.7900000002119,-1.0137370905837526,13.528979731832306,920.8037370908654,884.2037370908887,804.9037370908421,725.6037370907956,907.2747573590331,870.6747573590563,791.3747573590098,712.0747573589632,-87.44999999999254,-87.8699999999917,-88.77999999999156,-89.68999999999232
4,77.41000000000022,-25.728979731832304,-0.33237281658483697,16.740000000000002,154.82000000000045,4.590000000000001,2,8.370000000000001,1652.100000000035,1601.8800000000047,1493.0700000001234,1384.259999999893,-1.3909802374075428,8.988979731832302,1636.7509802374425,1586.5309802374122,1477.720980237531,1368.9109802373005,1627.76200050561,1577.5420005055798,1468.7320005056986,1359.922000505468,-54.150000000001455,-55.82999999999811,-59.469999999997526,-63.11000000000422
5,77.41000000000022,-25.728979731832304,-0.33237281658483697,0,154.82000000000045,4.590000000000001,0,0,0,0,0,0,0,25.728979731832304,0,0,0,0,-25.728979731832304,-25.728979731832304,-25.728979731832304,-25.728979731832304,-1848.9000000001283,-1849.0800000001282,-1849.470000000128,-1849.8600000001293
6,77.41000000000022,-25.728979731832304,-0.33237281658483697,0,154.82000000000045,4.590000000000001,0,0,0,0,0,0,0,25.728979731832304,0,0,0,0,-25.728979731832304,-25.728979731832304,-25.728979731832304,-25.728979731832304,-1848.9000000001283,-1849.0800000001282,-1849.470000000128,-1849.8600000001293
7,77.41000000000022,-25.728979731832304,-0.33237281658483697,0,154.82000000000045,4.590000000000001,0,0,0,0,0,0,0,25.728979731832304,0,0,0,0,-25.728979731832304,-25.728979731832304,-25.728979731832304,-25.728979731832304,-1848.9000000001283,-1849.0800000001282,-1849.470000000128,-1849.8600000001293
8,77.41000000000022,-25.728979731832304,-0.33237281658483697,0,154.82000000000045,4.590000000000001,0,0,0,0,0,0,0,25.728979731832304,0,0,0,0,-25.728979731832304,-25.728979731832304,-25.728979731832304,-25.728979731832304,-1848.9000000001283,-1849.0800000001282,-1849.470000000128,-1849.8600000001293
9,77.41000000000022,-25.728979731832304,-0.33237281658483697,0,154.82000000000045,4.590000000000001,0,0,0,0,0,0,0,25.728979731832304,0,0,0,0,-25.728979731832304,-25.728979731832304,-25.728979731832304,-25.728979731832304,-1848.9000000001283,-1849.0800000001282,-1849.470000000128,-1849.8600000001293
10,77.41000000000022,-25.728979731832304,-0.33237281658483697,0,154.82000000000045,4.590000000000001,0,0,0,0,0,0,0,25.728979731832304,0,0,0,0,-25.728979731832304,-25.728979731832304,-25.728979731832304,-25.728979731832304,-1848.9000000001283,-1849.0800000001282,-1849.470000000128,-1849.8600000001293
11,77.41000000000022,-25.728979731832304,-0.33237281658483697,0,154.82000000000045,4.590000000000001,0,0,0,0,0,0,0,25.728979731832304,0,0,0,0,-25.728979731832304,-25.728979731832304,-25.728979731832304,-25.728979731832304,-1848.9000000001283,-1849.0800000001282,-1849.470000000128,-1849.8600000001293
