threshold,[1] total client trade lots,[2] total client swap,[3] client swap per lot,[4] total commission on LP,[5] total commission on LP (current),[6] max absolute NOP,[7] total Liquid Order,[8] total liquid lots,[9] LP Pnl spread 0,[10] LP Pnl spread 10,[11] LP Pnl spread 30,[12] LP Pnl spread 50,[13] LP estimate swap = [3] x [8] x 0.5,[14] revenue current [14] = -[3] - [5],[15] revenue at spread 0 = [9] - [4] - [13],[16] revenue at spread 10 = [10] - [4] - [13],[17] revenue at spread 30 = [11] - [4] - [13],[18] revenue at spread 50 = [12] - [4] - [13],[19] benefit at spread 0 = [15] - [14],[20] benefit at spread 10 = [16] - [14],[21] benefit at spread 30 = [17] - [14],[22] benefit at spread 50 = [18] - [14],[23] unrealized revenue at spread 0,[24] unrealized revenue at spread 10,[25] unrealized revenue at spread 30,[26] unrealized revenue at spread 50
0,16.529999999999994,-3.785512740814993,-0.2290086352580154,33.05999999999999,33.05999999999999,1,231,16.529999999999994,1.7053025658242404e-12,-49.58999999994455,-132.23999999993157,-214.8899999999437,-1.8927563704074966,-29.274487259184994,-31.167243629590786,-31.167243629590786,-31.167243629590786,-31.167243629590786,-1.8927563704057917,-1.8927563704057917,-1.8927563704057917,-1.8927563704057917,0,0,0,0
1,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
2,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
3,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
4,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
5,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
6,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
7,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
8,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
9,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
10,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
11,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
12,16.529999999999994,-3.785512740814993,-0.2290086352580154,0,33.05999999999999,1,0,0,0,0,0,0,0,3.785512740814993,0,0,0,0,-3.785512740814993,-3.785512740814993,-3.785512740814993,-3.785512740814993,-258.58999999998196,-261.1399999999703,-265.3899999999776,-269.6399999999703
